"Country","Country_work","gender","nation","Location","what_participant_group","field_research","id","type","percent"
"Israel","Israel","Male","Israel","Israel","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",384,"successful_grants_11_15_fundamental","30"
"United Kingdom","United Kingdom","Male","United Kingdom","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",385,"successful_grants_11_15_fundamental","20"
"Israel","Israel","Female","Israel","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",386,"successful_grants_11_15_fundamental","30"
"Israel","Israel","Male","Israel","Israel","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",387,"successful_grants_11_15_fundamental","70"
"Israel","Israel","Male","Israel","Israel","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",388,"successful_grants_11_15_fundamental","70"
"","United States","Male","United States","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",389,"successful_grants_11_15_fundamental","50"
"Israel","Israel","Female","Israel","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",390,"successful_grants_11_15_fundamental","30"
"","United States","Female","United States","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",391,"successful_grants_11_15_fundamental","0"
"United States","United States","Female","United States","Nebraska","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",392,"successful_grants_11_15_fundamental","30"
"Brazil","Brazil","Male","Brazil","Brazil","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science",394,"successful_grants_11_15_fundamental","70"
"Brazil","Brazil","Female","Brazil","Brazil","","Natural Science",395,"successful_grants_11_15_fundamental","10"
"Netherlands","Brazil","Male","Brazil","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",396,"successful_grants_11_15_fundamental","30"
"Brazil","","Male","Brazil","Brazil","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",397,"successful_grants_11_15_fundamental","50"
"Brazil","Brazil","Male","Brazil","Brazil","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",398,"successful_grants_11_15_fundamental","10"
"Brazil","Brazil","Male","Brazil","Brazil","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",399,"successful_grants_11_15_fundamental","50"
"Brazil","Brazil","Male","Brazil","Brazil","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",402,"successful_grants_11_15_fundamental","30"
"Brazil","Brazil","Female","Brazil","Brazil","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science",403,"successful_grants_11_15_fundamental","10"
"Brazil","Brazil","Male","Brazil","Brazil","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",404,"successful_grants_11_15_fundamental","50"
"Brazil","Brazil","Female","Brazil","Brazil","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",405,"successful_grants_11_15_fundamental","60"
"Brazil","Brazil","Male","Brazil","Brazil","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Natural Science",406,"successful_grants_11_15_fundamental","0"
"Brazil","Brazil","Male","Brazil","Brazil","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",407,"successful_grants_11_15_fundamental","50"
"Brazil","Brazil","Male","Brazil","Brazil","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science",408,"successful_grants_11_15_fundamental","100"
"Brazil","Brazil","Male","Brazil","Brazil","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",410,"successful_grants_11_15_fundamental","30"
"Spain","Spain","Male","Spain","Spain","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",411,"successful_grants_11_15_fundamental","100"
"Brazil","Brazil","Female","Brazil","Brazil","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",412,"successful_grants_11_15_fundamental","70"
"Brazil","Brazil","Female","Brazil","Brazil","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",413,"successful_grants_11_15_fundamental","80"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",414,"successful_grants_11_15_fundamental","70"
"Uruguay","Uruguay","Male","Uruguay","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",415,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",416,"successful_grants_11_15_fundamental","30"
"Canada","Canada","Female","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",417,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",419,"successful_grants_11_15_fundamental","70"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",420,"successful_grants_11_15_fundamental","80"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",422,"successful_grants_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Engineering",423,"successful_grants_11_15_fundamental","100"
"","Canada","Male","Canada","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)",424,"successful_grants_11_15_fundamental","60"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",425,"successful_grants_11_15_fundamental","30"
"Canada","Canada","Male","Canada","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",426,"successful_grants_11_15_fundamental","40"
"Canada","Canada","Male","Canada","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",427,"successful_grants_11_15_fundamental","0"
"Canada","Canada","Female","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",428,"successful_grants_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",429,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Male","Canada","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science",430,"successful_grants_11_15_fundamental","0"
"Canada","Canada","Female","Canada","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",432,"successful_grants_11_15_fundamental","50"
"Canada","Canada","Male","Canada","Newfoundland and Labrador","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",433,"successful_grants_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Alberta","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Engineering",434,"successful_grants_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",435,"successful_grants_11_15_fundamental","40"
"Canada","Canada","Female","Canada","Prince Edward Island","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",436,"successful_grants_11_15_fundamental","30"
"Canada","Canada","Male","Canada","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",437,"successful_grants_11_15_fundamental","20"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",438,"successful_grants_11_15_fundamental","80"
"Canada","Canada","Female","Canada","New Brunswick","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",440,"successful_grants_11_15_fundamental","30"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",441,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",442,"successful_grants_11_15_fundamental","90"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",443,"successful_grants_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",444,"successful_grants_11_15_fundamental","50"
"Canada","Canada","Male","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",445,"successful_grants_11_15_fundamental","70"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",446,"successful_grants_11_15_fundamental","90"
"Canada","Canada","Female","Canada","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",447,"successful_grants_11_15_fundamental","30"
"Canada","Canada","Male","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",448,"successful_grants_11_15_fundamental","70"
"Canada","Canada","Female","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",449,"successful_grants_11_15_fundamental","40"
"Canada","Canada","Male","Canada","Ontario","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Physical Science (eg. math, physics, chemistry, computer science)",450,"successful_grants_11_15_fundamental","50"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",451,"successful_grants_11_15_fundamental","30"
"Canada","Canada","Female","Canada","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",452,"successful_grants_11_15_fundamental","50"
"Canada","Canada","Male","Canada","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",453,"successful_grants_11_15_fundamental","30"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",454,"successful_grants_11_15_fundamental","40"
"Canada","Canada","Female","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",455,"successful_grants_11_15_fundamental","90"
"Canada","Canada","Male","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",456,"successful_grants_11_15_fundamental","80"
"Austria","Canada","Male","Canada","Austria","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",457,"successful_grants_11_15_fundamental","80"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",458,"successful_grants_11_15_fundamental","40"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",459,"successful_grants_11_15_fundamental","80"
"Canada","Canada","Male","Canada","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",460,"successful_grants_11_15_fundamental","20"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",461,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Engineering",462,"successful_grants_11_15_fundamental","0"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",464,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Male","Canada","Saskatchewan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",465,"successful_grants_11_15_fundamental","100"
"United States","Canada","Male","Canada","Wisconsin","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",466,"successful_grants_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",467,"successful_grants_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",468,"successful_grants_11_15_fundamental","10"
"Canada","Canada","Male","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",469,"successful_grants_11_15_fundamental","30"
"United States","Canada","Male","Canada","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",470,"successful_grants_11_15_fundamental","70"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",471,"successful_grants_11_15_fundamental","70"
"Canada","Canada","Female","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",472,"successful_grants_11_15_fundamental","60"
"Canada","Canada","Male","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",473,"successful_grants_11_15_fundamental","50"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",474,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Female","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",475,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Engineering",476,"successful_grants_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",477,"successful_grants_11_15_fundamental","50"
"Canada","Canada","Female","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",479,"successful_grants_11_15_fundamental","20"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Engineering",480,"successful_grants_11_15_fundamental","50"
"France","Canada","Male","Canada","France","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",481,"successful_grants_11_15_fundamental","10"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",482,"successful_grants_11_15_fundamental","100"
"","Canada","Male","Canada","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)",483,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Male","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",484,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",485,"successful_grants_11_15_fundamental","60"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Engineering",486,"successful_grants_11_15_fundamental","50"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",487,"successful_grants_11_15_fundamental","50"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",488,"successful_grants_11_15_fundamental","70"
"Canada","Canada","Female","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",489,"successful_grants_11_15_fundamental","30"
"Canada","","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",490,"successful_grants_11_15_fundamental","90"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",491,"successful_grants_11_15_fundamental","90"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",492,"successful_grants_11_15_fundamental","20"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",493,"successful_grants_11_15_fundamental","30"
"Canada","Canada","Male","Canada","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",494,"successful_grants_11_15_fundamental","60"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",495,"successful_grants_11_15_fundamental","20"
"Canada","Canada","Female","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",496,"successful_grants_11_15_fundamental","30"
"Canada","Canada","Male","Canada","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",497,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",498,"successful_grants_11_15_fundamental","90"
"France","Canada","Male","Canada","France","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",500,"successful_grants_11_15_fundamental","50"
"Canada","Canada","","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",501,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",502,"successful_grants_11_15_fundamental","80"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",503,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Female","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",504,"successful_grants_11_15_fundamental","90"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",505,"successful_grants_11_15_fundamental","30"
"","Canada","Female","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",506,"successful_grants_11_15_fundamental","40"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",507,"successful_grants_11_15_fundamental","80"
"Canada","Canada","Female","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",508,"successful_grants_11_15_fundamental","50"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",509,"successful_grants_11_15_fundamental","60"
"Canada","Canada","Male","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Engineering",510,"successful_grants_11_15_fundamental","30"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",512,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Female","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",513,"successful_grants_11_15_fundamental","50"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",514,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Male","Canada","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",515,"successful_grants_11_15_fundamental","60"
"Canada","","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",517,"successful_grants_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",518,"successful_grants_11_15_fundamental","30"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",519,"successful_grants_11_15_fundamental","100"
"Canada","Central African Republic","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",520,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",521,"successful_grants_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",522,"successful_grants_11_15_fundamental","20"
"Canada","Canada","Female","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",523,"successful_grants_11_15_fundamental","80"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",524,"successful_grants_11_15_fundamental","80"
"Switzerland","Canada","Male","Canada","Switzerland","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",525,"successful_grants_11_15_fundamental","70"
"Canada","Canada","","Canada","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",526,"successful_grants_11_15_fundamental","50"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",528,"successful_grants_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",530,"successful_grants_11_15_fundamental","70"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",531,"successful_grants_11_15_fundamental","90"
"Poland","Canada","Male","Canada","Poland","Senior academic researcher with >10 years of experience applying for research grants","Engineering",533,"successful_grants_11_15_fundamental","60"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",534,"successful_grants_11_15_fundamental","20"
"Canada","Canada","Male","Canada","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",535,"successful_grants_11_15_fundamental","100"
"Canada","Chad","Male","Canada","Newfoundland and Labrador","Senior academic researcher with >10 years of experience applying for research grants","Engineering",536,"successful_grants_11_15_fundamental","80"
"Canada","Canada","Female","Canada","Quebec","","Natural Science",537,"successful_grants_11_15_fundamental","70"
"Canada","Canada","Male","Canada","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",538,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Male","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",539,"successful_grants_11_15_fundamental","90"
"Canada","Canada","Male","Canada","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",541,"successful_grants_11_15_fundamental","20"
"Canada","","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",542,"successful_grants_11_15_fundamental","70"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",543,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",544,"successful_grants_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",545,"successful_grants_11_15_fundamental","50"
"Canada","Canada","Female","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",546,"successful_grants_11_15_fundamental","50"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",547,"successful_grants_11_15_fundamental","90"
"Canada","Canada","Female","Canada","Newfoundland and Labrador","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",548,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",549,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",550,"successful_grants_11_15_fundamental","20"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",551,"successful_grants_11_15_fundamental","20"
"Canada","Canada","Female","Canada","Ontario","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science",552,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Male","Canada","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",553,"successful_grants_11_15_fundamental","80"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",554,"successful_grants_11_15_fundamental","40"
"Uruguay","Uruguay","Male","Uruguay","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",555,"successful_grants_11_15_fundamental","80"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",556,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Female","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",557,"successful_grants_11_15_fundamental","50"
"","","Female","","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",558,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",559,"successful_grants_11_15_fundamental","80"
"Canada","Canada","Male","Canada","Manitoba","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",560,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",561,"successful_grants_11_15_fundamental","80"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",563,"successful_grants_11_15_fundamental","80"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",564,"successful_grants_11_15_fundamental","30"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",565,"successful_grants_11_15_fundamental","40"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",566,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Male","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",567,"successful_grants_11_15_fundamental","90"
"Canada","Canada","Female","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",568,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Female","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",569,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Female","Canada","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",570,"successful_grants_11_15_fundamental","100"
"Canada","Canada","Male","Canada","Ontario","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)",571,"successful_grants_11_15_fundamental","0"
"Canada","","Male","Canada","Manitoba","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",572,"successful_grants_11_15_fundamental","50"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",573,"successful_grants_11_15_fundamental","80"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",574,"successful_grants_11_15_fundamental","50"
"Canada","Canada","Male","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",575,"successful_grants_11_15_fundamental","80"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",576,"successful_grants_11_15_fundamental","50"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",577,"successful_grants_11_15_fundamental","50"
