"Status","Updated_At","Location","what_participant_group","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Applied_Research_current","changed_10yrs","percent_Fundamental_Research_past","percent_Use_inspired_Research_past","percent_Applied_Research_past","Main_reason_change_interest_related","Main_reason_change_Career_related","Main_reason_change_Funding_related","Main_reason_change_Socially_related","Main_reason_change_Other","Main_reason_change_Other_text","view_change_of_type","partnership_outside","partnership_change_10yrs","partnership_outside_before","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_11_15_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","external_pi_grant_6_10_applied","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_internal","distriution_funding_11_15_government","distriution_funding_11_15_for_profit","distriution_funding_11_15_nongov","distriution_funding_11_15_other","distriution_funding_11_15_other_text","distriution_funding_6_10_internal","distriution_funding_6_10_government","distriution_funding_6_10_for_profit","distriution_funding_6_10_nongov","distriution_funding_6_10_other","distriution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","high_priority_comments","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","next_generation_Comments","field_research","PhD_Year","Country_work","gender","Country","nation"
"Complete","6/27/16 19:45","Alberta","Senior academic researcher with >10 years of experience applying for research grants","60%","30%","10%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","3-Jan","","3-Jan","3-Jan","","40%","20%","","40%","10%","","Very important","Somewhat important","Quite important","Not very important","20%","70%","10%","0%","0%","","10%","70%","20%","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Increased considerably","Increased considerably","Somewhat important",NA,NA,1,NA,"","Will stay the same","Will increase slightly","Will increase considerably","Can't comment","","Engineering","1994","Canada","Male","Canada","Canada"
"Complete","6/27/16 19:55","Alberta","Senior academic researcher with >10 years of experience applying for research grants","90%","10%","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","","","6-Apr","","","20%","","","40%","","","Very important","Somewhat important","Can't comment","Can't comment","10%","80%","","10%","","","10%","90%","","","","","Decreased","Decreased","Can't comment","Very important",NA,1,NA,NA,"This trend was started massively by the Harper Government while the current government tries hard to reverse this trend and mitigate the damage that has been done.  ","Will increase slightly","Can't comment","Can't comment","Can't comment","In order to maintain innovation in the long term a reasonable balance between use-inspired research and fundamental research should be defined and then translated into $ given to funding agencies. Reason: if one only funds use-inspired research then where are new ideas for better drugs going o come from? Only to invest in use-inspired research is short sighted and not worthy of any OECD country. ","Interdisciplinary Science","1997","Canada","Male","Canada","Canada"
"Complete","6/27/16 19:49","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","50%","10%","40%","Yes","100%","0%","0%",NA,1,1,NA,NA,"","Slightly negative","Some partnership","Yes","No partnership",NA,1,NA,1,NA,"","Slightly negative","9-Jul","3-Jan","9-Jul","12-Oct","0","6-Apr","10%","100%","80%","80%","No need for applications for this research type","90%","Very important","Somewhat important","Quite important","Not very important","20%","30%","40%","10%","","","10%","60%","20%","10%","","","Decreased considerably","Can't comment","Increased","Somewhat important",NA,NA,1,NA,"","Will increase slightly","Will stay the same","Will decrease slightly","Will increase slightly","","Natural Science","1991","Canada","Male","Canada","Canada"
"Complete","6/27/16 19:43","Alberta","Senior academic researcher with >10 years of experience applying for research grants","90%","","10%","Yes","90%","","10%",NA,NA,1,NA,NA,"","Neutral","Some partnership","Yes","Strong partnership",1,NA,NA,NA,NA,"","Slightly positive","6-Apr","","3-Jan","6-Apr","","3-Jan","80%","","60%","80%","","60%","Very important","Very important","Mandatory","Mandatory","20%","70%","10%","","","","20%","70%","10%","","","","Decreased considerably","Decreased","Stayed the same","Not at all important",NA,NA,1,NA,"","Will increase slightly","Will stay the same","Will stay the same","Will increase considerably","","Physical Science (eg. math, physics, chemistry, computer science)","1989","Canada","Male","Canada","Canada"
"Complete","6/27/16 19:45","Nevada","Senior academic researcher with >10 years of experience applying for research grants","50%","30%","20%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","No partnership",1,NA,NA,1,NA,"","Very positive","3-Jan","","3-Jan","3-Jan","","3-Jan","100%","","30%","100%","","30%","Very important","Very important","Somewhat important","Somewhat important","0%","50%","","50%","","","50%","","","50%","","","Stayed the same","","Stayed the same","Not very important",NA,NA,1,NA,"","Will decrease considerably","","Will increase considerably","Will increase considerably","","Physical Science (eg. math, physics, chemistry, computer science)","1982","Canada","Male","USA","Canada"
"Complete","6/27/16 19:45","Ontario","Senior academic researcher with >10 years of experience applying for research grants","60%","20%","20%","Yes","80%","20%","0%",NA,NA,1,NA,NA,"","Slightly negative","Strong partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","6-Apr","6-Apr","6-Apr","0","3-Jan","60%","No need for applications for this research type","30%","60%","No need for applications for this research type","100%","Very important","Somewhat important","Quite important","Not very important","10%","30%","30%","30%","","","20%","70%","","10%","","","Decreased","Stayed the same","Stayed the same","Somewhat important",NA,NA,1,NA,"","Will increase slightly","Can't comment","Can't comment","","","Medicine and Life Science","1996","Canada","Male","Canada","Canada"
"Complete","6/27/16 19:51","Ontario","Senior academic researcher with >10 years of experience applying for research grants","20%","40%","40%","Yes","30%","40%","30%",NA,1,1,NA,NA,"","Slightly negative","Strong partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Neutral","3-Jan","9-Jul","3-Jan","3-Jan","6-Apr","3-Jan","100%","80%","100%","100%","100%","100%","Mandatory","Very important","Mandatory","Somewhat important","20%","50%","30%","","","","20%","70%","10%","","","","Decreased considerably","Increased","Increased","Not at all important",NA,1,1,NA,"I worked as a government research scientist for 9 years, until the government decided fundamental research in my area was not at all a priority, and I was laid off. ","Will stay the same","Will stay the same","Will stay the same","Will decrease slightly","","Natural Science","2005","Canada","Female","Canada","Canada"
"Complete","6/27/16 19:45","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","70%","30%","","Yes","100%","","",NA,NA,1,NA,NA,"","Neutral","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","6-Apr","3-Jan","0","","","","30%","0%","No need for applications for this research type","","","","Not at all important","Can't comment","Quite important","Can't comment","40%","60%","0%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Increased","Increased considerably","Somewhat important",NA,1,1,NA,"An increased amount of research funds have been allocated to applications that require an industry collaborator.","Will increase slightly","Will stay the same","Will increase considerably","Will increase considerably","","Medicine and Life Science","2008","Canada","Female","Canada","Canada"
"Complete","6/27/16 19:44","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","80%","","20%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Some partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","9-Jul","0","3-Jan","0","0","0","30%","No need for applications for this research type","0%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Somewhat important","Can't comment","Quite important","Can't comment","20%","40%","0%","40%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Increased","Increased considerably","Not very important",NA,NA,1,NA,"","Will increase slightly","Will increase slightly","Will stay the same","Will decrease slightly","","Medicine and Life Science","2006","Canada","Male","Canada","Canada"
"Complete","6/27/16 19:50","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","20%","0%","80%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","No partnership",NA,NA,NA,1,NA,"","Slightly negative","3-Jan","0","12-Oct","0","0","0","100%","No need for applications for this research type","90%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Mandatory","Can't comment","Not very important","Can't comment","10%","90%","0%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Can't comment","Increased considerably","Not very important",NA,NA,1,NA,"","Will increase slightly","Can't comment","Will stay the same","Will increase slightly","When I tell physics students about the current level of funding for applied science and lack of funding for fundamental science, they seem far less interested in pursuing research at the faculty level.","Physical Science (eg. math, physics, chemistry, computer science)","2007","Canada","Male","Canada","Canada"
"Complete","6/27/16 19:58","Nevada","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","20%","80%","40%","Yes","20%","70%","10%",NA,1,1,NA,NA,"","Slightly negative","Strong partnership","Yes","Some partnership",NA,1,NA,1,NA,"","Slightly negative","12-Oct","6-Apr","6-Apr","9-Jul","6-Apr","3-Jan","No need for applications for this research type","40%","70%","No need for applications for this research type","50%","70%","Mandatory","Very important","Mandatory","Quite important","50%","30%","20%","0%","0%","","30%","70%","0%","0%","0%","","Decreased considerably","Decreased","Stayed the same","Not very important",NA,NA,1,NA,"Thanks to Harper.  Hopefully things could change with Trudeau ","Will decrease slightly","Will decrease slightly","Will stay the same","Will decrease slightly","","Physical Science (eg. math, physics, chemistry, computer science)","2006","Canada","Male","USA","Canada"
"Complete","6/27/16 19:46","Ontario","Senior academic researcher with >10 years of experience applying for research grants","80%","10%","10%","Yes","100%","","",NA,NA,1,NA,NA,"","Slightly negative","Some partnership","Yes","No partnership",NA,NA,NA,1,NA,"","Slightly negative","3-Jan","3-Jan","3-Jan","6-Apr","","","0%","100%","100%","50%","No need for applications for this research type","No need for applications for this research type","Mandatory","Quite important","Mandatory","Not at all important","","50%","50%","","","","20%","80%","","","","","Decreased considerably","Increased considerably","Increased considerably","Somewhat important",NA,NA,1,NA,"","Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease slightly","","Natural Science","2000","Canada","Female","Canada","Canada"
"Complete","6/27/16 19:49","Alberta","Senior academic researcher with >10 years of experience applying for research grants","80%","10%","10%","Yes","90%","10%","",1,NA,NA,NA,NA,"","Neutral","Some partnership","No","",NA,NA,NA,NA,NA,"","","9-Jul","3-Jan","0","9-Jul","0","0","70%","100%","","","","","Not at all important","Not at all important","Not at all important","Not at all important","10%","90%","","","","","","100%","","","","","Decreased","Increased","Can't comment","Very important",NA,1,1,NA,"","Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly","","Medicine and Life Science","1978","United States","Male","Canada","United States"
"Complete","6/27/16 19:54","Quebec","Senior academic researcher with >10 years of experience applying for research grants","0%","100%","0%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","Some partnership",1,NA,NA,NA,NA,"","Very positive","","9-Jul","","","16+","","No need for applications for this research type","20%","No need for applications for this research type","No need for applications for this research type","80%","No need for applications for this research type","Mandatory","Quite important","Quite important","Not very important","0%","90%","10%","0%","0%","","New researcher (no funding in these years)","100%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Decreased considerably","Increased considerably","Somewhat important",NA,NA,1,NA,"","Will decrease considerably","Will decrease considerably","Will increase considerably","Will decrease considerably","","Medicine and Life Science","1990","Canada","Female","Canada","Canada"
"Complete","6/28/16 15:58","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","50%","0%","50%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","","3-Jan","3-Jan","","3-Jan","70%","","70%","100%","","100%","Very important","Very important","Quite important","Quite important","10%","90%","0%","0%","0%","","30%","70%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Can't comment","Increased","Somewhat important",NA,NA,1,NA,"","Will decrease slightly","Can't comment","Will increase considerably","Will decrease slightly","","Physical Science (eg. math, physics, chemistry, computer science)","2004","Canada","Male","Canada","Canada"
"Complete","6/27/16 19:48","Ontario","Senior academic researcher with >10 years of experience applying for research grants","50%","","50%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","","","3-Jan","","","70%","","","50%","","","Very important","Quite important","Quite important","Somewhat important","20%","80%","0%","0%","0%","","20%","80%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Can't comment","Stayed the same","Somewhat important",NA,NA,1,NA,"","Will increase slightly","Can't comment","Will stay the same","Will stay the same","","Physical Science (eg. math, physics, chemistry, computer science)","1988","Canada","Male","Canada","Canada"
"Complete","6/27/16 19:46","Ontario","Senior academic researcher with >10 years of experience applying for research grants","100%","","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","","","9-Jul","","","100%","","","70%","","","Somewhat important","Somewhat important","Not very important","Not very important","","100%","","","","","","100%","","","","","Decreased","Stayed the same","Increased","Not very important",NA,NA,1,NA,"","Will stay the same","Will stay the same","Will stay the same","Will decrease slightly","With our recent change of government, it is difficult to predict how the availability of research funding will change over the next few years.  I am hopeful that funding for fundamental research will stay the same or perhaps increase a little...","Natural Science","1992","Canada","Female","Canada","Canada"
"Complete","6/27/16 19:49","France","Senior academic researcher with >10 years of experience applying for research grants","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","3-Jan","0","0","90%","No need for applications for this research type","No need for applications for this research type","100%","No need for applications for this research type","No need for applications for this research type","Somewhat important","Somewhat important","Not at all important","Not at all important","","100%","","","","","","100%","","","","","Decreased","Can't comment","Can't comment","Somewhat important",NA,NA,1,NA,"","Will stay the same","Can't comment","Can't comment","Will decrease slightly","","Physical Science (eg. math, physics, chemistry, computer science)","1991","Canada","Male","France","Canada"
"Complete","6/27/16 19:54","Alberta","Senior academic researcher with >10 years of experience applying for research grants","70%","30%","0%","Yes","90%","10%","0%",NA,NA,1,NA,NA,"","Slightly negative","Some partnership","Yes","No partnership",NA,NA,NA,1,NA,"","Slightly negative","6-Apr","6-Apr","0","6-Apr","0","0","80%","0%","0%","80%","100%","0%","Mandatory","Quite important","Quite important","Not at all important","0%","80%","20%","0%","0%","","30%","70%","0%","0%","10%","International collaborative grants (mostly for travel). ","Decreased","Increased","Increased","Very important",NA,NA,1,NA,"","Will decrease slightly","Will stay the same","Will increase slightly","Will decrease considerably","","Engineering","2005","Canada","Female","Canada","Canada"
"Complete","6/27/16 19:51","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","80%","20%","","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","9-Jul","3-Jan","0","3-Jan","0","0","80%","100%","No need for applications for this research type","100%","No need for applications for this research type","No need for applications for this research type","Somewhat important","Can't comment","Not very important","Can't comment","10%","60%","10%","0%","20%","Private Foundation","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Can't comment","Can't comment","Can't comment","Very important",NA,NA,1,NA,"","Will increase slightly","Will increase slightly","Will decrease slightly","Can't comment","","Physical Science (eg. math, physics, chemistry, computer science)","2008","Canada","Male","Canada","Canada"
"Complete","6/27/16 19:56","Alberta","Senior academic researcher with >10 years of experience applying for research grants","80%","","20%","Yes","100%","0%","0%",1,NA,NA,NA,NA,"","Neutral","No partnership","No","",NA,NA,NA,NA,NA,"","","9-Jul","","","3-Jan","","","30%","","","90%","","","Not at all important","Not at all important","Not at all important","Not at all important","100%","","","","","","50%","50%","","","","","Stayed the same","Increased","Increased","Somewhat important",NA,NA,1,NA,"","Will increase slightly","","","Will increase considerably","","Physical Science (eg. math, physics, chemistry, computer science)","1999","Canada","Female","Canada","Canada"
"Complete","6/27/16 19:52","Alberta","Senior academic researcher with >10 years of experience applying for research grants","10%","40%","50%","Yes","30%","30%","40%",NA,NA,1,NA,NA,"","Slightly negative","Some partnership","Yes","No partnership",NA,NA,NA,1,NA,"","Neutral","3-Jan","3-Jan","3-Jan","0","","6-Apr","50%","60%","80%","50%","60%","70%","Very important","Quite important","Mandatory","Quite important","0%","60%","40%","0%","0%","","20%","80%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Stayed the same","Increased","Not very important",NA,NA,1,NA,"","Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly","","Engineering","2004","Canada","Male","Canada","Canada"
"Complete","6/27/16 19:52","Ontario","Senior academic researcher with >10 years of experience applying for research grants","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Slightly negative","12-Oct","0","3-Jan","12-Oct","0","3-Jan","30%","No need for applications for this research type","0%","30%","No need for applications for this research type","0%","Somewhat important","Somewhat important","Not very important","Not very important","30%","","70%","","","","30%","60%","","10%","","","Decreased","Can't comment","Stayed the same","Somewhat important",NA,NA,1,NA,"","Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same","","Physical Science (eg. math, physics, chemistry, computer science)","1991","Canada","Male","Canada","Canada"
"Complete","7/5/16 19:31","Ontario","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","10%","40%","50%","Yes","70%","30%","0%",NA,NA,1,NA,NA,"","Slightly negative","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","3-Jan","3-Jan","0","0","0","0%","0%","0%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","Somewhat important","Quite important","Not at all important","50%","50%","","","","","50%","50%","","","","","Decreased considerably","Decreased","Increased","Somewhat important",NA,NA,1,NA,"judged based on commercially viable products and patents generated","Will increase slightly","Will stay the same","Will decrease slightly","Will increase considerably","i am seeking employment outside academia until the funding situation improves","Physical Science (eg. math, physics, chemistry, computer science)","2014","Canada","Female","Canada","Canada"
"Complete","6/27/16 19:52","Ontario","Senior academic researcher with >10 years of experience applying for research grants","30%","40%","30%","No","","","",NA,NA,NA,NA,NA,"","","Strong partnership","Yes","Some partnership",1,NA,NA,1,NA,"","Very positive","6-Apr","3-Jan","0","3-Jan","3-Jan","0","70%","30%","30%","60%","20%","30%","Mandatory","Mandatory","Quite important","Quite important","10%","60%","30%","0%","0%","","10%","50%","40%","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Stayed the same","Increased","Very important",1,NA,NA,NA,"","Will decrease slightly","Will stay the same","Will increase slightly","Will decrease considerably","","Engineering","","","Male","Canada","Netherlands"
"Complete","6/27/16 19:56","Manitoba","Senior academic researcher with >10 years of experience applying for research grants","50%","50%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","3-Jan","3-Jan","0","0%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Can't comment","Can't comment","Quite important","Quite important","100%","0%","0%","0%","0%","","0%","100%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Increased","Increased considerably","Somewhat important",NA,NA,1,NA,"Even given Canada's change of government, it remains unclear whether research priorities will change over the next few years.","Will stay the same","Will stay the same","Will stay the same","Will stay the same","","Physical Science (eg. math, physics, chemistry, computer science)","1988","Canada","Male","Canada","Canada"
"Complete","6/27/16 19:59","Quebec","Senior academic researcher with >10 years of experience applying for research grants","100%","","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","9-Jul","0","0","9-Jul","0","0","100%","No need for applications for this research type","0%","100%","No need for applications for this research type","0%","Somewhat important","Somewhat important","Not at all important","Not at all important","0%","100%","0%","0%","0%","","0%","100%","0%","0%","0%","","Decreased considerably","Can't comment","Increased considerably","Somewhat important",NA,1,1,NA,"","Can't comment","Can't comment","Can't comment","Will decrease considerably","","Medicine and Life Science","1988","Canada","Male","Canada","Canada"
"Complete","6/27/16 19:55","Manitoba","Senior academic researcher with >10 years of experience applying for research grants","30%","40%","30%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","","3-Jan","3-Jan","","3-Jan","","","60%","0%","","100%","","Mandatory","Quite important","Quite important","Somewhat important","0%","90%","10%","0%","0%","","","100%","","","","","Decreased","Decreased","Increased considerably","Very important",NA,NA,1,NA,"","Will increase slightly","Will stay the same","Will decrease slightly","Will stay the same","","Natural Science","","Canada","Male","Canada","Canada"
"Complete","6/27/16 19:58","","Senior academic researcher with >10 years of experience applying for research grants","10%","50%","40%","No","","","",NA,NA,NA,NA,NA,"","","Strong partnership","Yes","Exclusive partnership",NA,NA,NA,NA,1,"Fraud by industry partners","Very negative","3-Jan","3-Jan","3-Jan","3-Jan","3-Jan","3-Jan","100%","100%","100%","100%","100%","100%","Very important","Very important","Quite important","Quite important","0%","50%","50%","0%","0%","","10%","40%","50%","0%","0%","","Stayed the same","Stayed the same","Stayed the same","Not very important",NA,NA,NA,1,"","Will stay the same","Will stay the same","Will stay the same","Will stay the same","","Engineering","2001","Canada","","","Canada"
"Complete","6/27/16 21:08","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","0%","50%","50%","Yes","","100%","",NA,1,1,NA,NA,"","Slightly positive","Some partnership","Yes","No partnership",NA,1,NA,1,NA,"","Slightly negative","0","3-Jan","3-Jan","0","3-Jan","0","","60%","100%","No need for applications for this research type","100%","No need for applications for this research type","Very important","Can't comment","Quite important","Can't comment","","60%","40%","","","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Can't comment","Can't comment","Can't comment","Not very important",NA,NA,1,NA,"","Will increase slightly","Will increase slightly","Will increase considerably","Will decrease slightly","","Engineering","2009","Canada","Male","Canada","Canada"
"Complete","6/27/16 20:04","Ontario","Senior academic researcher with >10 years of experience applying for research grants","70%","30%","","Yes","80%","20%","",1,NA,1,NA,NA,"","Slightly negative","Some partnership","Yes","No partnership",1,NA,NA,1,NA,"","Slightly positive","6-Apr","3-Jan","","9-Jul","0","","80%","80%","","80%","","","Very important","Quite important","Quite important","","0%","90%","10%","0%","0%","","New researcher (no funding in these years)","100%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Decreased considerably","Increased considerably","Can't comment",NA,1,1,NA,"I don't understand the wording in the first part of this question.The Harper government definitely markedly decreased funding to basic research and shifted some of the funding towards use-inspired and applied research. It is too soon to say much about the Trudeau government, but there has been some increase in funding of fundamental research. I think fundamental research should be very important to all our governments.","Can't comment","Can't comment","Can't comment","Will decrease considerably","see comment to previous question. Here to I find the wording confusing. From the data I have seen, the interest of the next generation in pursuing careers in research has already been very negatively impacted; increased funding would certainly help to restore interest in research.","Physical Science (eg. math, physics, chemistry, computer science)","1992","Canada","Female","Canada","Canada"
"Complete","6/27/16 20:05","Ontario","Senior academic researcher with >10 years of experience applying for research grants","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","16+","","","16+","","","40%","","","60%","","","Mandatory","Very important","Somewhat important","Somewhat important","10%","70%","0%","20%","0%","","10%","","80%","10%","","","Decreased considerably","Can't comment","Can't comment","Very important",NA,NA,1,NA,"","Will increase slightly","Can't comment","Can't comment","Will increase slightly","","Medicine and Life Science","1996","Canada","Female","Canada","Canada"
"Complete","6/27/16 20:07","Ontario","Senior academic researcher with >10 years of experience applying for research grants","50%","50%","","Yes","90%","10%","",1,NA,1,NA,NA,"","Very positive","Some partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Slightly negative","3-Jan","0","6-Apr","6-Apr","0","3-Jan","100%","No need for applications for this research type","100%","100%","No need for applications for this research type","100%","Very important","Somewhat important","Quite important","Not very important","0%","80%","20%","0%","0%","","New researcher (no funding in these years)","90%","10%","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Can't comment","Increased considerably","Can't comment",NA,NA,1,NA,"I can't comment on the priority of fundamental research by the current federal liberal government as it is too soon to tell what if any changes they will make. It was certainly a very low priority for Harper's conservatives.","Will increase slightly","Can't comment","Will decrease slightly","Can't comment","","Natural Science","1992","Canada","Female","Canada","Canada"
"Complete","6/27/16 20:01","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","80%","20%","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","Yes","Strong partnership",1,1,NA,NA,1,"i worked for 2 years in non-gov conservation research - for those years my research was more use-inspired","Neutral","3-Jan","3-Jan","","0","0","0","50%","100%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Quite important","Not at all important","Somewhat important","Not at all important","40%","40%","0%","20%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Stayed the same","Stayed the same","Very important",NA,NA,1,NA,"industry-partnerships are now much easier to fund in the NSERC system (including graduate scholarships)","Will increase slightly","Will stay the same","Will stay the same","Can't comment","","Natural Science","2014","Canada","Female","Canada","Canada"
"Complete","6/27/16 20:00","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","80%","20%","0%","Yes","100%","0%","0%",NA,NA,1,NA,1,"invitations to collaborate with more application-focused researchers","Slightly positive","No partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","0","0","6-Apr","0","0","50%","No need for applications for this research type","No need for applications for this research type","50%","No need for applications for this research type","No need for applications for this research type","Quite important","Somewhat important","Somewhat important","Not very important","0%","100%","0%","0%","0%","","10%","90%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Increased","Increased considerably","Not at all important",NA,NA,1,NA,"","Will decrease considerably","Will stay the same","Will increase considerably","Will decrease considerably","","Medicine and Life Science","2000","Canada","Male","Canada","Canada"
"Complete","6/27/16 20:00","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","60%","40%","0%","Yes","70%","20%","0%",NA,NA,1,NA,NA,"","Very negative","Some partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Very negative","3-Jan","0","3-Jan","3-Jan","0","0","70%","No need for applications for this research type","100%","90%","No need for applications for this research type","No need for applications for this research type","Very important","Quite important","Quite important","Somewhat important","20%","80%","","","","","20%","80%","","","","","Decreased considerably","Increased","Increased considerably","Somewhat important",NA,1,1,NA,"","Will stay the same","Will increase slightly","Will increase slightly","Will stay the same","","Physical Science (eg. math, physics, chemistry, computer science)","2001","Canada","Male","Canada","Canada"
"Complete","6/27/16 20:05","Ontario","Senior academic researcher with >10 years of experience applying for research grants","80%","20%","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","Yes","Some partnership",1,NA,NA,NA,NA,"","Neutral","3-Jan","0","0","3-Jan","3-Jan","0","100%","","","100%","100%","","Somewhat important","Somewhat important","Somewhat important","Not very important","20%","80%","","","","","20%","70%","","10%","","","Decreased","Stayed the same","Can't comment","Very important",NA,NA,1,NA,"","Will stay the same","Will stay the same","Will increase slightly","Will decrease slightly","","Physical Science (eg. math, physics, chemistry, computer science)","1979","Canada","Female","Canada","Canada"
