"Country","Country_work","gender","nation","Location","what_participant_group","field_research","id","type.grant","number"
"Canada","Canada","Male","Canada","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","795","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Engineering","796","external_pi_grant_11_15_fundamental","0"
"United States","Canada","Female","Canada","New York","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Interdisciplinary Science","797","external_pi_grant_11_15_fundamental","0"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","798","external_pi_grant_11_15_fundamental","1-3"
"United Kingdom","France","Male","France","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","799","external_pi_grant_11_15_fundamental","0"
"","Canada","Male","Canada","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","800","external_pi_grant_11_15_fundamental","4-6"
"","Canada","Female","Canada","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","801","external_pi_grant_11_15_fundamental","0"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","802","external_pi_grant_11_15_fundamental","4-6"
"","Canada","Female","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Engineering","803","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","804","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","New Brunswick","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","805","external_pi_grant_11_15_fundamental","16+"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","806","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","807","external_pi_grant_11_15_fundamental","4-6"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","808","external_pi_grant_11_15_fundamental","7-9"
"United States","United States","Male","United States","New York","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","809","external_pi_grant_11_15_fundamental","10-12"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Engineering","810","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","811","external_pi_grant_11_15_fundamental","1-3"
"United States","United States","Male","United States","New Jersey","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Physical Science (eg. math, physics, chemistry, computer science)","812","external_pi_grant_11_15_fundamental","0"
"Australia","Canada","Male","Canada","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","813","external_pi_grant_11_15_fundamental","10-12"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","814","external_pi_grant_11_15_fundamental","16+"
"Canada","Canada","Male","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Engineering","815","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Female","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","816","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","817","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","818","external_pi_grant_11_15_fundamental","4-6"
"Japan","Canada","Male","Canada","Japan","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","819","external_pi_grant_11_15_fundamental","7-9"
"Canada","Canada","Female","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","820","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","821","external_pi_grant_11_15_fundamental","13-15"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","822","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","823","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Female","Canada","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","824","external_pi_grant_11_15_fundamental","4-6"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","825","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","826","external_pi_grant_11_15_fundamental","1-3"
"","Canada","Male","Canada","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","827","external_pi_grant_11_15_fundamental","4-6"
"Canada","Canada","Female","Canada","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","828","external_pi_grant_11_15_fundamental","1-3"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","829","external_pi_grant_11_15_fundamental","1-3"
"India","Canada","Male","Canada","India","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","830","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Ontario","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Natural Science","831","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","832","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","833","external_pi_grant_11_15_fundamental","1-3"
"United States","Canada","Male","Canada","Illinois","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","834","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","835","external_pi_grant_11_15_fundamental","13-15"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","836","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Engineering","837","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Female","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","838","external_pi_grant_11_15_fundamental","1-3"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","839","external_pi_grant_11_15_fundamental","4-6"
"Canada","Canada","Male","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","840","external_pi_grant_11_15_fundamental","1-3"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","841","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","842","external_pi_grant_11_15_fundamental","1-3"
"Ethiopia","Canada","Male","Canada","Ethiopia","Senior academic researcher with >10 years of experience applying for research grants","Engineering","843","external_pi_grant_11_15_fundamental","1-3"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","844","external_pi_grant_11_15_fundamental","1-3"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","845","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Engineering","846","external_pi_grant_11_15_fundamental","0"
"Italy","Canada","Male","Canada","Italy","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","847","external_pi_grant_11_15_fundamental","4-6"
"","Canada","Female","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","848","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","849","external_pi_grant_11_15_fundamental","4-6"
"Finland","Canada","Male","Canada","Finland","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","850","external_pi_grant_11_15_fundamental","7-9"
"Canada","Canada","Male","Canada","New Brunswick","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","851","external_pi_grant_11_15_fundamental","4-6"
"Serbia","Serbia","Female","Serbia","Serbia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","852","external_pi_grant_11_15_fundamental","4-6"
"Greece","Canada","Female","Canada","Greece","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","853","external_pi_grant_11_15_fundamental","10-12"
"Switzerland","Canada","Male","Canada","Switzerland","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","854","external_pi_grant_11_15_fundamental","4-6"
"Canada","Canada","Male","Canada","Nova Scotia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","855","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","856","external_pi_grant_11_15_fundamental","1-3"
"France","Canada","Female","Canada","France","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","857","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","858","external_pi_grant_11_15_fundamental","1-3"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","859","external_pi_grant_11_15_fundamental","1-3"
"France","Canada","Female","Canada","France","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","860","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","861","external_pi_grant_11_15_fundamental","4-6"
"Canada","Canada","Female","Canada","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","862","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","863","external_pi_grant_11_15_fundamental","1-3"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","864","external_pi_grant_11_15_fundamental","4-6"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","865","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","866","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","867","external_pi_grant_11_15_fundamental","4-6"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Engineering","868","external_pi_grant_11_15_fundamental","1-3"
"Brazil","Canada","Male","Canada","Brazil","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","869","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","870","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Newfoundland and Labrador","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","871","external_pi_grant_11_15_fundamental","1-3"
"","Canada","Male","Canada","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","872","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","873","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Nova Scotia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","874","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Quebec","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","875","external_pi_grant_11_15_fundamental","10-12"
"Canada","Canada","Female","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","876","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Female","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","877","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","878","external_pi_grant_11_15_fundamental","7-9"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","879","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","880","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Female","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","881","external_pi_grant_11_15_fundamental","1-3"
"Uruguay","Uruguay","Female","Uruguay","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","882","external_pi_grant_11_15_fundamental","10-12"
"","Canada","Female","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","883","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","884","external_pi_grant_11_15_fundamental","13-15"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","885","external_pi_grant_11_15_fundamental","16+"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Engineering","886","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","887","external_pi_grant_11_15_fundamental","1-3"
"Germany","Canada","Male","Canada","Germany","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","888","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","889","external_pi_grant_11_15_fundamental","1-3"
"Netherlands","Canada","Male","Canada","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","890","external_pi_grant_11_15_fundamental","4-6"
"Canada","Canada","Male","Canada","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","891","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","892","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Engineering","893","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Female","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","894","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","895","external_pi_grant_11_15_fundamental","4-6"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","896","external_pi_grant_11_15_fundamental","1-3"
"Greece","Canada","Male","Canada","Greece","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","897","external_pi_grant_11_15_fundamental","10-12"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","898","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","899","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Female","Canada","Quebec","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","900","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Engineering","901","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","902","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","903","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Female","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","904","external_pi_grant_11_15_fundamental","4-6"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","905","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Female","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","906","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","907","external_pi_grant_11_15_fundamental","10-12"
"Canada","Canada","Male","Canada","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","908","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","909","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","910","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","911","external_pi_grant_11_15_fundamental","1-3"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","912","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","913","external_pi_grant_11_15_fundamental","4-6"
"","Canada","Male","Canada","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","914","external_pi_grant_11_15_fundamental","1-3"
"United Kingdom","Canada","Male","Canada","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","915","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","916","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","917","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","918","external_pi_grant_11_15_fundamental","16+"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","919","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Female","Canada","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Interdisciplinary Science","920","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Female","Canada","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","921","external_pi_grant_11_15_fundamental","4-6"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","922","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","923","external_pi_grant_11_15_fundamental","16+"
"Canada","Canada","Male","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","924","external_pi_grant_11_15_fundamental","4-6"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","925","external_pi_grant_11_15_fundamental","10-12"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Engineering","926","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","927","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","928","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","929","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","930","external_pi_grant_11_15_fundamental","7-9"
"Canada","Canada","Female","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","931","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","932","external_pi_grant_11_15_fundamental","4-6"
"Canada","Canada","Male","Canada","Newfoundland and Labrador","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","933","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Manitoba","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","934","external_pi_grant_11_15_fundamental","4-6"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Engineering","935","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","936","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Female","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","937","external_pi_grant_11_15_fundamental","13-15"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","938","external_pi_grant_11_15_fundamental","4-6"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","939","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","940","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Female","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","941","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Female","Canada","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","942","external_pi_grant_11_15_fundamental","4-6"
"Canada","Canada","Male","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","943","external_pi_grant_11_15_fundamental","0"
"Brazil","Brazil","Male","Brazil","Brazil","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","944","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","945","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Engineering","946","external_pi_grant_11_15_fundamental","7-9"
"Canada","Canada","Female","Canada","Nova Scotia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","947","external_pi_grant_11_15_fundamental","10-12"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","948","external_pi_grant_11_15_fundamental","0"
"","Canada","Female","Canada","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","949","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","950","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","951","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Newfoundland and Labrador","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","952","external_pi_grant_11_15_fundamental","10-12"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","953","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","954","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Female","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","955","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","956","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","957","external_pi_grant_11_15_fundamental","10-12"
"Canada","Canada","Male","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","958","external_pi_grant_11_15_fundamental","16+"
"","Canada","Male","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","959","external_pi_grant_11_15_fundamental","7-9"
"Canada","Canada","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Engineering","960","external_pi_grant_11_15_fundamental","1-3"
"Uruguay","Uruguay","Male","Uruguay","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","961","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","962","external_pi_grant_11_15_fundamental","0"
"Canada","Canada","Female","Canada","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","963","external_pi_grant_11_15_fundamental","4-6"
"United States","Canada","Female","Canada","New Hampshire","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","964","external_pi_grant_11_15_fundamental","10-12"
