"Location","nation","Country","gender","field_research","Country_work","PhD_Year","what_participant_group","id","class","percent_applied_research_current","percent_applied_research_past","percent_fundamental_research_current","percent_fundamental_research_past","percent_use_inspired_research_current","percent_use_inspired_research_past","changed_10yrs","main_reason_change_interest_related","main_reason_change_career_related","main_reason_change_funding_related","main_reason_change_socially_related","main_reason_change_other","Main_reason_change_Other_text","view_change_of_type","partnership_outside_current","partnership_outside_before","partnership_change_10yrs","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_applied","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_6_10_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_for_profit","distribution_funding_11_15_government","distribution_funding_11_15_internal","distribution_funding_11_15_nongov","distribution_funding_11_15_other","distribution_funding_6_10_for_profit","distribution_funding_6_10_government","distribution_funding_6_10_internal","distribution_funding_6_10_nongov","distribution_funding_6_10_other","distribution_funding_11_15_other_text","distribution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","high_priority_comments","next_generation_comments","final_comments","OCED_category"
"Israel","Israel","Israel","Male","Medicine and Life Science","Israel","2001","Senior academic researcher with >10 years of experience applying for research grants",369,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","10-12","0","0","10-12","1-3","20","No need for applications for this research type","No need for applications for this research type","20","0","No need for applications for this research type","Somewhat important","Somewhat important","Not at all important","Not at all important","0","60","0","40","0",NA,NA,NA,NA,NA,"","","Stayed the same","Can't comment","Can't comment","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will stay the same","","","","High Income"
"Israel","Israel","Israel","Male","Physical Science (eg. math, physics, chemistry, computer science)","Israel","1985","Senior academic researcher with >10 years of experience applying for research grants",370,"developed","0",NA,"90",NA,"10",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","0","1-3","0","0","1-3","0","50","","","50","","","Somewhat important","","Not very important","","0","100","0","0","0","0","100","0","0","0","","","Decreased considerably","Decreased","Increased considerably","Not very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease slightly","","","If the fundamental research will continue sufferring from decreased budgets and prestige (for example, universities publish acheivements in applied research such as drugs, devices etc. but not fundamental research acheivements), soon enough the fundamental knowledge will all be used for applied research and the applied research will die as well. It seems that the policy-dertermining people are not aware of this.","High Income"
"Netherlands","Netherlands","Netherlands","Male","Medicine and Life Science","India","2011","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",371,"developed","10","0","90","100","0","0","Yes",1,NA,NA,NA,NA,"","Neutral","No partnership","","No",NA,NA,NA,NA,NA,"","","0","4-6","0","0","1-3","0","60","","","100","","","Not at all important","Not at all important","Not at all important","Not at all important","0","80","10","10","0","0","90","10","0","0","","","Decreased","Can't comment","Increased","Somewhat important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment","","","","High Income"
"Israel","Israel","Israel","Female","Engineering","Israel","1999","Senior academic researcher with >10 years of experience applying for research grants",372,"developed","20","0","50","60","30","40","Yes",NA,NA,1,NA,NA,"","Slightly negative","Some partnership","No partnership","Yes",NA,NA,NA,1,NA,"","Slightly negative","1-3","1-3","1-3","0","1-3","4-6","30","30","30","30","30","No need for applications for this research type","Very important","Quite important","Quite important","Quite important","30","60","10","0","0","0","80","20","0","0","","","Decreased","Increased","Increased considerably","Not very important",NA,1,1,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will decrease slightly","","","","High Income"
"France","France","France","Male","Medicine and Life Science","France","1996","Senior academic researcher with >10 years of experience applying for research grants",373,"developed","10",NA,"70",NA,"20",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","No partnership","No",1,1,NA,NA,NA,"","","0","1-3","0","0","1-3","1-3","30","No need for applications for this research type","No need for applications for this research type","30","70","No need for applications for this research type","Not at all important","Somewhat important","Not at all important","Not at all important","0","20","70","10","0",NA,NA,NA,NA,NA,"","","Decreased considerably","Stayed the same","Increased considerably","Somewhat important",NA,NA,NA,1,"Will increase slightly","Will stay the same","Will decrease slightly","Will stay the same","","","","High Income"
"","Israel","","Female","Social Science / Humanities","Israel","2008","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",374,"developed","0",NA,"0",NA,"100",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","0","4-6","0","0","1-3","No need for applications for this research type","50","No need for applications for this research type","No need for applications for this research type","30","No need for applications for this research type","Quite important","Quite important","Not at all important","Not at all important","0","0","20","80","0",NA,NA,NA,NA,NA,"","","Can't comment","Stayed the same","Can't comment","Can't comment",NA,NA,1,NA,"Can't comment","Will stay the same","Can't comment","Will stay the same","","","No, thanks","High Income"
"Israel","Israel","Israel","Male","Medicine and Life Science","Israel","","Senior academic researcher with >10 years of experience applying for research grants",375,"developed","10",NA,"80",NA,"10",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","10-12","0","0","10-12","0","40","","","40","","","Can't comment","","Can't comment","","0","0","100","0","0","0","0","0","90","0","","","Can't comment","Can't comment","Can't comment","Very important",NA,NA,NA,1,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease slightly","","","","High Income"
"Israel","Israel","Israel","Male","Physical Science (eg. math, physics, chemistry, computer science)","Israel","1997","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",376,"developed","50",NA,"10",NA,"40",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","Strong partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","7-9","1-3","0","1-3","1-3","0","0","","20","0","","20","Very important","Very important","Somewhat important","Somewhat important","10","20","0","70","0","0","0","0","100","0","","","Stayed the same","Can't comment","Increased","Not very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly","","","","High Income"
"Israel","Israel","Israel","Male","Interdisciplinary Science","Israel","2001","Senior academic researcher with >10 years of experience applying for research grants",377,"developed","0",NA,"60",NA,"40",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","No partnership","Yes",1,NA,1,NA,NA,"","Very positive","0","16+","4-6","0","13-15","4-6","40","","","40","0","","Quite important","Quite important","Not very important","Not very important","0","70","20","10","0",NA,NA,NA,NA,NA,"","","Stayed the same","Stayed the same","Can't comment","Somewhat important",NA,NA,NA,1,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease slightly","","","","High Income"
"Israel","Israel","Israel","Male","Physical Science (eg. math, physics, chemistry, computer science)","Israel","2010","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",378,"developed","20",NA,"20",NA,"60",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","","No",NA,NA,NA,NA,NA,"","","0","4-6","0","0","0","0","0","0","0","","","","Can't comment","Can't comment","Can't comment","Can't comment","0","0","100","0","0",NA,NA,NA,NA,NA,"","","Decreased","Can't comment","Can't comment","Somewhat important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment","","","","High Income"
"Israel","Israel","Israel","Male","Physical Science (eg. math, physics, chemistry, computer science)","Israel","1991","Senior academic researcher with >10 years of experience applying for research grants",379,"developed","20","50","60","20","20","30","Yes",1,NA,NA,NA,NA,"","Neutral","No partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","1-3","0","1-3","4-6","70","70","No need for applications for this research type","70","70","No need for applications for this research type","Somewhat important","Somewhat important","Can't comment","Can't comment","10","70","20","0","0",NA,NA,NA,NA,NA,"","","Can't comment","Can't comment","Can't comment","Not very important",NA,NA,NA,1,"Can't comment","Can't comment","Can't comment","Can't comment","","","","High Income"
"Israel","Israel","Israel","Male","Engineering","Israel","","Senior academic researcher with >10 years of experience applying for research grants",380,"developed","50","10","50","90","0","0","Yes",1,NA,NA,NA,NA,"","Slightly negative","Exclusive partnership","Some partnership","Yes",1,NA,NA,NA,NA,"","Neutral","1-3","1-3","0","4-6","7-9","0","100","","100","100","","100","Very important","Quite important","Mandatory","Somewhat important","50","50","0","0","0","0","90","0","0","0","","","Decreased considerably","","Increased considerably","Very important",1,NA,1,NA,"Will stay the same","Can't comment","Will increase slightly","Will decrease slightly","","","","High Income"
"Israel","Israel","Israel","Male","Social Science / Humanities","Israel","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience",381,"developed","40",NA,"10",NA,"50",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","1-3","0","0","0","0","0","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Not at all important","Not at all important","Not at all important","Not at all important","0","0","100","0","0","0","0","100","0","0","","","Can't comment","Can't comment","Can't comment","Not very important",NA,NA,NA,1,"Can't comment","Can't comment","Can't comment","Can't comment","","","","High Income"
"United Kingdom","United Kingdom","United Kingdom","Female","Engineering","United Kingdom","2006","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",382,"developed","10","0","20","60","70","40","Yes",1,1,1,1,NA,"","Slightly positive","Some partnership","No partnership","Yes",1,1,NA,1,NA,"","Slightly positive","1-3","0","4-6","0","0","1-3","No need for applications for this research type","20","0","No need for applications for this research type","50","No need for applications for this research type","Mandatory","Quite important","Quite important","Somewhat important","0","100","0","0","0","0","100","0","0","0","EPSRC, EC, ONR","ESPRC, EC","Decreased considerably","Increased","Increased considerably","Not very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will stay the same","Will decrease slightly","","","","High Income"
"United Kingdom","United Kingdom","United Kingdom","Female","Social Science / Humanities","United Kingdom","2006","Senior academic researcher with >10 years of experience applying for research grants",383,"developed","0","0","60","80","40","20","Yes",1,NA,1,NA,NA,"","Very positive","Strong partnership","Some partnership","Yes",1,NA,NA,1,NA,"","Slightly positive","0","7-9","7-9","0","10-12","4-6","80","50","No need for applications for this research type","70","20","No need for applications for this research type","Quite important","Somewhat important","Not very important","Not at all important","0","0","0","100","0","0","0","10","90","0","","","Decreased considerably","Increased","Increased","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease slightly","","","","High Income"
"Israel","Israel","Israel","Male","Social Science / Humanities","Israel","1985","Senior academic researcher with >10 years of experience applying for research grants",384,"developed","0",NA,"90",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","0","0","1-3","0","30","","","30","","","Not at all important","","Not very important","","0","100","0","0","0","0","100","0","0","0","","","Can't comment","Can't comment","Can't comment","Can't comment",NA,NA,NA,1,"Will increase slightly","Will increase slightly","Will increase considerably","Will stay the same","","","","High Income"
"United Kingdom","United Kingdom","United Kingdom","Male","Social Science / Humanities","United Kingdom","2001","Senior academic researcher with >10 years of experience applying for research grants",385,"developed","10",NA,"70",NA,"20",NA,"No",NA,NA,NA,NA,NA,"","","Strong partnership","Some partnership","Yes",1,NA,NA,NA,NA,"","Very positive","1-3","4-6","1-3","0","4-6","1-3","20","30","30","20","30","30","Very important","Quite important","Quite important","Somewhat important","41.6666666666667","16.6666666666667","16.6666666666667","25","0","10","40","40","10","0","","","Decreased","Stayed the same","Stayed the same","Very important",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment","","","","High Income"
"Israel","Israel","Israel","Female","Medicine and Life Science","Israel","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",386,"developed","0",NA,"90",NA,"10",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","Some partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","0","4-6","0","0","0","0","30","No need for applications for this research type","No need for applications for this research type","","","","Quite important","Can't comment","Somewhat important","Can't comment","0","70","20","10","0",NA,NA,NA,NA,NA,"","","Can't comment","Can't comment","Can't comment","Somewhat important",NA,NA,NA,NA,"","","","","","","","High Income"
"Israel","Israel","Israel","Male","Medicine and Life Science","Israel","1991","Senior academic researcher with >10 years of experience applying for research grants",387,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","7-9","0","0","7-9","0","70","","","50","","","Somewhat important","Somewhat important","Not at all important","Not at all important","0","0","0","100","0",NA,NA,NA,NA,NA,"","","Decreased","Can't comment","Can't comment","Somewhat important",NA,NA,NA,1,"Will stay the same","Can't comment","Can't comment","Will decrease slightly","","","","High Income"
"Israel","Israel","Israel","Male","Physical Science (eg. math, physics, chemistry, computer science)","Israel","1987","Senior academic researcher with >10 years of experience applying for research grants",388,"developed","0",NA,"80",NA,"20",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","No partnership","Yes",1,NA,NA,1,NA,"","Neutral","0","4-6","1-3","0","4-6","0","70","100","No need for applications for this research type","90","No need for applications for this research type","No need for applications for this research type","Somewhat important","Somewhat important","Not at all important","Not at all important","0","70","20","10","0","0","70","20","10","0","","","Stayed the same","Can't comment","Can't comment","Somewhat important",NA,NA,NA,1,"Will stay the same","Can't comment","Can't comment","Can't comment","","","","High Income"
"","United States","","Male","Medicine and Life Science","United States","1985","Senior academic researcher with >10 years of experience applying for research grants",389,"developed","0",NA,"80",NA,"20",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","","No",NA,NA,NA,NA,NA,"","","0","10-12","1-3","0","13-15","0","50","40","No need for applications for this research type","50","0","No need for applications for this research type","Quite important","Somewhat important","Not very important","Not very important","0","80","10","10","0","0","90","10","0","0","","","Decreased","Stayed the same","Can't comment","Very important",NA,1,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease considerably","","","","High Income"
"Israel","Israel","Israel","Female","Physical Science (eg. math, physics, chemistry, computer science)","Israel","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",390,"developed","0","0","50","70","50","30","Yes",1,1,1,NA,1,"I am working on renewable energy and do believe this is a vital direction. ","Very positive","No partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","0","4-6","4-6","0","0","0","30","20","","","","","Very important","Can't comment","Can't comment","Can't comment","0","50","50","0","0",NA,NA,NA,NA,NA,"","","Stayed the same","Decreased","Can't comment","Somewhat important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","","The problem is the there is no clear cut between use inspired research and applied research and thus my use inspired research is at times judged under applied research but since we are not close to applications this lowers the funding statistics. Inanition at times the use inspired research is being regarded as fundamental research but also gets negative review since we are not working on a new phenomena... ","yes - funding will effect things but not grant funding as much as general funding to the universities and the opening of new positions. ","","High Income"
"","United States","","Female","Medicine and Life Science","United States","1988","Senior academic researcher with >10 years of experience applying for research grants",391,"developed","80",NA,"20",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","No partnership","Yes",1,1,NA,1,NA,"","Slightly negative","4-6","0","1-3","1-3","4-6","1-3","0","0","100","0","0","10","Very important","Very important","Quite important","Quite important","100","0","0","0","0","10","10","80","0","0","","","Decreased considerably","Can't comment","Increased","Somewhat important",NA,NA,1,NA,"Will stay the same","Can't comment","Will increase considerably","Will decrease considerably","The changes have been truly demoralizing- the powers that be at the NIH are targeting specific health challenges; basic research is touted as very necessary, but is really undervalued and we all can sense that.  Younger researchers have either drunk the Kool-Aid that they have to partner with industry, or are doing it to just survive and have careers. My overriding concern is that industry funding exerts subtle pressure to get the results wished for or to spin data in that direction as I've seen that done.    Deans still like- and prefer -NIH funds because those come with hefty indirect funds which they say they use to support grant support services- but some of which they can funnel to their pets/projects . Not sure where this is all going to end up for the future of research and integrity.","These new generations want work-life balance- industry funds will fill the funding hole for some but others will leave and pursue related areas of work as opposed to bench research.","I started a new field of research - but not sure if I'm going to be able to get any more NIH funding to keep going.  I have to pursue industry dollars together with clinical colleagues but will keep trying to get NIH money as my administration values that the most.    As scientists, we all have to pitch in to help save basic research and restore it to the prominence it deserves as the underpinning of the economy and advancement of the sciences.  In the USA, many highly placed scientists have already voiced their concerns, criticisms, and suggestions for change in the strongest terms.  Many of us are trying to fight back as best we know how but it is an ugly struggle.  The public is demanding ""accountability"" - but we have an increasingly ignorant and enumerate public that mostly can't judge the value of basic research and that really doesn't trust scientists, sadly.   Thanks for doing this survey- MUCH needed!  I look forward to the results.  Likely to be very sobering!  Good luck. ","High Income"
"Nebraska","United States","United States","Female","Medicine and Life Science","United States","2015","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",392,"developed","10",NA,"50",NA,"40",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","Some partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","1-3","4-6","4-6","0","0","0","30","30","100","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Quite important","Can't comment","Not at all important","Can't comment","0","100","0","0","0",NA,NA,NA,NA,NA,"","","Decreased","Increased considerably","Increased","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease considerably","","","","High Income"
"France","Brazil","France","Female","Natural Science","Brazil","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",393,"developing","0",NA,"10",NA,"90",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","Some partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","1-3","1-3","1-3","1-3","0","1-3","","100","100","","100","100","Very important","Very important","Quite important","Mandatory","0","10","0","90","0","0","50","50","0","0","","","Can't comment","Increased","Can't comment","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Can't comment","","","From 2006 to 2011 my country of work was Colombia. So, in that time Brazil has better funding conditions than Colombia. Nowadays, Brazil has a great reduction, but I think it is still better than Colombia for goverment financial oportunities. Ong's and private sectors are different than goverments, they are sometimes mote flexible with your topic of research.","Higher Middle Income"
"Brazil","Brazil","Brazil","Male","Natural Science","Brazil","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",394,"developing","0",NA,"70",NA,"30",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","Some partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","0","1-3","0","0","0","0","70","","","No need for applications for this research type","","","Mandatory","Can't comment","Somewhat important","Can't comment","0","90","0","10","0",NA,NA,NA,NA,NA,"","","Decreased","Stayed the same","Increased","Very important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease slightly","","","","Higher Middle Income"
"Brazil","Brazil","Brazil","Female","Natural Science","Brazil","2005","",395,"developing","30","10","50","70","20","20","Yes",1,NA,NA,1,NA,"","Very positive","No partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","1-3","1-3","1-3","0","10","10","No need for applications for this research type","40","40","30","Mandatory","Mandatory","Mandatory","Mandatory","0","60","10","0","0","30","60","10","0","0","Private finantial.","","Stayed the same","Stayed the same","Decreased","Somewhat important",1,NA,1,NA,"Will decrease slightly","Will decrease considerably","Will decrease considerably","Will decrease slightly","","","","Higher Middle Income"
"Netherlands","Brazil","Netherlands","Male","Natural Science","Brazil","I did not complete a PhD","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",396,"developing","10","0","20","90","70","10","Yes",1,1,NA,NA,NA,"","Very positive","Some partnership","No partnership","Yes",NA,NA,NA,1,NA,"","Slightly positive","0","1-3","1-3","0","0","0","30","30","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Not at all important","Not at all important","Somewhat important","Somewhat important","0","90","0","10","0",NA,NA,NA,NA,NA,"","","Stayed the same","Stayed the same","Increased considerably","Not very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase considerably","Will increase considerably","","","","Higher Middle Income"
"Brazil","Brazil","Brazil","Male","Natural Science","","","Senior academic researcher with >10 years of experience applying for research grants",397,"developing","45.4545454545455","45.4545454545455","45.4545454545455","54.5454545454545","0","0","Yes",NA,NA,1,1,NA,"","Very positive","No partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","10-12","10-12","0","10-12","7-9","0","50","","50","40","","50","Quite important","Somewhat important","Quite important","Quite important","0","50","20","30","0","0","40","30","30","0","","","Stayed the same","","Increased","Very important",1,NA,1,NA,"Will stay the same","","Will increase slightly","","","","no","Higher Middle Income"
"Brazil","Brazil","Brazil","Male","Natural Science","Brazil","2002","Senior academic researcher with >10 years of experience applying for research grants",398,"developing","0",NA,"50",NA,"50",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","1-3","1-3","1-3","1-3","1-3","1-3","10","10","0","10","10","10","Very important","Quite important","Mandatory","Not very important","0","90","10","0","0","0","90","10","0","0","","","Decreased","Increased","Stayed the same","Somewhat important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will increase slightly","Will decrease considerably","","","","Higher Middle Income"
"Brazil","Brazil","Brazil","Male","Natural Science","Brazil","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",399,"developing","70","20","30","80","0","0","Yes",1,1,NA,1,NA,"","Very positive","Some partnership","No partnership","Yes",1,1,1,1,NA,"","Slightly positive","4-6","0","0","0","1-3","0","50","","100","50","","","Very important","Quite important","Quite important","","50","50","0","0","0","0","100","0","0","0","","","Decreased","Stayed the same","Increased considerably","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will increase slightly","Will increase slightly","","","","Higher Middle Income"
"","Brazil","","Male","Natural Science","Brazil","2000","Senior academic researcher with >10 years of experience applying for research grants",400,"developing","40",NA,"10",NA,"50",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","","No",NA,NA,NA,NA,NA,"","","0","0","1-3","0","0","1-3","","50","","","50","","Mandatory","Very important","Mandatory","Mandatory","10","30","60","0","0",NA,NA,NA,NA,NA,"","","Increased considerably","Increased considerably","Increased considerably","Not very important",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will stay the same","","","","Higher Middle Income"
"Brazil","Brazil","Brazil","Male","Natural Science","Brazil","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",401,"developing","10",NA,"90",NA,"0",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","0","0","0","0","No need for applications for this research type","","","","","","Very important","","Quite important","","0","90","10","0","0",NA,NA,NA,NA,NA,"","","Stayed the same","Stayed the same","Increased","Not at all important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease slightly","Will decrease slightly","","","","Higher Middle Income"
"Brazil","Brazil","Brazil","Male","Natural Science","Brazil","2009","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",402,"developing","0",NA,"90",NA,"10",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","7-9","0","0","0","0","30","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","","Not at all important","","0","80","10","0","10",NA,NA,NA,NA,NA,"NSF","","Decreased","Increased","Increased considerably","Not very important",NA,1,1,NA,"Will decrease considerably","Will decrease considerably","Will increase slightly","Will decrease considerably","","My country (Brazil) is undergoing a government changes that has been marked as coup! My impressions for the future are very bad because the new president has a clear position against the scientific development.","No","Higher Middle Income"
"Brazil","Brazil","Brazil","Female","Natural Science","Brazil","2012","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",403,"developing","60","40","10","50","30","10","Yes",1,1,1,NA,NA,"","Very positive","Some partnership","","No",NA,NA,NA,NA,NA,"","","1-3","4-6","1-3","4-6","1-3","4-6","10","30","60","0","40","80","Somewhat important","Mandatory","Not at all important","Not at all important","0","100","0","0","0","0","100","0","0","0","","","Decreased","Increased","Increased considerably","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably","","We are experiencing disturbing times regarding our country's economy. This is the reason that I'd mark that all research types 'will decrease considerably'. However, I believe that now the small budget assign to science will be easier to pursuit via applied research than the other two types.","","Higher Middle Income"
"Brazil","Brazil","Brazil","Male","Natural Science","Brazil","2002","Senior academic researcher with >10 years of experience applying for research grants",404,"developing","10",NA,"90",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","7-9","0","0","4-6","0","50","","","60","","","Can't comment","Can't comment","Can't comment","Can't comment","0","100","0","0","0","0","100","0","0","0","","","Stayed the same","Stayed the same","Stayed the same","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease slightly","","","","Higher Middle Income"
"Brazil","Brazil","Brazil","Female","Natural Science","Brazil","2003","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",405,"developing","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","0","0","1-3","0","60","","","60","","","Not at all important","Not at all important","Not at all important","Not at all important","0","70","30","0","0",NA,NA,NA,NA,NA,"","","Stayed the same","Increased","Increased considerably","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease slightly","Will stay the same","","","","Higher Middle Income"
"Brazil","Brazil","Brazil","Male","Natural Science","Brazil","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience",406,"developing","100",NA,"0",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","Strong partnership","","No",NA,NA,NA,NA,NA,"","","4-6","1-3","1-3","1-3","1-3","1-3","0","40","50","40","0","","Quite important","Quite important","Quite important","Quite important","0","90","10","0","0","0","70","30","0","0","","","Can't comment","Can't comment","Increased considerably","Very important",1,NA,NA,NA,"Will increase slightly","Will increase considerably","Will increase considerably","Will increase slightly","","","","Higher Middle Income"
"Brazil","Brazil","Brazil","Male","Natural Science","Brazil","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",407,"developing","30",NA,"70",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","1-3","1-3","0","0","0","0","50","No need for applications for this research type","50","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Quite important","Can't comment","Can't comment","Can't comment","0","80","20","0","0",NA,NA,NA,NA,NA,"","","Stayed the same","Can't comment","Increased","Very important",NA,NA,1,NA,"Will decrease slightly","","Will stay the same","Will increase slightly","","","","Higher Middle Income"
"Brazil","Brazil","Brazil","Male","Natural Science","Brazil","I did not complete a PhD","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",408,"developing","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","0","0","1-3","0","100","","","100","","","Very important","Very important","Not very important","Not very important","0","90","10","0","0","0","80","20","0","0","","","Decreased","Increased","Increased","Not very important",NA,NA,NA,1,"Will decrease slightly","Will increase slightly","Will increase slightly","Will stay the same","","","","Higher Middle Income"
