"Location","Country_work","Country"
"Newfoundland and Labrador","Canada","Canada"
"","Canada",""
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"","Canada",""
"Ontario","Canada","Canada"
"Uruguay","Uruguay","Uruguay"
"Alberta","Canada","Canada"
"British Columbia","Canada","Canada"
"New Hampshire","Canada","United States"
"Ontario","Canada","Canada"
"","Canada",""
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"British Columbia","Canada","Canada"
"Germany","","Germany"
"Germany","Canada","Germany"
"Spain","Canada","Spain"
"United Kingdom","Canada","United Kingdom"
"Germany","Canada","Germany"
"","Canada",""
"Italy","Canada","Italy"
"United Kingdom","Canada","United Kingdom"
"Nova Scotia","Canada","Canada"
"Maine","Canada","United States"
"Ontario","Canada","Canada"
"","Canada",""
"Ontario","Canada","Canada"
"Germany","Canada","Germany"
"Ontario","Canada","Canada"
"Switzerland","Canada","Switzerland"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Manitoba","Canada","Canada"
"Manitoba","Canada","Canada"
"Quebec","Canada","Canada"
"Manitoba","Canada","Canada"
"United Kingdom","Canada","United Kingdom"
"Nova Scotia","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Manitoba","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"","Canada",""
"Spain","Canada","Spain"
"Nova Scotia","Canada","Canada"
"New Brunswick","Canada","Canada"
"Ontario","Canada","Canada"
"New Brunswick","Canada","Canada"
"New Brunswick","Canada","Canada"
"Quebec","Canada","Canada"
"Nunavut","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"New Brunswick","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"France","Canada","France"
"New Brunswick","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"","Canada",""
"Quebec","Canada","Canada"
"Chile","Chile","Chile"
"New Brunswick","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Saskatchewan","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"","Canada",""
"Alberta","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"New Brunswick","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Massachusetts","Canada","United States"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Nova Scotia","Canada","Canada"
"New Brunswick","Canada","Canada"
"Ontario","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Ontario","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Ontario","Canada","Canada"
"Saskatchewan","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Poland","Canada","Poland"
"Newfoundland and Labrador","Canada","Canada"
"Quebec","Canada","Canada"
"New Brunswick","Canada","Canada"
"Nova Scotia","Canada","Canada"
"New Brunswick","Canada","Canada"
"New Brunswick","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"France","Canada","France"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Tanzania","Canada","Tanzania"
"Nova Scotia","Canada","Canada"
"","Canada",""
"Quebec","Canada","Canada"
"British Columbia","Canada","Canada"
"Quebec","Canada","Canada"
"British Columbia","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"France","Canada","France"
"New Brunswick","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Germany","Canada","Germany"
"Quebec","Canada","Canada"
"Italy","Canada","Italy"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"","",""
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Ontario","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada"
"California","Canada","United States"
"Quebec","Canada","Canada"
"Saskatchewan","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Austria","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Nova Scotia","Canada","Canada"
"North Carolina","Canada","United States"
"Ontario","Canada","Canada"
"New Jersey","United States","United States"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","","Canada"
"New Mexico","Canada","United States"
"New Brunswick","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"","Canada",""
"Ontario","Canada","Canada"
"Switzerland","Canada","Switzerland"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Germany","Canada","Germany"
"","Canada",""
"Ontario","Canada","Canada"
"Sweden","Sweden","Sweden"
"Denmark","Canada","Denmark"
"France","Canada","France"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"New Brunswick","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Quebec","Canada","Canada"
"New Brunswick","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"New Brunswick","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Nebraska","United States","United States"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"California","United States","United States"
"Nova Scotia","Canada","Canada"
"Manitoba","Canada","Canada"
"Quebec","Canada","Canada"
"Brazil","Brazil","Brazil"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Greece","Canada","Greece"
"Manitoba","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"France","Canada","France"
"Alberta","Canada","Canada"
"British Columbia","Canada","Canada"
"Quebec","Canada","Canada"
"Manitoba","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"","Canada",""
"","Canada",""
"Ontario","Canada","Canada"
"Denmark","Canada","Denmark"
"United Kingdom","United Kingdom","United Kingdom"
"Newfoundland and Labrador","Canada","Canada"
"","Canada",""
"","Canada",""
"Alberta","Canada","Canada"
"Quebec","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada"
"British Columbia","Canada","Canada"
"United Kingdom","Canada","United Kingdom"
"","Canada",""
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"","Canada",""
"","Canada",""
"British Columbia","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Germany","Canada","Germany"
"Cameroon","Canada","Cameroon"
"Saskatchewan","Canada","Canada"
"","Canada",""
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Netherlands","Canada","Netherlands"
"Quebec","Canada","Canada"
"","Canada",""
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","","Canada"
"Quebec","Canada","Canada"
"British Columbia","Canada","Canada"
"Alberta","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Saskatchewan","Canada","Canada"
"Chile","Chile","Chile"
"New Brunswick","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"","Canada",""
"Australia","Australia","Australia"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Austria","Canada","Austria"
"France","Canada","France"
"Ontario","Canada","Canada"
"New York","Israel","United States"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Antarctica","Israel"
"","Israel",""
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"New York","Israel","United States"
"","Canada",""
"Israel","Israel","Israel"
"Ontario","Canada","Canada"
"Switzerland","Israel","Switzerland"
"Israel","Israel","Israel"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"","Israel",""
"Quebec","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Texas","United States","United States"
"Israel","Israel","Israel"
"","United States",""
"Manitoba","Canada","Canada"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"","Canada",""
"Nova Scotia","Canada","Canada"
"Israel","Israel","Israel"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Quebec","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Alberta","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Ontario","Canada","Canada"
"New Brunswick","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Israel","","Israel"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Israel","Israel","Israel"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Saskatchewan","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"","Canada",""
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Manitoba","Canada","Canada"
"","Canada",""
"Nova Scotia","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"","Canada",""
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Manitoba","Canada","Canada"
"","Canada",""
"Ontario","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Prince Edward Island","Canada","Canada"
"Alberta","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Alberta","Canada","Canada"
"Israel","Israel","Israel"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"","Canada",""
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Manitoba","Canada","Canada"
"British Columbia","Canada","Canada"
"Saskatchewan","Canada","Canada"
"Ontario","Canada","Canada"
"","Canada",""
"Quebec","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"","Canada",""
"Germany","Canada","Germany"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"","Canada",""
"Manitoba","Canada","Canada"
"Quebec","Canada","Canada"
"Manitoba","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Alberta","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"New Brunswick","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"","Canada",""
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"British Columbia","Canada","Canada"
"New Brunswick","Canada","Canada"
"Saskatchewan","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"British Columbia","Canada","Canada"
"British Columbia","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Ontario","Canada","Canada"
"","Canada",""
"Nova Scotia","Canada","Canada"
"Ontario","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Quebec","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"","Canada",""
"Newfoundland and Labrador","Canada","Canada"
"","Canada",""
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"United Kingdom","Canada","United Kingdom"
"Alberta","Estonia","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Saskatchewan","Canada","Canada"
"Saskatchewan","Canada","Canada"
"British Columbia","Canada","Canada"
"","Canada",""
"Alberta","Canada","Canada"
"","Canada",""
"Ontario","Canada","Canada"
"Manitoba","Canada","Canada"
"Alberta","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"","Canada",""
"Newfoundland and Labrador","Canada","Canada"
"Saskatchewan","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada"
"Ontario","Canada","Canada"
"","Canada",""
"Manitoba","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Singapore","Canada","Singapore"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Manitoba","Canada","Canada"
"Manitoba","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"","",""
"United Kingdom","Canada","United Kingdom"
"France","Canada","France"
"Manitoba","Canada","Canada"
"British Columbia","Canada","Canada"
"","Canada",""
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Washington","Canada","United States"
"United Kingdom","United Kingdom","United Kingdom"
"Ontario","Canada","Canada"
"Pennsylvania","Canada","United States"
"Ontario","Canada","Canada"
"","Canada",""
"Ontario","Canada","Canada"
"Ontario","","Canada"
"","Canada",""
"British Columbia","Canada","Canada"
"British Columbia","Canada","Canada"
"","Canada",""
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"","Canada",""
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"British Columbia","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Alberta","Canada","Canada"
"Germany","Germany","Germany"
"Australia","Canada","Australia"
"British Columbia","Canada","Canada"
"Michigan","Canada","United States"
"Nova Scotia","Canada","Canada"
"Alberta","Canada","Canada"
"New Brunswick","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"British Columbia","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada"
"","Canada",""
"","Canada",""
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"","Canada",""
"British Columbia","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"British Columbia","Canada","Canada"
"New Brunswick","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Korea","Canada","Korea"
"Ontario","Canada","Canada"
"","Canada",""
"","Canada",""
"Australia","Israel","Australia"
"Ontario","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada"
"Alberta","Canada","Canada"
"","Canada",""
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Latvia","Canada","Latvia"
"Alberta","Canada","Canada"
"British Columbia","Canada","Canada"
"Switzerland","Canada","Switzerland"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Ontario","Canada","Canada"
"","Canada",""
"Germany","Germany","Germany"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Germany","Germany","Germany"
"Germany","Canada","Germany"
"Germany","Germany","Germany"
"United Kingdom","Canada","United Kingdom"
"Belgium","Canada","Belgium"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Denmark","Canada","Denmark"
"Florida","Canada","United States"
"Newfoundland and Labrador","Canada","Canada"
"Netherlands","Canada","Netherlands"
"Newfoundland and Labrador","Canada","Canada"
"Israel","Israel","Israel"
"Ontario","Canada","Canada"
"","Canada",""
"Ontario","Canada","Canada"
"Nova Scotia","Canada","Canada"
"New Brunswick","Canada","Canada"
"Nova Scotia","Canada","Canada"
"","Canada",""
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Maryland","United States","United States"
"Newfoundland and Labrador","Canada","Canada"
"Switzerland","Canada","Switzerland"
"Nova Scotia","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Texas","United States","United States"
"New York","United States","United States"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"","Canada",""
"Ontario","Canada","Canada"
"Pennsylvania","United States","United States"
"Belgium","Belgium","Belgium"
"Ontario","Canada","Canada"
"Texas","United States","United States"
"Illinois","United States","United States"
"Finland","Finland","Finland"
"United Kingdom","United Kingdom","United Kingdom"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom"
"New Brunswick","Canada","Canada"
"Quebec","United Kingdom","Canada"
"Netherlands","Finland","Netherlands"
"","United States",""
"Oregon","United States","United States"
"Ontario","Canada","Canada"
"Manitoba","Canada","Canada"
"Belgium","Belgium","Belgium"
"Newfoundland and Labrador","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom"
"Ohio","United States","United States"
"Quebec","Canada","Canada"
"Yukon Territory","Canada","Canada"
"Ontario","Canada","Canada"
"Nova Scotia","Canada","Canada"
"New York","United States","United States"
"Virginia","United States","United States"
"","United States",""
"Minnesota","United States","United States"
"Alberta","Canada","Canada"
"Tennessee","United States","United States"
"Alberta","Canada","Canada"
"Israel","Israel","Israel"
"Belgium","United States","Belgium"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Israel","Israel","Israel"
"United Kingdom","United Kingdom","United Kingdom"
"","Canada",""
"","Canada",""
"Nova Scotia","Canada","Canada"
"Louisiana","United States","United States"
"California","United States","United States"
"California","United States","United States"
"California","United States","United States"
"California","United States","United States"
"British Columbia","Canada","Canada"
"California","United States","United States"
"New York","United States","United States"
"Quebec","Canada","Canada"
"Greece","Canada","Greece"
"Alberta","Canada","Canada"
"New Brunswick","Canada","Canada"
"Maryland","United States","United States"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"","Canada",""
"Manitoba","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Ontario","Canada","Canada"
"","Canada",""
"Germany","Germany","Germany"
"Ontario","Canada","Canada"
"Ontario","United States","Canada"
"Ontario","Canada","Canada"
"Nigeria","Nigeria","Nigeria"
"Mexico","Mexico","Mexico"
"Alberta","Canada","Canada"
"Hawaii","United States","United States"
"British Columbia","Canada","Canada"
"","Canada",""
"New Zealand","New Zealand","New Zealand"
"California","United States","United States"
"California","United States","United States"
"","United States",""
"British Columbia","Canada","Canada"
"British Columbia","Canada","Canada"
"India","India","India"
"Nepal","Nepal","Nepal"
"Sweden","Sweden","Sweden"
"New Zealand","New Zealand","New Zealand"
"Cyprus","Cyprus","Cyprus"
"Italy","France","Italy"
"Austria","Austria","Austria"
"California","United States","United States"
"California","United States","United States"
"Australia","Australia","Australia"
"Germany","Germany","Germany"
"","United States",""
"Ontario","Canada","Canada"
"Denmark","Denmark","Denmark"
"Australia","Australia","Australia"
"Newfoundland and Labrador","Canada","Canada"
"France","France","France"
"Oklahoma","United States","United States"
"Vermont","Canada","United States"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ohio","United States","United States"
"Ontario","Canada","Canada"
"Italy","Portugal","Italy"
"Sweden","Canada","Sweden"
"Nova Scotia","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Israel","Israel","Israel"
"Nova Scotia","Canada","Canada"
"Quebec","Canada","Canada"
"Indiana","United States","United States"
"Ontario","Canada","Canada"
"Maine","United States","United States"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"New York","United States","United States"
"","Canada",""
"Alberta","Canada","Canada"
"British Columbia","Canada","Canada"
"","Canada",""
"Maryland","","United States"
"France","France","France"
"Finland","Finland","Finland"
"Switzerland","United States","Switzerland"
"Australia","Australia","Australia"
"Germany","Benin","Germany"
"Quebec","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Quebec","Canada","Canada"
"Colorado","United States","United States"
"","Canada",""
"","Canada",""
"","United States",""
"Ontario","Canada","Canada"
"Germany","Germany","Germany"
"Michigan","United States","United States"
"Colorado","United States","United States"
"Ontario","Canada","Canada"
"Ethiopia","Ethiopia","Ethiopia"
"","United States",""
"Lesotho","Lesotho","Lesotho"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"British Columbia","Canada","Canada"
"Saskatchewan","Canada","Canada"
"Indonesia","Indonesia","Indonesia"
"Bangladesh","Bangladesh","Bangladesh"
"Vietnam","Vietnam","Vietnam"
"Nicaragua","Nicaragua","Nicaragua"
"Quebec","Canada","Canada"
"India","India","India"
"Philippines","Philippines","Philippines"
"Kenya","Kenya","Kenya"
"Russian Federation","Russia","Russian Federation"
"India","India","India"
"Israel","Israel","Israel"
"Japan","Bangladesh","Japan"
"Quebec","Canada","Canada"
"California","United States","United States"
"Colombia","Colombia","Colombia"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Nigeria","Nigeria","Nigeria"
"Nevada","United States","United States"
"Israel","Israel","Israel"
"Mozambique","Mozambique","Mozambique"
"Malaysia","Malaysia","Malaysia"
"Taiwan","Taiwan","Taiwan"
"Dominican Republic","Dominican Republic","Dominican Republic"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Massachusetts","United States","United States"
"Russian Federation","Canada","Russian Federation"
"","Canada",""
"","Canada",""
"Ontario","Canada","Canada"
"Indonesia","Canada","Indonesia"
"California","United States","United States"
"Nepal","Nepal","Nepal"
"India","India","India"
"Japan","Japan","Japan"
"Iowa","United States","United States"
"","Canada",""
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Saskatchewan","Canada","Canada"
"Ontario","Canada","Canada"
"Lebanon","Lebanon","Lebanon"
"Ontario","Canada","Canada"
"Hawaii","Canada","United States"
"","Canada",""
"Australia","Australia","Australia"
"Malaysia","Malaysia","Malaysia"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Germany","Germany","Germany"
"Switzerland","United Kingdom","Switzerland"
"","Canada",""
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"","Canada",""
"Quebec","Canada","Canada"
"British Columbia","Canada","Canada"
"British Columbia","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Germany","Canada","Germany"
"Alberta","Canada","Canada"
"","Bangladesh",""
"Quebec","Canada","Canada"
"Bangladesh","Bangladesh","Bangladesh"
"Hawaii","United States","United States"
"Indonesia","Indonesia","Indonesia"
"France","Canada","France"
"California","United States","United States"
"","Canada",""
"California","","United States"
"United Kingdom","United States","United Kingdom"
"Florida","United States","United States"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","","Canada"
"Nigeria","Nigeria","Nigeria"
"British Columbia","Canada","Canada"
"Hawaii","United States","United States"
"Ontario","Canada","Canada"
"Alabama","United States","United States"
"","United States",""
"California","United States","United States"
"Spain","United States","Spain"
"Texas","United States","United States"
"Massachusetts","United States","United States"
"North Carolina","United States","United States"
"Massachusetts","United States","United States"
"","Canada",""
"","United States",""
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"","United Kingdom",""
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"Massachusetts","United States","United States"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
