Status,Location,what_participant_group,percent_fundemental_research_current,percent_Use_inspired_Research_current,percent_Applied_Research_current,changed_10yrs,percent_Fundamental_Research_past,percent_Use_inspired_Research_past,percent_Applied_Research_past,Main_reason_change_interest_related,Main_reason_change_Career_related,Main_reason_change_Funding_related,Main_reason_change_Socially_related,Main_reason_change_Other,Main_reason_change_Other_text,view_change_of_type,level_partnership_outside_academia,Level_partnership_outside_academia_change_10yrs,level_partnership_outside_academia_before_shift,Main_reason_level_partnership_change_Interest_related,Main_reason_level_partnership_change_Career_related,Main_reason_level_partnership_change_Socially_related,Main_reason_level_partnership_change_Funding_related,Main_reason_level_partnership_change_Other,Main_reason_level_partnership_change_Other_text,view_change_level_partnership_outside_academia,estimate_external_pi_grant_apps_2011_2015_Fundamental_Research,estimate_external_pi_grant_apps_2011_2015_Use-inspired_Research,estimate_external_pi_grant_apps_2011_2015_Applied_Research,estimate_external_pi_grant_apps_2006_2010_Fundamental_Research,estimate_external_pi_grant_apps_2006_2010_Use-inspired_Research,estimate_external_pi_grant_apps_2006_2010_Applied_Research,estimate_successful_grants_2011_2015_Fundamental_Research,estimate_successful_grants_2011_2015_Use-inspired_Research,estimate_successful_grants_2011_2015_Applied_Research,estimate_successful_grants_2006_2010_Fundamental_Research,estimate_successful_grants_2006_2010_Use-inspired_Research,estimate_successful_grants_2006_2010_Applied_Research,suggesting_practical_applications_important_to_grant_success_2011_2015,Main_reason_level_partnership_change_Other_text,based_your_grant_important_include_nonacademia_partners_success_2011_2015,based_your_grant_important_include_nonacademia_partners_success_2006_2010,estimate_distribution_funding_sources_2011_2015_Internal_Institutional,based_your_grant_important_include_nonacademia_partners_success_2011_2015_Government,based_your_grant_important_include_nonacademia_partners_success_2011_2015_For_profit_sector,based_your_grant_important_include_nonacademia_partners_success_2011_2015_Nongovernmental_sector,based_your_grant_important_include_nonacademia_partners_success_2011_2015_Other,based_your_grant_important_include_nonacademia_partners_success_2011_2015_other_text,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Internal_Institutional,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Government,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Forprofit_sector,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Nongovernmental_sector,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Other,based_your_grant_important_include_nonacademia_partners_success_2006_2010_other_text,general_grant_success_change_10yrs_Fundamental_Research,general_grant_success_change_10yrs_Use_inspired_Research,general_grant_success_change_10yrs_Applied_Research,opinion_fundamental_important,high_priority_fundamental,high_priority_use_inspired,high_priority_applied,high_priority_no_change,high_priority_comments,available_funding_fundamental,available_funding_use_inspired,available_funding_applied,next_generation,next_generation_Comments,field_research,PhD_Year,Country_work,gender
Complete,Netherlands,Senior academic researcher with >10 years of experience applying for research grants,0%,80%,10%,No,,,,,,,,,,,Strong partnership,Yes,Some partnership,1,,1,,,,Very positive,0,6-Apr,0,0,6-Apr,0,No need for applications for this research type,20%,No need for applications for this research type,0%,0%,0%,Very important,Very important,Quite important,Quite important,40%,60%,0%,0%,0%,,100%,0%,0%,0%,0%,,Decreased considerably,Decreased,Decreased,,,1,1,,,Will decrease slightly,Will stay the same,Will stay the same,Will decrease slightly,,Natural Science,2003,Netherlands,Male
Incomplete,Romania,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Italy,Senior academic researcher with >10 years of experience applying for research grants,90%,10%,,Yes,100%,0%,0%,,,1,,,,Slightly negative,No partnership,No,,,,,,,,,3-Jan,3-Jan,0,6-Apr,0,0,10%,10%,,20%,,,Somewhat important,,Somewhat important,,30%,0%,0%,50%,20%,European,20%,30%,,50%,,,Decreased considerably,Decreased considerably,Can't comment,,,,1,,,Will decrease slightly,Will decrease slightly,Will decrease slightly,Will decrease considerably,,Medicine and Life Science,1991,Italy,Female
Complete,Israel,Senior academic researcher with >10 years of experience applying for research grants,60%,30%,10%,No,,,,,,,,,,,Some partnership,Yes,No partnership,1,,,1,,,Slightly positive,6-Apr,,3-Jan,6-Apr,,3-Jan,60%,,100%,70%,,100%,Somewhat important,Somewhat important,Not very important,Not at all important,20%,70%,0%,10%,,,30%,70%,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Stayed the same,Stayed the same,Stayed the same,,,,,1,,Will stay the same,Will stay the same,Will stay the same,Will stay the same,,"Physical Science (eg. math, physics, chemistry, computer science)",2005,Israel,Male
Complete,Israel,Senior academic researcher with >10 years of experience applying for research grants,70%,30%,,No,,,,,,,,,,,No partnership,No,,,,,,,,,12-Oct,3-Jan,3-Jan,12-Oct,3-Jan,3-Jan,20%,20%,20%,20%,20%,20%,Somewhat important,Somewhat important,Not very important,Not very important,20%,60%,,20%,,,,,,,,,Decreased,Increased,Stayed the same,,,,,,,Will stay the same,Will stay the same,Will stay the same,Will decrease slightly,,Natural Science,2001,Israel,Female
Complete,California,Senior academic researcher with >10 years of experience applying for research grants,20%,80%,0%,Yes,50%,50%,0%,,,1,,,,Neutral,Some partnership,Yes,No partnership,,,,1,,,Slightly positive,3-Jan,12-Oct,0,3-Jan,3-Jan,0,10%,30%,No need for applications for this research type,10%,10%,No need for applications for this research type,Mandatory,Quite important,Quite important,Not very important,20%,60%,20%,0%,0%,,50%,30%,20%,New researcher (no funding in these years),New researcher (no funding in these years),,Decreased considerably,Increased considerably,Can't comment,,,1,1,,,Will decrease slightly,Will stay the same,Will increase slightly,Will stay the same,,"Physical Science (eg. math, physics, chemistry, computer science)",2006,United States,Male
Complete,Italy,Senior academic researcher with >10 years of experience applying for research grants,100%,,,No,,,,,,,,,,,No partnership,No,,,,,,,,,9-Jul,,,6-Apr,,,10%,,,,,,Not at all important,Not at all important,Not at all important,Not at all important,50%,30%,,20%,,,50%,30%,,20%,,,Decreased,,,,,,1,,,Will decrease considerably,Will stay the same,Will increase slightly,Will decrease considerably,,Social Science / Humanities,2001,Italy,Female
Complete,Egypt,Senior academic researcher with >10 years of experience applying for research grants,50%,30%,20%,Yes,80%,20%,0%,,,,,,,Very positive,Some partnership,No,,,,,,,,,3-Jan,3-Jan,3-Jan,0,0,0,100%,100%,0%,,,,Very important,Quite important,Quite important,Not at all important,20%,80%,0%,0%,,,,,,,,,Stayed the same,Increased,Increased considerably,,,,1,,,Will decrease slightly,Will increase considerably,Will increase considerably,Will increase slightly,,Medicine and Life Science,2007,Egypt,Male
Incomplete,Greece,Senior academic researcher with >10 years of experience applying for research grants,100%,0%,0%,No,,,,,,,,,,,No partnership,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Israel,Senior academic researcher with >10 years of experience applying for research grants,50%,50%,100%,No,,,,,,,,,,,Some partnership,Yes,Some partnership,,,1,,,,Neutral,0,3-Jan,3-Jan,,3-Jan,3-Jan,0%,10%,10%,0%,10%,10%,Not at all important,Not at all important,Not at all important,Not at all important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Italy,Senior academic researcher with >10 years of experience applying for research grants,30%,50%,20%,Yes,60%,20%,20%,,1,1,1,,,Neutral,Strong partnership,Yes,No partnership,,,,1,,,Slightly negative,,,3-Jan,3-Jan,,3-Jan,,,No need for applications for this research type,0%,,No need for applications for this research type,Mandatory,Quite important,Quite important,Not at all important,10%,,,90%,,,,40%,,60%,,,Decreased considerably,Decreased,Decreased,,,1,1,,,Will decrease considerably,Will decrease considerably,Will decrease slightly,Will decrease considerably,,Medicine and Life Science,1996,Italy,Female
Complete,Israel,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,10%,80%,10%,No,,,,,,,,,,,Some partnership,No,,,,,,,,,0,9-Jul,0,0,3-Jan,0,No need for applications for this research type,30%,No need for applications for this research type,No need for applications for this research type,90%,No need for applications for this research type,Somewhat important,Somewhat important,Somewhat important,Not at all important,10%,80%,0%,10%,,,20%,80%,,,,,Can't comment,Can't comment,Can't comment,,,,,1,,Will decrease slightly,Will stay the same,Will increase slightly,,,Social Science / Humanities,2007,Israel,Female
Incomplete,Italy,Senior academic researcher with >10 years of experience applying for research grants,30%,40%,30%,Yes,60%,40%,0%,1,,1,,,,Slightly negative,Some partnership,Yes,No partnership,1,,,1,,,Neutral,9-Jul,12-Oct,3-Jan,16+,3-Jan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Israel,Senior academic researcher with >10 years of experience applying for research grants,10%,80%,0%,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Italy,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",60%,,40%,No,,,,,,,,,,,Some partnership,Yes,No partnership,,,,1,,,Very positive,6-Apr,0,3-Jan,3-Jan,0,3-Jan,0%,0%,10%,0%,0%,0%,Mandatory,Can't comment,Somewhat important,Can't comment,30%,0%,40%,30%,0%,,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased considerably,Decreased,Decreased,,,,1,,,Will decrease considerably,Will decrease slightly,Will stay the same,Will decrease slightly,,Medicine and Life Science,2006,Italy,Female
Incomplete,Massachusetts,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",30%,50%,20%,Yes,50%,50%,,,1,,,,,Slightly negative,Strong partnership,No,,,,,,,,,0,0,0,0,0,0,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,United Kingdom,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,30%,30%,30%,Yes,50%,30%,20%,1,,1,,,,Very positive,Strong partnership,Yes,No partnership,1,1,1,1,,,Very positive,6-Apr,3-Jan,3-Jan,3-Jan,3-Jan,3-Jan,100%,100%,100%,50%,50%,30%,Somewhat important,Somewhat important,Mandatory,Somewhat important,20%,50%,0%,30%,,,50%,50%,0%,0%,New researcher (no funding in these years),,Decreased considerably,Decreased,Decreased,,,,1,,,Will stay the same,Will increase slightly,Will increase considerably,Will decrease slightly,,Social Science / Humanities,,Canada,Female
Incomplete,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,France,Senior academic researcher with >10 years of experience applying for research grants,30%,50%,20%,Yes,50%,30%,20%,1,1,1,,,,Slightly positive,Some partnership,Yes,No partnership,,1,,,,,Slightly positive,3-Jan,3-Jan,,,6-Apr,,0%,0%,,0%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Netherlands,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,40%,40%,20%,Yes,30%,50%,20%,1,,,,,,Very positive,No partnership,No,,,,,,,,,,3-Jan,,0,0,0,,100%,,,,,Mandatory,,Not very important,,100%,,,,,,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased,Increased,Increased considerably,,,,,1,,Will increase slightly,Will stay the same,Will stay the same,Will increase slightly,,Social Science / Humanities,2011,Netherlands,Female
Complete,Malaysia,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,30%,,70%,Yes,50%,,50%,1,1,1,1,,,Neutral,Some partnership,Yes,Strong partnership,,,,1,,,Slightly negative,3-Jan,0,6-Apr,3-Jan,,3-Jan,20%,,30%,30%,,30%,Quite important,Quite important,Quite important,Quite important,50%,0%,50%,0%,0%,,40%,20%,40%,New researcher (no funding in these years),New researcher (no funding in these years),,Decreased,Can't comment,Increased,,1,1,1,,,Will decrease slightly,Will increase slightly,Will increase considerably,Will stay the same,Next generation may consider applying application research.,Engineering,2002,Malaysia,Male
Complete,Israel,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,50%,50%,,No,,,,,,,,,,,No partnership,No,,,,,,,,,3-Jan,3-Jan,,3-Jan,3-Jan,,60%,60%,,80%,80%,,Can't comment,Can't comment,Can't comment,Can't comment,30%,70%,,,,,20%,80%,,,,,Can't comment,Can't comment,Can't comment,,,,,1,,Can't comment,Can't comment,Can't comment,Will increase slightly,,Medicine and Life Science,2006,Israel,Male
Incomplete,Netherlands,Senior academic researcher with >10 years of experience applying for research grants,40%,50%,10%,No,,,,,,,,,,,Some partnership,Yes,No partnership,,,,1,,,Slightly negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Israel,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,100%,,,No,,,,,,,,,,,No partnership,No,,,,,,,,,6-Apr,,,6-Apr,,,80%,,,80%,,,Not at all important,Not at all important,Can't comment,Can't comment,,100%,,,,,,100%,,,,,Increased,Can't comment,Can't comment,,,,1,,,Can't comment,Can't comment,Can't comment,Will decrease slightly,,"Physical Science (eg. math, physics, chemistry, computer science)",2005,Israel,Male
Incomplete,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Spain,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,90%,0%,10%,Yes,,,,,,,,,,,Some partnership,No,,,,,,,,,3-Jan,,3-Jan,3-Jan,,,70%,,100%,100%,,,Very important,Very important,Not very important,Can't comment,10%,80%,,10%,,,,100%,,,,,Increased considerably,Can't comment,Can't comment,Not at all important,,1,1,,,Will decrease considerably,Will increase slightly,Will increase considerably,,,Social Science / Humanities,2007,Spain,Male
Incomplete,British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,British Columbia,,0%,100%,0%,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Australia,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,40%,50%,10%,Yes,100%,0%,0%,,1,1,,,,Slightly negative,No partnership,No,,,,,,,,,3-Jan,3-Jan,0,3-Jan,0,0,0%,0%,,100%,No need for applications for this research type,No need for applications for this research type,Very important,Quite important,Quite important,Somewhat important,40%,60%,0%,0%,0%,,40%,60%,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,,,,,,,,,,,,,,,,,,
Incomplete,Australia,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,50%,50%,,Yes,80%,20%,,1,1,1,1,,,Slightly negative,No partnership,Yes,Some partnership,,,,1,,,Slightly negative,3-Jan,3-Jan,,3-Jan,3-Jan,,10%,10%,,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Israel,Senior academic researcher with >10 years of experience applying for research grants,100%,,,No,,,,,,,,,,,No partnership,No,,,,,,,,,3-Jan,,,6-Apr,,,100%,,,50%,,,Not at all important,Not at all important,Can't comment,Can't comment,,50%,,,50%,European Union,,100%,,,,,Can't comment,,,Very important,,,,1,,Will stay the same,,,Can't comment,,"Physical Science (eg. math, physics, chemistry, computer science)",2003,Israel,Female
Complete,United Kingdom,Senior academic researcher with >10 years of experience applying for research grants,40%,40%,20%,Yes,60%,40%,0%,,1,,,,,Slightly positive,No partnership,No,,,,,,,,,3-Jan,3-Jan,3-Jan,3-Jan,0,0,0%,0%,0%,0%,No need for applications for this research type,No need for applications for this research type,Very important,Quite important,Can't comment,Can't comment,90%,10%,0%,0%,0%,,90%,10%,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased considerably,Decreased,Stayed the same,Somewhat important,,,1,,,Will stay the same,Will increase slightly,Will increase slightly,Will decrease slightly,,Medicine and Life Science,1995,United Kingdom,Male
Complete,United Kingdom,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",100%,0%,0%,No,,,,,,,,,,,No partnership,No,,,,,,,,,6-Apr,0,0,0,0,0,0%,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,Mandatory,,Not very important,Can't comment,100%,0%,0%,0%,,,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased,Increased considerably,Increased considerably,Not very important,,,1,,,Will decrease slightly,Will decrease slightly,Will decrease slightly,Will decrease considerably,,Medicine and Life Science,2015,United Kingdom,Female
Incomplete,United Kingdom,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",100%,0%,0%,No,,,,,,,,,,,No partnership,Can't comment (new researcher),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,80%,20%,,Yes,90%,10%,,1,1,1,1,,,Slightly positive,No partnership,No,,,,,,,,,13-15,3-Jan,3-Jan,3-Jan,0,0,10%,0%,0%,0%,0%,No need for applications for this research type,Somewhat important,Somewhat important,Somewhat important,Somewhat important,90%,10%,0%,0%,0%,,0%,0%,0%,0%,0%,,Decreased,Decreased,Stayed the same,Not at all important,,,1,,,Will decrease considerably,Will decrease slightly,Will decrease slightly,Will decrease considerably,It has a very negative effect on new researchers. We are not able to train many as we do not have the funds either. They are unlikely to get any funding after phd.,Medicine and Life Science,2001,Australia,Female
Complete,Ontario,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,10%,70%,20%,Yes,0%,30%,70%,1,,1,,,,Slightly positive,Some partnership,Yes,No partnership,1,1,,1,,,Slightly positive,3-Jan,3-Jan,6-Apr,0,3-Jan,9-Jul,50%,50%,90%,No need for applications for this research type,70%,90%,Very important,Mandatory,Quite important,Not very important,60%,30%,10%,10%,,,90%,,10%,,,,Stayed the same,Increased,Increased,Very important,,,1,,,Will increase slightly,Will stay the same,Will stay the same,Will increase slightly,,Social Science / Humanities,2007,Canada,Female
Complete,Australia,Senior academic researcher with >10 years of experience applying for research grants,100%,,,No,,,,,,,,,,,No partnership,No,,,,,,,,,6-Apr,0,0,6-Apr,0,0,100%,,,100%,,,Somewhat important,Somewhat important,Not at all important,Not at all important,10%,90%,0%,0%,0%,,0%,90%,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased,Can't comment,Can't comment,Not at all important,,1,,,,Will decrease slightly,Can't comment,Can't comment,Will decrease considerably,,Medicine and Life Science,1968,Australia,Male
Complete,Illinois,Senior academic researcher with >10 years of experience applying for research grants,30%,,70%,No,,,,,,,,,,,Some partnership,Yes,Some partnership,,,,1,,,Slightly positive,3-Jan,,6-Apr,3-Jan,,6-Apr,0%,,20%,20%,,40%,Mandatory,Very important,Mandatory,Somewhat important,30%,30%,30%,0%,0%,,0%,70%,30%,,,,Decreased considerably,,Decreased considerably,Not at all important,,,1,,,Will stay the same,,Will stay the same,Will decrease slightly,,Engineering,1999,Italy,Male
Complete,Alberta,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,30%,30%,40%,Can't comment (new researcher),,,,,,,,,,,Strong partnership,Can't comment (new researcher),,,,,,,,,3-Jan,3-Jan,6-Apr,0,0,0,100%,80%,80%,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,Very important,Can't comment,Quite important,,30%,40%,30%,0%,0%,,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Can't comment,Can't comment,Can't comment,Somewhat important,,,1,,,Will increase slightly,Will increase slightly,Will increase slightly,Will stay the same,,Natural Science,2012,Canada,Male
Incomplete,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Mississippi,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,90%,,10%,Can't comment (new researcher),,,,,,,,,,,No partnership,Can't comment (new researcher),,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,New York,Senior academic researcher with >10 years of experience applying for research grants,90%,,10%,Yes,100%,,,1,1,1,,,,Very positive,No partnership,No,,,,,,,,,12-Oct,,,6-Apr,,,40%,,,90%,,,Somewhat important,Somewhat important,Somewhat important,Not very important,20%,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Portugal,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,90%,10%,,Yes,100%,0%,0%,,,1,,,,Slightly negative,No partnership,Can't comment (new researcher),,,,,,,,,9-Jul,3-Jan,,3-Jan,0,0,50%,100%,,100%,,,Mandatory,Quite important,Can't comment,Can't comment,,70%,,30%,,,,100%,,,,,Decreased,Increased,Can't comment,Not at all important,,1,1,,,Will decrease slightly,Will increase slightly,Will increase considerably,Will increase considerably,,Social Science / Humanities,2010,Portugal,Male
Complete,Italy,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",90%,10%,0%,No,,,,,,,,,,,No partnership,No,,,,,,,,,3-Jan,0,0,3-Jan,3-Jan,0,60%,60%,No need for applications for this research type,60%,No need for applications for this research type,No need for applications for this research type,Not at all important,Not at all important,Somewhat important,Somewhat important,30%,70%,0%,0%,0%,,30%,70%,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Stayed the same,Increased,Increased considerably,Somewhat important,,,1,,,Will stay the same,Will increase slightly,Will increase slightly,Will stay the same,,Medicine and Life Science,2013,Portugal,Male
Complete,United Kingdom,Senior academic researcher with >10 years of experience applying for research grants,50%,0%,50%,Yes,90%,0%,10%,1,,,,,,Neutral,No partnership,No,,,,,,,,,6-Apr,,3-Jan,9-Jul,,3-Jan,0%,No need for applications for this research type,0%,10%,No need for applications for this research type,0%,Mandatory,Quite important,Somewhat important,Not very important,0%,100%,0%,0%,,,0%,100%,0%,0%,,,Decreased considerably,Decreased,Decreased,Not very important,,1,1,,,Will decrease considerably,Will decrease slightly,Will decrease slightly,Will decrease slightly,,"Physical Science (eg. math, physics, chemistry, computer science)",1999,United Kingdom,Male
Complete,Israel,Senior academic researcher with >10 years of experience applying for research grants,90%,10%,,Yes,100%,0%,0%,1,1,1,,,,Slightly positive,No partnership,No,,,,,,,,,3-Jan,3-Jan,,3-Jan,3-Jan,,80%,50%,,80%,50%,,Can't comment,Can't comment,Can't comment,Can't comment,0%,80%,0%,20%,0%,,New researcher (no funding in these years),80%,New researcher (no funding in these years),20%,New researcher (no funding in these years),,Stayed the same,Can't comment,Can't comment,Somewhat important,,1,1,,,Can't comment,Can't comment,Can't comment,Can't comment,,Social Science / Humanities,1999,Israel,Female
Complete,California,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",100%,0%,0%,Can't comment (new researcher),,,,,,,,,,,No partnership,Can't comment (new researcher),,,,,,,,,3-Jan,0,3-Jan,0,0,0,40%,No need for applications for this research type,100%,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,Somewhat important,Can't comment,Not at all important,Not at all important,30%,70%,0%,0%,0%,,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased,Increased,Increased,Somewhat important,,,1,,,Will increase slightly,Will increase slightly,Will increase slightly,Will stay the same,,Social Science / Humanities,2014,United States,Male
Complete,Netherlands,Senior academic researcher with >10 years of experience applying for research grants,60%,,40%,Yes,100%,,0%,1,,1,,,,Slightly negative,Some partnership,Yes,No partnership,,,,1,,,Very negative,3-Jan,,3-Jan,3-Jan,,,70%,,70%,100%,,,Mandatory,Somewhat important,Quite important,Not very important,20%,20%,,60%,,,,100%,,,,,Decreased considerably,,Can't comment,Somewhat important,,,1,,,Will decrease considerably,,Will decrease considerably,Will decrease considerably,,Medicine and Life Science,1998,Netherlands,Male
Incomplete,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Italy,Senior academic researcher with >10 years of experience applying for research grants,30%,60%,10%,No,,,,,,,,,,,Some partnership,Yes,No partnership,,,,1,,,Slightly negative,3-Jan,3-Jan,6-Apr,3-Jan,3-Jan,3-Jan,0%,0%,50%,0%,30%,50%,Mandatory,Very important,Quite important,Somewhat important,10%,90%,,,,,50%,50%,,,,,Decreased considerably,Decreased,Increased,Not at all important,,,1,,,Will decrease considerably,Can't comment,Will increase considerably,Can't comment,,"Physical Science (eg. math, physics, chemistry, computer science)",2005,Italy,Male
Incomplete,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,France,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",0%,70%,30%,Can't comment (new researcher),,,,,,,,,,,Some partnership,Can't comment (new researcher),,,,,,,,,,6-Apr,,,3-Jan,,,20%,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Arizona,Senior academic researcher with >10 years of experience applying for research grants,40%,60%,0%,Yes,100%,0%,0%,1,,1,,,,Slightly positive,Some partnership,Yes,No partnership,,,,1,,,Slightly positive,9-Jul,9-Jul,,6-Apr,0,0,10%,50%,No need for applications for this research type,70%,,,Somewhat important,Not at all important,Quite important,Can't comment,10%,60%,0%,30%,0%,,0%,100%,0%,0%,0%,,Decreased considerably,Increased,Can't comment,Somewhat important,,1,,,,Will increase slightly,Will increase considerably,Will increase considerably,Will decrease slightly,,Medicine and Life Science,2003,United States,Female
Incomplete,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Wisconsin,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",100%,0%,0%,Can't comment (new researcher),,,,,,,,,,,No partnership,Can't comment (new researcher),,,,,,,,,0,0,0,3-Jan,0,0,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,100%,No need for applications for this research type,No need for applications for this research type,Can't comment,Somewhat important,Can't comment,Can't comment,0%,0%,0%,0%,100%,University Grant,New researcher (no funding in these years),50%,New researcher (no funding in these years),New researcher (no funding in these years),50%,University Funds,Decreased,Increased,Stayed the same,Very important,,,1,,,Will decrease slightly,Will increase slightly,Will increase slightly,Will decrease slightly,,Social Science / Humanities,2016,United States,Female
Complete,Portugal,Senior academic researcher with >10 years of experience applying for research grants,70%,0%,30%,Yes,50%,0%,50%,1,,,,,,Slightly positive,Some partnership,No,,,,,,,,,3-Jan,0,3-Jan,3-Jan,0,0,100%,No need for applications for this research type,100%,100%,No need for applications for this research type,100%,Very important,Quite important,Somewhat important,Not very important,0%,100%,0%,0%,0%,,0%,100%,0%,0%,0%,,Decreased considerably,Stayed the same,Stayed the same,Somewhat important,,,1,,,Will decrease considerably,Will decrease slightly,Will decrease slightly,Will decrease slightly,,Social Science / Humanities,1978,Spain,Male
