"Status","Location","what_participant_group","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Applied_Research_current","changed_10yrs","percent_Fundamental_Research_past","percent_Use_inspired_Research_past","percent_Applied_Research_past","Main_reason_change_interest_related","Main_reason_change_Career_related","Main_reason_change_Funding_related","Main_reason_change_Socially_related","Main_reason_change_Other","Main_reason_change_Other_text","view_change_of_type","partnership_outside","partnership_change_10yrs","partnership_outside_before","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_11_15_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","external_pi_grant_6_10_applied","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_internal","distriution_funding_11_15_government","distriution_funding_11_15_for_profit","distriution_funding_11_15_nongov","distriution_funding_11_15_other","distriution_funding_11_15_other_text","distriution_funding_6_10_internal","distriution_funding_6_10_government","distriution_funding_6_10_for_profit","distriution_funding_6_10_nongov","distriution_funding_6_10_other","distriution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","high_priority_comments","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","next_generation_Comments","field_research","PhD_Year","Country_work","gender","NA","Country"
"Complete","Nova Scotia","Senior academic researcher with > 10 years of experience applying for research grants","40%","30%","30%","Yes","50%","30%","20%",1,1,1,NA,NA,"","Very positive","Some partnership","Yes","No partnership",1,1,NA,NA,NA,"","Very positive","3-Jan","","3-Jan","3-Jan","","","70%","","","70%","","","Very important","Very important","Somewhat important","Somewhat important","","100%","","","","","","100%","","","","","Decreased","","Increased","Very important",NA,NA,1,NA,"","Can't comment","Can't comment","Can't comment","Can't comment","","Medicine and Life Science","1998","Canada","Male","","Canada"
"Complete","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","90%","","10%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Some partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","16+","","9-Jul","","","","70%","","90%","","","","Very important","","Quite important","","10%","70%","10%","10%","","","","","","","","","Decreased considerably","Can't comment","Increased considerably","Very important",NA,NA,1,NA,"","Will increase slightly","Can't comment","Will stay the same","Will stay the same","","Natural Science","2004","Canada","Male","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","10%","30%","60%","Yes","30%","40%","30%",NA,NA,1,NA,NA,"","Very positive","Strong partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","12-Oct","13-15","3-Jan","12-Oct","12-Oct","50%","60%","90%","50%","60%","70%","Very important","Very important","Mandatory","Mandatory","10%","40%","50%","0%","","","10%","","50%","40%","New researcher (no funding in these years)","","Decreased","Increased","Increased","Somewhat important",NA,1,1,NA,"","Will increase considerably","Will increase slightly","Will increase considerably","Will increase slightly","","Interdisciplinary Science","1990","Canada","Male","","Canada"
"Complete","British Columbia","Senior academic researcher with > 10 years of experience applying for research grants","40%","20%","50%","Yes","60%","20%","20%",1,NA,1,NA,NA,"","Slightly negative","Strong partnership","Yes","Some partnership",1,NA,NA,1,NA,"","Slightly positive","3-Jan","3-Jan","16+","16+","3-Jan","6-Apr","10%","0%","40%","30%","10%","20%","Mandatory","Quite important","Quite important","Quite important","0%","70%","30%","0%","0%","","10%","80%","10%","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Decreased considerably","Increased considerably","Very important",NA,NA,1,NA,"","Will decrease slightly","Will decrease slightly","Will increase considerably","Will stay the same","May stay the same, but the style and approach to research will have to change. ","Physical Science (eg. math, physics, chemistry, computer science)","2001","Canada","Male","My view is that fundamental research builds knowledge upon which applied research can be pursued. You need both for a healthy economy of research and development. ","Canada"
"Complete","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","60%","10%","30%","Yes","40%","20%","40%",1,NA,1,NA,NA,"","Neutral","Some partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","3-Jan","6-Apr","6-Apr","3-Jan","3-Jan","100%","100%","80%","50%","60%","60%","Very important","Very important","Somewhat important","Quite important","0%","80%","20%","0%","","","New researcher (no funding in these years)","80%","20%","","","","Decreased","Stayed the same","Increased considerably","Very important",NA,1,1,NA,"","Will increase slightly","Will increase slightly","Will stay the same","Will stay the same","","Natural Science","2001","Canada","Male","","Canada"
"Complete","British Columbia","Senior academic researcher with > 10 years of experience applying for research grants","100%","","","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","No partnership",1,NA,NA,NA,NA,"","Slightly positive","3-Jan","","","3-Jan","3-Jan","","100%","","","80%","","","Somewhat important","Quite important","Not at all important","Somewhat important","","100%","","","","","","100%","","","","","Decreased","Increased","Increased considerably","Somewhat important",NA,1,1,NA,"","Will stay the same","Will increase slightly","Will increase slightly","Will increase slightly","","Other","1989","Canada","Male","","Canada"
"Complete","United Kingdom","Senior academic researcher with > 10 years of experience applying for research grants","80%","10%","10%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","3-Jan","0","0","100%","No need for applications for this research type","No need for applications for this research type","100%","0%","0%","Quite important","Quite important","Quite important","Quite important","0%","100%","0%","0%","0%","","New researcher (no funding in these years)","100%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Increased considerably","Increased considerably","Somewhat important",NA,1,1,NA,"","Will decrease considerably","Will increase considerably","Will increase considerably","Will decrease considerably","","Medicine and Life Science","1972","Canada","Male","","United Kingdom"
"Complete","","Senior academic researcher with > 10 years of experience applying for research grants","10%","60%","30%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","Strong partnership",NA,NA,NA,1,NA,"","Very negative","3-Jan","6-Apr","3-Jan","3-Jan","9-Jul","3-Jan","100%","70%","70%","100%","80%","80%","Mandatory","Very important","Quite important","Somewhat important","10%","70%","10%","10%","","","10%","10%","10%","70%","","","Decreased","Stayed the same","Increased considerably","Not very important",NA,NA,1,NA,"","Will decrease considerably","Will stay the same","Will increase considerably","Will decrease considerably","","Physical Science (eg. math, physics, chemistry, computer science)","1987","Canada","Male","",""
"Complete","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","80%","10%","10%","Yes","100%","","",NA,NA,1,NA,NA,"","Slightly negative","Some partnership","Yes","No partnership",1,NA,NA,NA,NA,"","Very positive","3-Jan","0","","3-Jan","0","","100%","20%","","50%","No need for applications for this research type","","Somewhat important","Not at all important","Somewhat important","Not at all important","20%","80%","","","","","20%","80%","","","","","Decreased","Decreased considerably","Can't comment","Somewhat important",NA,NA,1,NA,"the shift was very clear under the conservative gouvernment. Time will say for the liberal one, I really hope that things will get more balanced","Will increase slightly","","","Will increase considerably","being a scientist being more and more difficult mostly due to the reduction of available funding, student in science programs are discouraged to embrace an academic career. They consequently orient themselves to more practical career and chose to carry out their garduate studies in labs with translational research programs. This is  is killing basic science in canada.","Natural Science","1998","Canada","Female","I stongly believe in NSERC mandate and as member of grant reviewing committee I am supporting this model. As a basic scientist I am almost exclusively funded by NSERC for my basic science program which is way insufficient to develop competitive research. More funds should be attributed in small labs doing nice fundamental research. I am recently involved in the private sector (creating a spin-off) and I am amazed by the huge funding gap between these two sectors. I consider my fundamental and translational research of equivalent importance and potential benefits for canada and I have the opportunity to raise 10-times more money for the translational project than for the basic science one (100% federal money in both cases)","Canada"
"Complete","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","60%","30%","10%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","3-Jan","0","0","0","0","50%","0%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","Can't comment","Quite important","Can't comment","20%","70%","0%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Decreased","Increased considerably","Somewhat important",NA,NA,1,NA,"","Will stay the same","Will stay the same","Will increase slightly","Will stay the same","","Natural Science","2009","Canada","Male","","Canada"
"Complete","","Senior academic researcher with > 10 years of experience applying for research grants","30%","30%","40%","No","","","",NA,NA,NA,NA,NA,"","","Strong partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Slightly negative","3-Jan","3-Jan","6-Apr","6-Apr","3-Jan","3-Jan","60%","30%","50%","80%","50%","40%","Mandatory","Quite important","Mandatory","Not very important","0%","50%","20%","10%","10%","External international level","","70%","10%","20%","0%","","Decreased considerably","Stayed the same","Increased considerably","Very important",NA,NA,1,NA,"","Will increase slightly","Will stay the same","Will decrease slightly","Will increase slightly","","Interdisciplinary Science","1991","Canada","Male","No, thanks",""
"Complete","","Senior academic researcher with > 10 years of experience applying for research grants","100%","","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","","","3-Jan","","","70%","No need for applications for this research type","No need for applications for this research type","80%","No need for applications for this research type","No need for applications for this research type","Quite important","Not at all important","Not at all important","Not at all important","10%","90%","","","","","10%","90%","","","","","Decreased considerably","Can't comment","Increased considerably","Somewhat important",NA,NA,1,NA,"","Will increase slightly","Can't comment","Can't comment","Will increase slightly","","Physical Science (eg. math, physics, chemistry, computer science)","","Canada","Male","",""
"Complete","British Columbia","Senior academic researcher with > 10 years of experience applying for research grants","80%","20%","","Yes","100%","0%","0%",1,NA,NA,NA,1,"Opportunity to become engaged through committee work.","Very positive","Some partnership","Yes","No partnership",1,NA,NA,1,1,"Opportunity-related, again, through committee work","Very positive","6-Apr","3-Jan","3-Jan","6-Apr","3-Jan","0","50%","60%","100%","60%","100%","No need for applications for this research type","Somewhat important","Somewhat important","Not very important","Not very important","20%","60%","20%","","","","20%","70%","","10%","","","Stayed the same","Increased","Increased","Somewhat important",NA,1,1,NA,"For Canada, I consider the past 10 years to be primarily influenced by the previous, with the hope that things are changing now. ","Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same","I think these things change slowly. To pursue a career in research, the next generation probably needs to think that changes will be sustained over longer periods. Also, for people to be encouraged towards academic research, the issue of work-life balance seems like a more/ equally prominent barrier relative to funding for research. ","Natural Science","1994","Canada","Female","","Canada"
"Complete","Nova Scotia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","100%","0%","0%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","0","0","0","100%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Somewhat important","Can't comment","Somewhat important","Can't comment","50%","50%","0%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Increased","Increased considerably","Very important",NA,1,1,NA,"","Will stay the same","Will increase slightly","Will increase slightly","Will decrease considerably","The actions of the former Conservative government in Canada have led many of my students to decide not to pursue research science and graduate school.","Natural Science","2012","Canada","Female","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","20%","","80%","Yes","100%","","",NA,NA,1,NA,NA,"","Slightly negative","Exclusive partnership","Yes","No partnership",NA,NA,NA,1,NA,"","Slightly positive","3-Jan","","6-Apr","3-Jan","","","0%","","100%","100%","","","Very important","Quite important","Quite important","Somewhat important","10%","","90%","","","","20%","80%","","","","","Decreased considerably","","Stayed the same","Very important",NA,NA,1,NA,"This is a perception on my part.  I do not know if it is correct.","Will stay the same","","Will increase slightly","Can't comment","I do not think that the possible answers listed above fit the question asked.  Yes, the funding today will have a tremendous impact on the next generation for science-related careers.  The decrease in fundamental research will lead to a paucity of data which will make it very difficult for scientists to generate hypothesis.  Applied research requires fundamental research for survival, so there should be a true balance between the types of funding.","Natural Science","1987","Canada","Female","Each government at any levels (federal or provincial) should understand the importance of fundamental research, and it should understand that closing in on the fundamental research will lead (it has already led) to an amazing waste of talents, money, creativity, and innovation.","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","60%","30%","10%","Yes","90%","0%","",1,1,1,1,NA,"","Slightly positive","No partnership","No","",NA,NA,NA,NA,NA,"","","16+","3-Jan","","16+","","","50%","","","60%","","","Very important","Somewhat important","Not very important","Not very important","10%","80%","","10%","","","10%","90%","","","","","Decreased","Decreased","Decreased","Not very important",NA,NA,1,NA,"","Will increase slightly","Will increase slightly","Will stay the same","Will decrease slightly","","Medicine and Life Science","1997","Canada","Male","","Canada"
"Complete","British Columbia","Senior academic researcher with > 10 years of experience applying for research grants","50%","20%","30%","Yes","100%","","",NA,NA,1,NA,NA,"","Neutral","Strong partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Slightly negative","9-Jul","3-Jan","6-Apr","12-Oct","3-Jan","3-Jan","80%","70%","80%","50%","60%","50%","Very important","Quite important","Not very important","Not very important","10%","50%","30%","","10%","In-kind from instrument company","20%","40%","20%","","10%","","Increased","Increased","Stayed the same","Somewhat important",NA,NA,1,NA,"","Will increase slightly","Will increase slightly","Will increase slightly","Will increase slightly","","Natural Science","1982","Canada","Female","Canada should be doing better, with its new prime minister.","Canada"
"Complete","Germany","Senior academic researcher with > 10 years of experience applying for research grants","10%","40%","50%","Yes","30%","30%","30%",1,NA,1,NA,NA,"","Slightly positive","Strong partnership","Yes","Some partnership",1,NA,NA,1,NA,"","Slightly negative","3-Jan","9-Jul","6-Apr","3-Jan","9-Jul","6-Apr","0%","50%","90%","10%","50%","80%","Mandatory","Quite important","Mandatory","Somewhat important","10%","60%","40%","0%","0%","","10%","70%","30%","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Stayed the same","Increased considerably","Not very important",NA,NA,1,NA,"","Will increase slightly","Will stay the same","Will increase slightly","Will increase considerably","","Engineering","1992","Canada","Male","The problem now is the perception of R&D expenses for the companies is considered as an expenses that they can eliminate to have a better financial statements for the stockholders instead to consider R&D as a long term investment.","Germany"
"Complete","Cameroon","Senior academic researcher with > 10 years of experience applying for research grants","40%","20%","40%","Yes","40%","20%","40%",1,1,1,1,NA,"","Slightly positive","Some partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","","3-Jan","3-Jan","","3-Jan","100%","0%","100%","80%","","100%","Very important","Very important","Quite important","","10%","50%","40%","","","","10%","90%","","","","","Decreased considerably","Increased","Increased considerably","Not very important",NA,NA,1,NA,"","Will increase slightly","Will increase slightly","Will increase slightly","Will increase considerably","","Engineering","1997","Canada","Male","no","Cameroon"
"Complete","Saskatchewan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","10%","30%","60%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","0","3-Jan","6-Apr","","","","No need for applications for this research type","30%","30%","","","","Very important","","Quite important","","10%","10%","80%","","","","","","","","","","Decreased considerably","Decreased considerably","Decreased considerably","Not very important",NA,NA,1,NA,"Government funding has become about picking ""winners"" and ""losers"" for both institutions and individuals for funding such as NSERC Discovery Grants.  This has done great damage to the research community because research ideas are concentrated among the successful established researchers at large institutions.  The brain-power of the research community has been significantly reduced to a ""chosen few"" and as such important research is not being conducted overall across Canada as in the past. In addition, the vast majority of research money has been focused towards short-term industry issues effectively putting public research money into enriching the corporations (getting researchers and industry research done for pennies on the dollar...for example most Mitacs grants and many NSERC grants) rather than using that money for actual research discoveries.  This is absolutely shameful and does not boad well for the future research success of this country.","Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably","The trends have gotten worse over time and I don't see the downward trend changing any time soon.","Engineering","2011","Canada","Male","The government and the government funding agencies in Canada need to recognize that research is not about using public research dollars for for-profit industry cheap labour.  This is a shameful use of the public purse because it is tantamount to government subsidies subvertly being directed to for-profit organizations under the guise of funding research.  In addition, picking ""winners"" and ""losers"" (institutions and individuals) in NSERC Grants (Example: Discovery Grants) does not increase the chances of important research discoveries but rather suppresses potential discoveries through researchers that are not funded.  Appropriately funding all researchers in Canada would vastly increase the research success of Canada because the more brain-power working on research problems statistically increases the chances and value of all research being undertaken.","Canada"
"Complete","","Senior academic researcher with > 10 years of experience applying for research grants","80%","10%","10%","Yes","100%","","",NA,NA,1,NA,NA,"","Very negative","Some partnership","Yes","No partnership",NA,NA,NA,1,NA,"","Neutral","9-Jul","3-Jan","3-Jan","12-Oct","0","0","40%","100%","90%","70%","No need for applications for this research type","No need for applications for this research type","Very important","Somewhat important","Mandatory","Mandatory","30%","50%","10%","10%","","","10%","90%","","","","","Decreased","Increased","Increased considerably","Not very important",NA,NA,1,NA,"Specially with the past conservative governement","Will increase slightly","Will stay the same","Will decrease slightly","Will decrease considerably","","Medicine and Life Science","1994","Canada","Female","I am also a VP research",""
"Complete","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","90%","","10%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","9-Jul","0","9-Jul","3-Jan","0","0","80%","No need for applications for this research type","100%","100%","No need for applications for this research type","No need for applications for this research type","Quite important","Can't comment","Not very important","Can't comment","0%","100%","0%","0%","0%","","10%","90%","0%","0%","0%","","Decreased","Increased","Increased","Somewhat important",NA,NA,1,NA,"","Will stay the same","Can't comment","Will increase slightly","Will stay the same","","Natural Science","2006","Canada","Male","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","6-Apr","0","0","0%","No need for applications for this research type","No need for applications for this research type","100%","No need for applications for this research type","No need for applications for this research type","Can't comment","Can't comment","Can't comment","Can't comment","100%","0%","0%","0%","0%","","20%","80%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Can't comment","Can't comment","Not at all important",NA,NA,1,NA,"","Will stay the same","Can't comment","Can't comment","Will increase considerably","","Physical Science (eg. math, physics, chemistry, computer science)","1999","Canada","Female","","Canada"
"Complete","Quebec","Senior academic researcher with > 10 years of experience applying for research grants","40%","30%","30%","No","","","",NA,NA,NA,NA,NA,"","","Strong partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","6-Apr","9-Jul","3-Jan","6-Apr","6-Apr","100%","90%","90%","100%","90%","90%","Very important","Very important","Quite important","Quite important","0%","60%","30%","10%","","","0%","60%","30%","10%","","","Stayed the same","Stayed the same","Increased","Somewhat important",NA,NA,1,NA,"","Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly","","Natural Science","1999","Canada","Male","","Canada"
"Complete","Netherlands","Senior academic researcher with > 10 years of experience applying for research grants","0%","60%","40%","Yes","0%","80%","20%",NA,NA,1,NA,NA,"","Very negative","Some partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Slightly positive","0","9-Jul","6-Apr","0","13-15","0","No need for applications for this research type","30%","100%","No need for applications for this research type","70%","No need for applications for this research type","Mandatory","Very important","Quite important","Somewhat important","0%","80%","20%","0%","0%","","New researcher (no funding in these years)","90%","10%","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Decreased","Increased considerably","Not at all important",NA,NA,1,NA,"","Will increase slightly","Will stay the same","Will decrease slightly","Will increase slightly","","Engineering","2001","Canada","Male","","Netherlands"
"Complete","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","90%","10%","","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","No partnership",NA,NA,1,NA,NA,"","Slightly positive","13-15","6-Apr","","3-Jan","0","","70%","0%","","90%","0%","","Somewhat important","Somewhat important","Quite important","Quite important","20%","70%","0%","","10%","Municipalities","20%","80%","","","","","Decreased","Increased considerably","Increased considerably","Very important",NA,NA,1,NA,"","Will stay the same","Will stay the same","Will increase slightly","Will stay the same","","Natural Science","2008","Canada","Male","","Canada"
"Complete","","Senior academic researcher with > 10 years of experience applying for research grants","70%","20%","10%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","12-Oct","3-Jan","","12-Oct","","3-Jan","90%","100%","No need for applications for this research type","90%","","100%","Not at all important","Somewhat important","Not at all important","Not very important","10%","90%","","","","","0%","80%","","0%","","","Decreased considerably","Increased","Increased considerably","Somewhat important",NA,1,1,NA,"","Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease slightly","","Natural Science","1977","Canada","Male","the Canadian government policy is partly dependent on who is in power.  When it was the conservative government, they had a very short ,distorted vision of the future and that fundamental research was  of little or no help in anticipating or dealing with it.  They were heavily focus on the now, not the long-term, nor did they see the present as contingent on the past and thus on a fundamental understanding of biological processes.  The new Canadian Liberal government has a greater depth (forwards and backwards) of knowledge and its pursuits.    Unfortunately for the Canadian system (unlike the US, and perhaps other countries, where there is inertia) rapid shifts in policy can happen and the memory  and expertise needed to sustain and foster fundamental research can rapidly be eroded and not easily resurrected or resuscitated.  ",""
"Complete","Alberta","Senior academic researcher with > 10 years of experience applying for research grants","60%","10%","30%","Yes","60%","0%","40%",1,NA,1,NA,NA,"","Slightly positive","Some partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","","3-Jan","3-Jan","","3-Jan","40%","No need for applications for this research type","100%","100%","No need for applications for this research type","100%","Quite important","Quite important","Mandatory","Quite important","0%","30%","70%","","","","","80%","20%","","","","Stayed the same","Can't comment","Stayed the same","Very important",NA,NA,NA,1,"","Will stay the same","Can't comment","Will stay the same","Will decrease slightly","","Engineering","","Canada","Male","","Canada"
"Complete","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","80%","10%","10%","Yes","100%","","",NA,NA,1,NA,NA,"","Slightly negative","Some partnership","Yes","No partnership",NA,NA,NA,1,NA,"","Slightly negative","3-Jan","6-Apr","3-Jan","3-Jan","3-Jan","3-Jan","100%","50%","100%","100%","100%","100%","Very important","Quite important","Quite important","Somewhat important","10%","70%","20%","0%","0%","","30%","70%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Increased","Increased","Very important",NA,1,1,NA,"The grants that fund my fundamental research require me to show benefits for use and applied problems, such that even my fundamental research and grants must be justified from a direct application perspective (if I am to be successful). I'm not sure that this issue came out in the questionnaire, but it is important; researchers that show strong productivity in applied and use-inspired areas receive more grant funding from agencies purported to fund fundamental research.","Will increase slightly","Will stay the same","Will stay the same","Will increase slightly","We've had a change in government - I'm optimistic ...","Natural Science","2006","Canada","Male","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","40%","10%","50%","Yes","70%","10%","20%",NA,NA,1,NA,NA,"","Slightly negative","Strong partnership","Yes","Some partnership",1,NA,NA,1,NA,"","Slightly negative","3-Jan","0","3-Jan","6-Apr","0","3-Jan","0%","No need for applications for this research type","60%","80%","No need for applications for this research type","40%","Very important","Quite important","Mandatory","Somewhat important","10%","10%","80%","0%","0%","","10%","60%","30%","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Can't comment","Increased considerably","Very important",NA,NA,1,NA,"","Will decrease slightly","Will decrease considerably","Will increase considerably","Will decrease considerably","","Natural Science","1986","Canada","Male","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","100%","","","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","No partnership",NA,NA,NA,1,NA,"","Slightly positive","13-15","","","9-Jul","","","30%","","","30%","","","Quite important","Somewhat important","Not very important","Not very important","10%","80%","","10%","","","10%","90%","","","","","Decreased considerably","Decreased","Decreased","Very important",NA,NA,1,NA,"","Will stay the same","Will stay the same","Will stay the same","Will decrease considerably","The majority of my students are not looking at a long term research career at this time.  This is very different from a decade ago.","Medicine and Life Science","","","Male","","Canada"
"Complete","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","80%","20%","","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Some partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","9-Jul","3-Jan","","0","0","0","60%","80%","","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Mandatory","Can't comment","Quite important","Can't comment","20%","70%","10%","","","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Decreased considerably","Increased","Not very important",NA,NA,1,NA,"","Will increase slightly","Will increase slightly","Will stay the same","Will decrease slightly","","Physical Science (eg. math, physics, chemistry, computer science)","2010","Canada","Female","","Canada"
"Complete","British Columbia","Senior academic researcher with > 10 years of experience applying for research grants","50%","30%","20%","Yes","80%","20%","0%",NA,NA,1,NA,NA,"","Slightly negative","Some partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Slightly negative","6-Apr","6-Apr","3-Jan","6-Apr","3-Jan","0","80%","80%","100%","80%","80%","No need for applications for this research type","Very important","Quite important","Mandatory","Somewhat important","10%","80%","10%","0%","0%","","0%","80%","10%","10%","0%","","Decreased considerably","Increased","Increased","Somewhat important",NA,1,1,NA,"","Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease considerably","","Physical Science (eg. math, physics, chemistry, computer science)","1998","Canada","Male","","Canada"
"Complete","Alberta","Senior academic researcher with > 10 years of experience applying for research grants","90%","","10%","Yes","100%","","",1,NA,1,NA,NA,"","Slightly negative","Some partnership","Yes","No partnership",1,NA,NA,1,NA,"","Slightly negative","3-Jan","","3-Jan","3-Jan","","0","20%","","100%","50%","","","Quite important","Not at all important","Quite important","Not very important","30%","40%","0%","30%","0%","","0%","100%","0%","0%","0%","","Decreased considerably","Can't comment","Increased considerably","Very important",NA,NA,1,NA,"","Will increase slightly","Can't comment","Will stay the same","Will increase slightly","","Natural Science","2001","Canada","Male","","Canada"
"Complete","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","0%","60%","40%","Yes","0%","40%","60%",1,1,1,1,NA,"","Very positive","No partnership","No","",NA,NA,NA,NA,NA,"","","0","6-Apr","6-Apr","0","","6-Apr","0%","30%","30%","0%","0%","30%","Mandatory","Very important","Quite important","Quite important","10%","80%","0%","10%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Can't comment","Increased","Decreased","Somewhat important",1,1,NA,NA,"","Will stay the same","Will decrease considerably","Will decrease considerably","Will decrease considerably","","Social Science / Humanities","2009","Canada","","","Canada"
"Complete","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","0%","100%","0%","No","","","",NA,NA,NA,NA,NA,"","","Strong partnership","No","",NA,NA,NA,NA,NA,"","","","6-Apr","","","6-Apr","","No need for applications for this research type","30%","No need for applications for this research type","No need for applications for this research type","20%","No need for applications for this research type","Very important","Very important","Mandatory","Mandatory","50%","50%","","","","","100%","","","","","","Can't comment","Increased","Can't comment","Can't comment",NA,1,NA,NA,"","Can't comment","Will decrease slightly","Can't comment","Will decrease slightly","","Interdisciplinary Science","2008","Canada","Female","","Canada"
