"Country","Country_work","nation","gender","what_participant_group","field_research","Location","partnership_change_10yrs","id"
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","British Columbia","Yes",503
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","British Columbia","Yes",504
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","British Columbia","Yes",505
"","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","","Yes",506
"","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","","No",507
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Alberta","No",508
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","Can't comment (new researcher)",509
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Alberta","Yes",510
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Alberta","No",511
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","Yes",512
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","British Columbia","Yes",513
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quebec","No",514
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Nova Scotia","No",515
"Canada","Canada","Canada","Male","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","Quebec","No",516
"Canada","","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Quebec","Yes",517
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Quebec","No",518
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Quebec","No",519
"Canada","Central African Republic","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quebec","Yes",520
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","No",521
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Alberta","Yes",522
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quebec","No",523
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","Yes",524
"Switzerland","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Switzerland","No",525
"Canada","Canada","Canada","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Alberta","No",526
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","No",527
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Quebec","No",528
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Ontario","Yes",529
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","Yes",530
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","British Columbia","No",531
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","Yes",532
"Poland","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Poland","No",533
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","British Columbia","Yes",534
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Alberta","Can't comment (new researcher)",535
"Canada","Chad","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Newfoundland and Labrador","Yes",536
"Canada","Canada","Canada","Female","","Natural Science","Quebec","No",537
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","British Columbia","No",538
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Alberta","Yes",539
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Ontario","Yes",540
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Alberta","Can't comment (new researcher)",541
"Canada","","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","British Columbia","Yes",542
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Ontario","No",543
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Ontario","No",544
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","No",545
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Alberta","No",546
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","No",547
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Newfoundland and Labrador","No",548
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","Yes",549
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Ontario","Yes",550
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Ontario","No",551
"Canada","Canada","Canada","Female","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Ontario","Can't comment (new researcher)",552
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Alberta","No",553
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","British Columbia","Yes",554
"Uruguay","Uruguay","Uruguay","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Uruguay","No",555
"","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","","No",556
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Alberta","No",557
"","","","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","","No",558
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Ontario","No",559
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Manitoba","No",560
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","British Columbia","No",561
"Canada","Canada","Canada","Male","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","Yes",562
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","British Columbia","Yes",563
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Ontario","No",564
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","No",565
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","No",566
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Alberta","No",567
"Canada","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Ontario","No",568
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Alberta","No",569
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Nova Scotia","No",570
"Canada","Canada","Canada","Male","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","Can't comment (new researcher)",571
"Canada","","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Manitoba","Yes",572
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","No",573
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","No",574
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Alberta","No",575
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Ontario","Yes",576
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","No",577
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Ontario","No",578
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","No",579
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","British Columbia","No",580
"Canada","Canada","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Nova Scotia","Yes",581
"Canada","Canada","Canada","Other","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","Yes",582
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","No",583
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","New Brunswick","No",584
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Alberta","No",585
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Alberta","No",586
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","New Brunswick","No",587
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Alberta","No",588
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Ontario","Yes",589
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","Yes",590
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Quebec","Yes",591
"Canada","India","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Ontario","No",592
"Canada","Canada","Canada","Female","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science","British Columbia","No",593
"Canada","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Ontario","Can't comment (new researcher)",594
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","No",595
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Ontario","No",596
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Alberta","No",597
"Canada","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Ontario","Can't comment (new researcher)",598
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","Yes",599
"Canada","","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Ontario","Can't comment (new researcher)",600
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","British Columbia","Yes",601
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","No",602
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Ontario","Yes",603
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Alberta","No",604
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","No",605
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Alberta","Yes",606
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Ontario","Yes",607
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","No",608
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Quebec","Yes",609
"United States","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Vermont","No",610
"Canada","","Canada","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Ontario","Yes",611
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Ontario","Yes",612
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Alberta","No",613
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Alberta","No",614
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Nova Scotia","Yes",615
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Alberta","Yes",616
"United States","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Nevada","Yes",617
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Ontario","No",618
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","Yes",619
"Canada","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Ontario","Can't comment (new researcher)",620
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Ontario","Can't comment (new researcher)",621
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Quebec","Yes",622
"United States","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Nevada","Yes",623
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","Yes",624
"Canada","United States","United States","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Alberta","No",625
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Quebec","Yes",626
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Alberta","No",627
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","No",628
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","No",629
"France","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","France","No",630
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Alberta","Yes",631
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","No",632
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Alberta","No",633
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Alberta","Yes",634
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","Yes",635
"Canada","Canada","Canada","Female","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","No",636
"Canada","","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Ontario","Yes",637
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Manitoba","No",638
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Quebec","No",639
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Manitoba","No",640
"","Canada","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Engineering","","Yes",641
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Ontario","Yes",642
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","Yes",643
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Ontario","No",644
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","Yes",645
"Canada","Canada","Canada","Female","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","British Columbia","Yes",646
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","New Brunswick","No",647
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Quebec","Yes",648
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","Yes",649
"Canada","","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Ontario","No",650
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Quebec","No",651
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","Yes",652
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Alberta","No",653
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","Can't comment (new researcher)",654
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Alberta","No",655
"United States","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","New York","No",656
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Ontario","Yes",657
"Japan","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Japan","No",658
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Ontario","Yes",659
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","British Columbia","Yes",660
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","No",661
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","No",662
"Canada","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Ontario","No",663
"","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","","Yes",664
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","Yes",665
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","No",666
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","British Columbia","No",667
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Ontario","Yes",668
"Canada","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Ontario","Yes",669
"","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","","No",670
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","No",671
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","Yes",672
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Quebec","No",673
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","Yes",674
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Saskatchewan","No",675
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Alberta","Can't comment (new researcher)",676
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","Yes",677
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Quebec","No",678
"Canada","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Ontario","Yes",679
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","British Columbia","Yes",680
"Canada","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Prince Edward Island","No",681
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","British Columbia","Yes",682
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","British Columbia","Yes",683
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","British Columbia","Yes",684
"Canada","","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Manitoba","Can't comment (new researcher)",685
"Canada","Canada","Canada","Male","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science","Alberta","Can't comment (new researcher)",686
"France","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","France","Yes",687
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","Yes",688
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Ontario","No",689
"Canada","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Alberta","Yes",690
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Alberta","No",691
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Alberta","No",692
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","British Columbia","Yes",693
"Canada","","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Quebec","No",694
"United Kingdom","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","United Kingdom","No",695
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Ontario","Yes",696
"Canada","Canada","Canada","Female","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science","British Columbia","Yes",697
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","Yes",698
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Manitoba","Yes",699
"Canada","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","British Columbia","Yes",700
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Ontario","Yes",701
"Canada","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Newfoundland and Labrador","Can't comment (new researcher)",702
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","No",703
"","Canada","Canada","Other","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","","No",704
"Canada","Canada","Canada","Female","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","British Columbia","Can't comment (new researcher)",705
"Canada","Canada","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Ontario","No",706
"United States","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","New York","Yes",707
"Greece","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Greece","No",708
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quebec","No",709
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Alberta","No",710
"Canada","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","British Columbia","Yes",711
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Ontario","No",712
"Canada","Canada","Canada","Female","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","British Columbia","Yes",713
"Croatia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Croatia","No",714
"","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","","No",715
"Canada","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Prince Edward Island","No",716
"Canada","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Ontario","Yes",717
"Canada","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","British Columbia","Can't comment (new researcher)",718
