"Location","Country_work","Country","nation"
"Manitoba","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Singapore","Canada","Singapore","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Manitoba","Canada","Canada","Canada"
"Manitoba","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","","",""
"United Kingdom","Canada","United Kingdom","Canada"
"France","Canada","France","Canada"
"Manitoba","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Washington","Canada","United States","Canada"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Ontario","Canada","Canada","Canada"
"Pennsylvania","Canada","United States","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","","Canada","Canada"
"","Canada","","Canada"
"British Columbia","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Germany","Germany","Germany","Germany"
"Australia","Canada","Australia","Canada"
"British Columbia","Canada","Canada","Canada"
"Michigan","Canada","United States","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"","Canada","","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"British Columbia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Korea","Canada","Korea","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"","Canada","","Canada"
"Australia","Israel","Australia","Israel"
"Ontario","Canada","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"","Canada","","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Latvia","Canada","Latvia","Canada"
"Alberta","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Switzerland","Canada","Switzerland","Canada"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Germany","Germany","Germany","Germany"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Germany","Germany","Germany","Germany"
"Germany","Canada","Germany","Canada"
"Germany","Germany","Germany","Germany"
"United Kingdom","Canada","United Kingdom","Canada"
"Belgium","Canada","Belgium","Canada"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Denmark","Canada","Denmark","Canada"
"Florida","Canada","United States","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"Netherlands","Canada","Netherlands","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"Israel","Israel","Israel","Israel"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"","Canada","","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Maryland","United States","United States","United States"
"Newfoundland and Labrador","Canada","Canada","Canada"
"Switzerland","Canada","Switzerland","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Texas","United States","United States","United States"
"New York","United States","United States","United States"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Pennsylvania","United States","United States","United States"
"Belgium","Belgium","Belgium","Belgium"
"Ontario","Canada","Canada","Canada"
"Texas","United States","United States","United States"
"Illinois","United States","United States","United States"
"Finland","Finland","Finland","Finland"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"New Brunswick","Canada","Canada","Canada"
"Quebec","United Kingdom","Canada","United Kingdom"
"Netherlands","Finland","Netherlands","Finland"
"","United States","","United States"
"Oregon","United States","United States","United States"
"Ontario","Canada","Canada","Canada"
"Manitoba","Canada","Canada","Canada"
"Belgium","Belgium","Belgium","Belgium"
"Newfoundland and Labrador","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Ohio","United States","United States","United States"
"Quebec","Canada","Canada","Canada"
"Yukon Territory","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"New York","United States","United States","United States"
"Virginia","United States","United States","United States"
"","United States","","United States"
"Minnesota","United States","United States","United States"
"Alberta","Canada","Canada","Canada"
"Tennessee","United States","United States","United States"
"Alberta","Canada","Canada","Canada"
"Israel","Israel","Israel","Israel"
"Belgium","United States","Belgium","United States"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Israel","Israel","Israel","Israel"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"","Canada","","Canada"
"","Canada","","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Louisiana","United States","United States","United States"
"California","United States","United States","United States"
"California","United States","United States","United States"
"California","United States","United States","United States"
"California","United States","United States","United States"
"British Columbia","Canada","Canada","Canada"
"California","United States","United States","United States"
"New York","United States","United States","United States"
"Quebec","Canada","Canada","Canada"
"Greece","Canada","Greece","Canada"
"Alberta","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Maryland","United States","United States","United States"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Manitoba","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Germany","Germany","Germany","Germany"
"Ontario","Canada","Canada","Canada"
"Ontario","United States","Canada","United States"
"Ontario","Canada","Canada","Canada"
"Nigeria","Nigeria","Nigeria","Nigeria"
"Mexico","Mexico","Mexico","Mexico"
"Alberta","Canada","Canada","Canada"
"Hawaii","United States","United States","United States"
"British Columbia","Canada","Canada","Canada"
"","Canada","","Canada"
"New Zealand","New Zealand","New Zealand","New Zealand"
"California","United States","United States","United States"
"California","United States","United States","United States"
"","United States","","United States"
"British Columbia","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"India","India","India","India"
"Nepal","Nepal","Nepal","Nepal"
"Sweden","Sweden","Sweden","Sweden"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Cyprus","Cyprus","Cyprus","Cyprus"
"Italy","France","Italy","France"
"Austria","Austria","Austria","Austria"
"California","United States","United States","United States"
"California","United States","United States","United States"
"Australia","Australia","Australia","Australia"
"Germany","Germany","Germany","Germany"
"","United States","","United States"
"Ontario","Canada","Canada","Canada"
"Denmark","Denmark","Denmark","Denmark"
"Australia","Australia","Australia","Australia"
"Newfoundland and Labrador","Canada","Canada","Canada"
"France","France","France","France"
"Oklahoma","United States","United States","United States"
"Vermont","Canada","United States","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ohio","United States","United States","United States"
"Ontario","Canada","Canada","Canada"
"Italy","Portugal","Italy","Portugal"
"Sweden","Canada","Sweden","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Israel","Israel","Israel","Israel"
"Nova Scotia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Indiana","United States","United States","United States"
"Ontario","Canada","Canada","Canada"
"Maine","United States","United States","United States"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"New York","United States","United States","United States"
"","Canada","","Canada"
"Alberta","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"","Canada","","Canada"
"Maryland","","United States","United States"
"France","France","France","France"
"Finland","Finland","Finland","Finland"
"Switzerland","United States","Switzerland","United States"
"Australia","Australia","Australia","Australia"
"Germany","Benin","Germany","Benin"
"Quebec","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Colorado","United States","United States","United States"
"","Canada","","Canada"
"","Canada","","Canada"
"","United States","","United States"
"Ontario","Canada","Canada","Canada"
"Germany","Germany","Germany","Germany"
"Michigan","United States","United States","United States"
"Colorado","United States","United States","United States"
"Ontario","Canada","Canada","Canada"
"Ethiopia","Ethiopia","Ethiopia","Ethiopia"
"","United States","","United States"
"Lesotho","Lesotho","Lesotho","Lesotho"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Saskatchewan","Canada","Canada","Canada"
"Indonesia","Indonesia","Indonesia","Indonesia"
"Bangladesh","Bangladesh","Bangladesh","Bangladesh"
"Vietnam","Vietnam","Vietnam","Vietnam"
"Nicaragua","Nicaragua","Nicaragua","Nicaragua"
"Quebec","Canada","Canada","Canada"
"India","India","India","India"
"Philippines","Philippines","Philippines","Philippines"
"Kenya","Kenya","Kenya","Kenya"
"Russian Federation","Russia","Russian Federation","Russia"
"India","India","India","India"
"Israel","Israel","Israel","Israel"
"Japan","Bangladesh","Japan","Bangladesh"
"Quebec","Canada","Canada","Canada"
"California","United States","United States","United States"
"Colombia","Colombia","Colombia","Colombia"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Nigeria","Nigeria","Nigeria","Nigeria"
"Nevada","United States","United States","United States"
"Israel","Israel","Israel","Israel"
"Mozambique","Mozambique","Mozambique","Mozambique"
"Malaysia","Malaysia","Malaysia","Malaysia"
"Taiwan","Taiwan","Taiwan","Taiwan"
"Dominican Republic","Dominican Republic","Dominican Republic","Dominican Republic"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Massachusetts","United States","United States","United States"
"Russian Federation","Canada","Russian Federation","Canada"
"","Canada","","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Indonesia","Canada","Indonesia","Canada"
"California","United States","United States","United States"
"Nepal","Nepal","Nepal","Nepal"
"India","India","India","India"
"Japan","Japan","Japan","Japan"
"Iowa","United States","United States","United States"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Saskatchewan","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Lebanon","Lebanon","Lebanon","Lebanon"
"Ontario","Canada","Canada","Canada"
"Hawaii","Canada","United States","Canada"
"","Canada","","Canada"
"Australia","Australia","Australia","Australia"
"Malaysia","Malaysia","Malaysia","Malaysia"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Germany","Germany","Germany","Germany"
"Switzerland","United Kingdom","Switzerland","United Kingdom"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"","Canada","","Canada"
"Quebec","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Germany","Canada","Germany","Canada"
"Alberta","Canada","Canada","Canada"
"","Bangladesh","","Bangladesh"
"Quebec","Canada","Canada","Canada"
"Bangladesh","Bangladesh","Bangladesh","Bangladesh"
"Hawaii","United States","United States","United States"
"Indonesia","Indonesia","Indonesia","Indonesia"
"France","Canada","France","Canada"
"California","United States","United States","United States"
"","Canada","","Canada"
"California","","United States","United States"
"United Kingdom","United States","United Kingdom","United States"
"Florida","United States","United States","United States"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","","Canada","Canada"
"Nigeria","Nigeria","Nigeria","Nigeria"
"British Columbia","Canada","Canada","Canada"
"Hawaii","United States","United States","United States"
"Ontario","Canada","Canada","Canada"
"Alabama","United States","United States","United States"
"","United States","","United States"
"California","United States","United States","United States"
"Spain","United States","Spain","United States"
"Texas","United States","United States","United States"
"Massachusetts","United States","United States","United States"
"North Carolina","United States","United States","United States"
"Massachusetts","United States","United States","United States"
"","Canada","","Canada"
"","United States","","United States"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"","United Kingdom","","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Massachusetts","United States","United States","United States"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Switzerland","United Kingdom","Switzerland","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Hong Kong","United Kingdom","Hong Kong","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Switzerland","United Kingdom","Switzerland","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Spain","United Kingdom","Spain","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Australia","Australia","Australia","Australia"
"China","United Kingdom","China","United Kingdom"
"Saskatchewan","Canada","Canada","Canada"
"Washington","United Kingdom","United States","United Kingdom"
"Oregon","United Kingdom","United States","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Russian Federation","United Kingdom","Russian Federation","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Germany","United Kingdom","Germany","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"","United Kingdom","","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"China","United Kingdom","China","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Spain","United Kingdom","Spain","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Illinois","United States","United States","United States"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Quebec","Canada","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Italy","United Kingdom","Italy","United Kingdom"
"Alberta","Canada","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"","United Kingdom","","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"","United Kingdom","","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"","United Kingdom","","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Switzerland","United Kingdom","Switzerland","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Germany","United Kingdom","Germany","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Ontario","Canada","Canada","Canada"
"","","",""
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"New Brunswick","Canada","Canada","Canada"
"Massachusetts","United States","United States","United States"
"United Kingdom","","United Kingdom","United Kingdom"
"Quebec","Canada","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Netherlands","Netherlands","Netherlands","Netherlands"
"Belgium","Belgium","Belgium","Belgium"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Netherlands","Netherlands","Netherlands","Netherlands"
"Australia","Australia","Australia","Australia"
"Belgium","Belgium","Belgium","Belgium"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Netherlands","Netherlands","Netherlands","Netherlands"
"Netherlands","Netherlands","Netherlands","Netherlands"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Netherlands","Netherlands","Netherlands","Netherlands"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"","Australia","","Australia"
"Germany","United Kingdom","Germany","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Netherlands","Netherlands","Netherlands","Netherlands"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Italy","Canada","Italy","Canada"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Netherlands","Netherlands","Netherlands","Netherlands"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Quebec","Canada","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"British Columbia","Canada","Canada","Canada"
"Netherlands","Netherlands","Netherlands","Netherlands"
"Ontario","Canada","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Switzerland","Switzerland","Switzerland","Switzerland"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Australia","Australia","Australia","Australia"
"Alberta","Canada","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Israel","Israel","Israel","Israel"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Nebraska","United States","United States","United States"
"","Colombia","","Colombia"
"","Colombia","","Colombia"
"Nebraska","United States","United States","United States"
"British Columbia","Canada","Canada","Canada"
"Massachusetts","United States","United States","United States"
"","Colombia","","Colombia"
"Nebraska","United States","United States","United States"
"India","India","India","India"
"Connecticut","United States","United States","United States"
"","United States","","United States"
"New Hampshire","United States","United States","United States"
"New Hampshire","United States","United States","United States"
"New York","United States","United States","United States"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"","Canada","","Canada"
"Australia","Australia","Australia","Australia"
"Quebec","Canada","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Quebec","Canada","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"New Brunswick","Canada","Canada","Canada"
"","Colombia","","Colombia"
"Massachusetts","United States","United States","United States"
"Ontario","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Virginia","United States","United States","United States"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Australia","Australia","Australia","Australia"
"California","United States","United States","United States"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Connecticut","United States","United States","United States"
"Ontario","Canada","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"New Zealand","New Zealand","New Zealand","New Zealand"
"District of Columbia","United States","United States","United States"
"Portugal","New Zealand","Portugal","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Ontario","","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Quebec","Canada","Canada","Canada"
"New Zealand","New Zealand","New Zealand","New Zealand"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Portugal","Portugal","Portugal","Portugal"
"","Canada","","Canada"
"","Canada","","Canada"
"Brazil","Brazil","Brazil","Brazil"
"United Kingdom","Nigeria","United Kingdom","Nigeria"
"Japan","Canada","Japan","Canada"
"Ontario","Canada","Canada","Canada"
"Italy","Italy","Italy","Italy"
"Spain","Spain","Spain","Spain"
"Spain","Spain","Spain","Spain"
"Connecticut","United States","United States","United States"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Colorado","United States","United States","United States"
"Finland","Finland","Finland","Finland"
"Switzerland","Switzerland","Switzerland","Switzerland"
"Florida","United States","United States","United States"
"Quebec","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"","Canada","","Canada"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Ohio","United States","United States","United States"
"Michigan","United States","United States","United States"
"Ontario","Canada","Canada","Canada"
"Utah","United States","United States","United States"
"Maryland","United States","United States","United States"
"Australia","Australia","Australia","Australia"
"Oregon","United States","United States","United States"
"","Canada","","Canada"
"Germany","Germany","Germany","Germany"
"Austria","Austria","Austria","Austria"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Michigan","Netherlands","United States","Netherlands"
"Ontario","Canada","Canada","Canada"
"Oregon","Gabon","United States","Gabon"
"India","India","India","India"
"Netherlands","Netherlands","Netherlands","Netherlands"
"Florida","United States","United States","United States"
"California","United States","United States","United States"
"Quebec","Canada","Canada","Canada"
"Georgia","United States","United States","United States"
"Rhode Island","United States","United States","United States"
"California","United States","United States","United States"
"Kansas","United States","United States","United States"
"Quebec","Canada","Canada","Canada"
"Sweden","Sweden","Sweden","Sweden"
"Massachusetts","United States","United States","United States"
"Massachusetts","United States","United States","United States"
"Massachusetts","United States","United States","United States"
"Massachusetts","United States","United States","United States"
"Massachusetts","United States","United States","United States"
"Maine","United States","United States","United States"
"Ontario","Canada","Canada","Canada"
"Massachusetts","United States","United States","United States"
"Massachusetts","United States","United States","United States"
"Massachusetts","United States","United States","United States"
"Massachusetts","United States","United States","United States"
"Massachusetts","United States","United States","United States"
"Massachusetts","United States","United States","United States"
"Massachusetts","United States","United States","United States"
"Louisiana","United States","United States","United States"
"Florida","United States","United States","United States"
"Massachusetts","United States","United States","United States"
"Quebec","Canada","Canada","Canada"
"Massachusetts","United States","United States","United States"
