Use?,Location,nation,Country,gender,field_research,Country_work,PhD_Year,what_participant_group,id,class,percent_sum_current,percent_sum_previous,percent_applied_research_current,percent_applied_research_past,percent_fundamental_research_current,percent_fundamental_research_past,percent_use_inspired_research_current,percent_use_inspired_research_past,changed_10yrs,main_reason_change_interest_related,main_reason_change_career_related,main_reason_change_funding_related,main_reason_change_socially_related,main_reason_change_other,main_reason_replied,Main_reason_change_Other_text,view_change_of_type,partnership_outside_current,partnership_outside_before,partnership_change_10yrs,reason_partnership_change_interest,reason_partnership_change_career,reason_partnership_change_socially,reason_partnership_change_funding,reason_partnership_change_other,reason_partnership_change_other_text,view_change_partnership,external_pi_grant_11_15_applied,external_pi_grant_11_15_fundamental,external_pi_grant_11_15_use,external_pi_grant_6_10_applied,external_pi_grant_6_10_fundamental,external_pi_grant_6_10_use,successful_grants_11_15_fundamental,successful_grants_11_15_use,successful_grants_11_15_applied,successful_grants_6_10_fundamental,successful_grants_6_10_use,successful_grants_6_10_applied,practical_applications_important_11_15,practical_applications_important_6_10,include_nonacademia_partners_success_11_15,include_nonacademia_partners_success_6_10,distribution_funding_11_15_sum,distribution_funding_11_15_for_profit,distribution_funding_11_15_government,distribution_funding_11_15_internal,distribution_funding_11_15_nongov,distribution_funding_11_15_other,distribution_funding_6_10_sum,distribution_funding_6_10_for_profit,distribution_funding_6_10_government,distribution_funding_6_10_internal,distribution_funding_6_10_nongov,distribution_funding_6_10_other,distribution_funding_11_15_other_text,distribution_funding_6_10_other_text,success_change_10yrs_fundamental,success_change_10yrs_use,success_change_10yrs_applied,opinion_fundamental_important,high_priority_sum,high_priority_fundamental,high_priority_use_inspired,high_priority_applied,high_priority_no_change,high_priority_replied,available_funding_fundamental,available_funding_use_inspired,available_funding_applied,next_generation,high_priority_comments,next_generation_comments,final_comments,OCED_category
1,Israel,Israel,Israel,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,2004,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,228,developed,100,NA,0,NA,100,NA,0,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43715,0,0,43809,0,40,No need for applications for this research type,No need for applications for this research type,30,0,0,Can't comment,Can't comment,Can't comment,Can't comment,100,0,100,0,0,0,100,0,90,0,10,0,0,0,Stayed the same,Can't comment,Can't comment,Very important,1,NA,NA,1,NA,1,Will decrease slightly,Will increase slightly,Will increase slightly,Can't comment,0,0,0,High Income
1,Israel,Israel,Israel,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,2012,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,229,developed,100,NA,0,NA,80,NA,20,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43620,0,0,0,0,0,No need for applications for this research type,No need for applications for this research type,0,0,0,Somewhat important,Can't comment,Not at all important,Not at all important,100,0,0,100,0,0,0,NA,NA,NA,NA,NA,0,0,Decreased,Decreased,Stayed the same,Not at all important,1,NA,NA,1,NA,1,Will decrease considerably,Will decrease slightly,Will stay the same,Will increase considerably,0,0,0,High Income
1,Israel,Israel,Israel,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,1978,Senior academic researcher with >10 years of experience applying for research grants,230,developed,100,NA,10,NA,90,NA,0,NA,No,NA,NA,NA,NA,NA,0,0,0,Some partnership,Some partnership,Yes,1,NA,NA,1,NA,0,Slightly positive,43525,43715,0,0,43620,0,30,0,10,30,0,0,Somewhat important,Not at all important,Quite important,Not at all important,100,0,90,0,10,0,90,NA,NA,NA,NA,NA,0,0,Decreased,0,0,Very important,1,NA,NA,1,NA,1,Will decrease slightly,Will increase considerably,Will increase considerably,Will decrease slightly,0,0,0,High Income
1,Israel,Israel,Israel,Male,Medicine and Life Science,Israel,2010,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,231,developed,100,NA,10,NA,10,NA,80,NA,No,NA,NA,NA,NA,NA,0,0,0,Some partnership,0,No,NA,NA,NA,NA,NA,0,0,43525,0,13-15,43525,0,43715,0,50,0,0,50,0,Quite important,Quite important,Somewhat important,Somewhat important,100,0,40,20,40,0,0,NA,NA,NA,NA,NA,0,0,Stayed the same,Stayed the same,Stayed the same,Very important,1,NA,NA,NA,1,1,Will decrease slightly,Will increase slightly,Will stay the same,Will increase slightly,0,0,0,High Income
1,Israel,Israel,Israel,Male,Medicine and Life Science,Israel,1972,Senior academic researcher with >10 years of experience applying for research grants,232,developed,100,NA,0,NA,70,NA,30,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43715,43525,0,43715,43525,50,30,No need for applications for this research type,50,10,No need for applications for this research type,Quite important,Quite important,Not very important,Not very important,100,10,50,30,10,0,100,20,30,30,20,0,0,0,Stayed the same,Stayed the same,Stayed the same,Very important,1,NA,NA,1,NA,1,Will decrease slightly,Will decrease slightly,Will stay the same,Will decrease slightly,0,0,0,High Income
1,Israel,Israel,Israel,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,1978,Senior academic researcher with >10 years of experience applying for research grants,233,developed,100,NA,0,NA,80,NA,20,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,Some partnership,Yes,1,NA,NA,NA,NA,0,Neutral,0,16+,43525,0,13-15,43525,80,50,No need for applications for this research type,80,50,No need for applications for this research type,Very important,Very important,Not at all important,Not at all important,100,10,30,10,50,0,0,NA,NA,NA,NA,NA,0,0,Stayed the same,Stayed the same,Can't comment,Not very important,2,NA,1,1,NA,1,Will decrease slightly,Will stay the same,Can't comment,Will decrease slightly,0,0,0,High Income
1,Israel,Israel,Israel,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,0,Senior academic researcher with >10 years of experience applying for research grants,234,developed,100,NA,0,NA,100,NA,0,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43809,0,0,43809,0,50,0,0,50,0,0,Somewhat important,Somewhat important,Not at all important,Not at all important,100,0,70,30,0,0,100,0,70,30,0,0,0,0,Stayed the same,0,0,Somewhat important,2,1,1,NA,NA,1,Will stay the same,Will stay the same,Will stay the same,Will stay the same,0,0,0,High Income
1,Israel,Israel,Israel,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,2008,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,235,developed,100,NA,0,NA,80,NA,20,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43715,0,0,0,0,30,0,0,0,0,0,Somewhat important,0,Not at all important,0,100,0,50,10,40,0,0,NA,NA,NA,NA,NA,0,0,Decreased,Can't comment,Can't comment,Not very important,1,NA,NA,1,NA,1,Can't comment,Can't comment,Can't comment,Will stay the same,0,0,0,High Income
1,Israel,Israel,Israel,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,2006,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,236,developed,100,NA,0,NA,100,NA,0,NA,No,NA,NA,NA,NA,NA,0,0,0,Some partnership,0,Can't comment (new researcher),NA,NA,NA,NA,NA,0,0,0,43809,0,0,0,0,50,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,Somewhat important,Can't comment,Not very important,Can't comment,100,0,80,20,0,0,0,NA,NA,NA,NA,NA,0,0,Can't comment,Can't comment,Can't comment,Somewhat important,1,NA,NA,NA,1,1,Will decrease slightly,Can't comment,Will increase slightly,Will stay the same,0,0,0,High Income
1,Israel,Israel,Israel,Male,Medicine and Life Science,0,0,Senior academic researcher with >10 years of experience applying for research grants,237,developed,100,100,30,10,60,90,10,0,Yes,NA,NA,1,NA,NA,1,0,Slightly positive,Some partnership,0,No,NA,NA,NA,NA,NA,0,0,43715,43715,0,43525,13-15,0,30,No need for applications for this research type,50,60,0,20,Quite important,Somewhat important,Quite important,Not very important,100,10,70,20,0,0,0,NA,NA,NA,NA,NA,0,0,Decreased,Stayed the same,Increased,Very important,1,NA,NA,1,NA,1,Will stay the same,Will stay the same,Will stay the same,Will stay the same,0,0,0,High Income
1,0,Israel,0,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,1974,Senior academic researcher with >10 years of experience applying for research grants,238,developed,100,100,0,0,90,100,10,0,Yes,1,NA,NA,NA,NA,1,0,Very positive,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43620,0,0,43620,0,100,0,0,90,0,0,Somewhat important,Not at all important,Can't comment,Can't comment,100,0,60,20,10,10,100,0,80,10,10,0,EU,0,Can't comment,Can't comment,0,Somewhat important,2,1,1,NA,NA,1,Will increase slightly,Will increase slightly,Will increase slightly,Will increase slightly,0,0,0,High Income
1,Israel,Israel,Israel,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,2009,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,239,developed,100,NA,0,NA,100,NA,0,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43620,0,0,0,0,80,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,Somewhat important,Can't comment,Can't comment,Can't comment,100,0,80,20,0,0,0,NA,NA,NA,NA,NA,0,0,Can't comment,Can't comment,Can't comment,Very important,1,NA,NA,NA,1,1,Will stay the same,Will stay the same,Will stay the same,Will stay the same,0,0,0,High Income
1,Pennsylvania,Israel,United States,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,1972,Senior academic researcher with >10 years of experience applying for research grants,240,developed,100,NA,0,NA,100,NA,0,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43620,0,0,43620,0,70,0,0,90,0,0,Can't comment,Can't comment,Can't comment,Can't comment,100,0,100,0,0,0,100,0,100,0,0,0,0,0,Can't comment,0,0,Somewhat important,1,NA,NA,NA,1,1,Will stay the same,Will stay the same,Will stay the same,Can't comment,0,0,0,High Income
1,Israel,Israel,Israel,Male,Natural Science,Israel,1986,Senior academic researcher with >10 years of experience applying for research grants,241,developed,100,NA,0,NA,100,NA,0,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,16+,0,0,16+,0,40,0,0,50,0,0,Quite important,Somewhat important,Not very important,Not very important,100,0,50,40,10,0,100,0,50,40,10,0,0,0,Decreased,Increased considerably,Increased,Very important,1,NA,1,NA,NA,1,Will stay the same,Will increase slightly,Will stay the same,Will stay the same,0,0,0,High Income
1,Israel,Israel,Israel,Male,Interdisciplinary Science,Israel,2005,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,242,developed,100,100,20,20,30,20,50,60,Yes,1,NA,1,NA,NA,1,0,Slightly negative,Some partnership,Some partnership,Yes,1,NA,NA,1,NA,0,Slightly negative,43525,43525,43620,0,43620,43525,10,70,20,40,40,20,Mandatory,Quite important,Mandatory,Somewhat important,100,20,70,10,0,0,90,NA,NA,NA,NA,NA,0,0,Decreased considerably,Increased considerably,Increased considerably,Not very important,1,NA,NA,1,NA,1,Will decrease slightly,Will increase considerably,Will increase considerably,Will stay the same,0,0,0,High Income
1,Israel,Israel,Israel,Male,Medicine and Life Science,Israel,1995,Senior academic researcher with >10 years of experience applying for research grants,243,developed,100,NA,70,NA,10,NA,20,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,43525,43620,43525,43525,43525,43525,20,30,50,10,20,70,Very important,Very important,Quite important,Mandatory,100,0,60,30,10,0,100,0,90,10,0,0,0,0,Decreased considerably,Increased,Increased considerably,Not very important,1,NA,NA,1,NA,1,Will decrease considerably,Will increase slightly,Will increase slightly,Will decrease considerably,0,0,"The current trend of funding transnational research is detrimental to research quality. By own experience, I have grant applications for basic research that is ground-breaking that are not being funded, while pedestrian projects are being readily funded. We all try to manage, but in the long term, it means less of the former and more of the latter.   Thanks for addressing this critical issue!",High Income
1,Israel,Israel,Israel,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,1977,Senior academic researcher with >10 years of experience applying for research grants,244,developed,100,NA,0,NA,100,NA,0,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43525,0,0,43525,0,100,0,0,70,0,0,Somewhat important,Somewhat important,Not at all important,Not at all important,100,0,100,0,0,0,100,0,100,0,0,0,0,0,Stayed the same,Can't comment,Can't comment,Somewhat important,1,NA,NA,NA,1,1,Can't comment,Can't comment,Can't comment,Will decrease slightly,0,0,0,High Income
1,France,France,France,Female,"Physical Science (eg. math, physics, chemistry, computer science)",France,1981,Senior academic researcher with >10 years of experience applying for research grants,245,developed,100,NA,0,NA,90,NA,10,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43525,0,0,43620,0,0,No need for applications for this research type,No need for applications for this research type,50,No need for applications for this research type,No need for applications for this research type,Can't comment,Not at all important,Quite important,Somewhat important,100,0,50,50,0,0,0,NA,NA,NA,NA,NA,0,0,Decreased,Can't comment,Can't comment,Not very important,2,NA,1,1,NA,1,Can't comment,Can't comment,Can't comment,Can't comment,"The structure of funding has changed drastically around 2009 in my country. It is not so much connected with government/non government, but with the way the application for funding is done. Thus the questionnaire seems rather unadapted for my country.","Again, your questionnaire does not addres the relevant issues for my courntry just now (although they may become relevant of course in the future). Funding used to be addressed globally by permanent positions and labs, not externalized. They are more and more. ",Questionnaire not adapted to the functioning of research in my country.,High Income
1,Israel,Israel,Israel,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,1988,Senior academic researcher with >10 years of experience applying for research grants,246,developed,100,NA,0,NA,100,NA,0,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43620,0,0,43620,0,80,0,0,70,0,0,Quite important,Quite important,Not at all important,Not at all important,100,0,0,0,100,0,100,0,0,0,100,0,0,0,Stayed the same,Can't comment,Can't comment,Not very important,1,NA,NA,1,NA,1,Can't comment,Can't comment,Can't comment,Will stay the same,0,0,0,High Income
1,Israel,Israel,Israel,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,2009,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,247,developed,100,NA,10,NA,70,NA,20,NA,Can't comment (new researcher),NA,NA,NA,NA,NA,0,0,0,No partnership,0,Can't comment (new researcher),NA,NA,NA,NA,NA,0,0,0,43620,43525,0,0,0,50,100,0,0,0,0,Very important,Can't comment,Not at all important,Can't comment,100,0,40,50,10,0,0,NA,NA,NA,NA,NA,0,0,Can't comment,Can't comment,Can't comment,Somewhat important,1,NA,NA,NA,1,1,Will stay the same,Will increase considerably,Will increase considerably,Will decrease slightly,0,0,"In many cases where I meet a fellow researcher, and tell him/her about my research, I am asked ""What is it good for?"" or ""how do you sell your research to funding agencies?"" It is clear that these days, scientific curiosity, or just a cool effect that one wishes to study and understand is not enough. People, and even researchers practicing basic research, are looking for a reason / selling point to make their research important for the world. This is very frustrating, especially when excellent researchers are practically forced to sell their (excellent) science too hard. ",High Income
1,Israel,Israel,Israel,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,0,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,248,developed,100,NA,0,NA,80,NA,20,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,Can't comment (new researcher),NA,NA,NA,NA,NA,0,0,0,43620,0,0,0,0,30,0,0,0,0,0,Not at all important,0,Not at all important,0,100,0,80,0,20,0,0,NA,NA,NA,NA,NA,0,0,Can't comment,Can't comment,Can't comment,Somewhat important,1,NA,NA,NA,1,1,Can't comment,Can't comment,Can't comment,Will stay the same,0,0,0,High Income
1,United Kingdom,Australia,United Kingdom,Male,Social Science / Humanities,Australia,1993,Senior academic researcher with >10 years of experience applying for research grants,249,developed,100,100,10,0,90,100,0,0,Yes,1,NA,NA,NA,NA,1,0,Slightly positive,Some partnership,No partnership,Yes,1,NA,NA,NA,NA,0,Slightly positive,43525,43809,0,0,43809,0,60,0,100,40,0,0,Quite important,Quite important,Somewhat important,Somewhat important,100,0,70,20,10,0,100,0,70,30,0,0,0,0,Decreased,Can't comment,Decreased,Not very important,1,NA,NA,NA,1,1,Will decrease considerably,Can't comment,Will decrease slightly,Can't comment,0,0,0,High Income
1,Israel,Israel,Israel,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,1999,Senior academic researcher with >10 years of experience applying for research grants,250,developed,100,NA,0,NA,100,NA,0,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43525,43525,0,43525,0,100,100,No need for applications for this research type,100,No need for applications for this research type,No need for applications for this research type,Somewhat important,Not at all important,Not at all important,Not at all important,100,0,100,0,0,0,100,0,100,0,0,0,0,0,Decreased,Can't comment,Can't comment,Somewhat important,2,NA,1,1,NA,1,Will decrease slightly,Can't comment,Can't comment,Will decrease slightly,0,0,0,High Income
1,Israel,Israel,Israel,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,1992,Senior academic researcher with >10 years of experience applying for research grants,251,developed,100,NA,0,NA,100,NA,0,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43525,0,0,43525,0,100,0,0,100,0,0,Not at all important,Not at all important,Can't comment,Can't comment,100,0,100,0,0,0,100,0,100,0,0,0,0,0,Stayed the same,Can't comment,Can't comment,Very important,2,1,NA,1,NA,1,Can't comment,Can't comment,Can't comment,Will stay the same,0,0,0,High Income
1,Israel,Israel,Israel,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,1996,Senior academic researcher with >10 years of experience applying for research grants,252,developed,100,NA,0,NA,100,NA,0,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43620,0,0,43620,0,80,No need for applications for this research type,No need for applications for this research type,100,No need for applications for this research type,No need for applications for this research type,Somewhat important,Somewhat important,Can't comment,Can't comment,100,0,80,20,0,0,100,0,80,20,0,0,0,0,Stayed the same,Can't comment,Can't comment,Not very important,1,NA,NA,NA,1,1,Will decrease slightly,Can't comment,Can't comment,Will stay the same,0,0,0,High Income
1,Israel,Israel,Israel,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,2004,Senior academic researcher with >10 years of experience applying for research grants,253,developed,100,NA,0,NA,90,NA,10,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,43525,43620,0,0,43620,0,90,No need for applications for this research type,100,90,No need for applications for this research type,No need for applications for this research type,Not at all important,Not at all important,Not very important,Not very important,100,0,90,10,0,0,0,NA,NA,NA,NA,NA,0,0,Stayed the same,Can't comment,Can't comment,Very important,1,NA,NA,NA,1,1,Will stay the same,Will stay the same,0,0,0,0,0,High Income
1,California,United States,United States,Male,"Physical Science (eg. math, physics, chemistry, computer science)",United States,2002,Senior academic researcher with >10 years of experience applying for research grants,254,developed,100,NA,0,NA,100,NA,0,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43620,0,0,43525,0,0,0,0,20,No need for applications for this research type,No need for applications for this research type,Very important,Very important,Not very important,Not very important,100,0,100,0,0,0,0,NA,NA,NA,NA,NA,0,0,Decreased considerably,Increased,Increased considerably,Somewhat important,2,NA,1,1,NA,1,Will decrease slightly,Will increase slightly,Will increase considerably,Can't comment,0,0,0,High Income
1,0,Australia,0,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Australia,2015,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",255,developed,100,100,70,20,0,70,30,10,Yes,NA,NA,1,NA,NA,1,0,Very positive,Strong partnership,Some partnership,Yes,1,NA,NA,1,NA,0,Very positive,43525,0,43525,0,0,0,0,No need for applications for this research type,90,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,Mandatory,Can't comment,Mandatory,Can't comment,100,70,0,30,0,0,0,NA,NA,NA,NA,NA,0,0,Decreased,Increased,Increased considerably,Not very important,2,NA,1,1,NA,1,Will decrease slightly,Will stay the same,Will increase slightly,Will decrease slightly,0,0,0,High Income
1,Australia,Australia,Australia,Female,Social Science / Humanities,Australia,1992,Senior academic researcher with >10 years of experience applying for research grants,256,developed,100,NA,30,NA,50,NA,20,NA,No,NA,NA,NA,NA,NA,0,0,0,Some partnership,0,No,NA,NA,NA,NA,NA,0,0,43620,43525,0,43620,43620,0,20,20,0,30,30,10,Very important,Mandatory,Somewhat important,Quite important,100,0,50,50,0,0,100,0,70,30,0,0,0,0,Can't comment,Can't comment,Can't comment,Somewhat important,1,NA,NA,1,NA,1,Will decrease considerably,Will decrease slightly,Will stay the same,Will decrease considerably,0,0,0,High Income
1,Maryland,United States,United States,Male,Social Science / Humanities,United States,2002,Senior academic researcher with >10 years of experience applying for research grants,257,developed,100,100,20,10,0,20,80,70,Yes,1,1,1,1,NA,1,0,Very positive,Strong partnership,No partnership,Yes,1,1,1,1,NA,0,Very positive,0,43620,0,0,43715,0,20,40,80,10,30,0,Mandatory,Very important,Somewhat important,Somewhat important,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,Decreased considerably,Stayed the same,Stayed the same,Somewhat important,1,NA,NA,1,NA,1,Will stay the same,Will increase slightly,Will increase slightly,Will decrease slightly,0,0,0,High Income
1,Israel,Israel,Israel,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,1986,Senior academic researcher with >10 years of experience applying for research grants,258,developed,100,NA,0,NA,100,NA,0,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43620,0,0,43620,0,100,0,0,100,0,0,Not at all important,Not at all important,Not at all important,Not at all important,100,0,100,0,0,0,100,0,100,0,0,0,0,0,Stayed the same,Stayed the same,Stayed the same,Somewhat important,1,NA,NA,NA,1,1,Will stay the same,Will stay the same,Will stay the same,Will stay the same,0,0,0,High Income
1,Israel,Israel,Israel,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,2004,Senior academic researcher with >10 years of experience applying for research grants,259,developed,100,100,20,0,80,100,0,0,Yes,NA,NA,1,NA,NA,1,0,Slightly positive,Some partnership,Some partnership,Yes,1,NA,NA,1,NA,0,Slightly positive,0,43620,0,0,43525,0,70,0,0,70,0,0,Quite important,0,Somewhat important,0,100,0,100,0,0,0,100,0,100,0,0,0,0,0,Decreased,Stayed the same,Increased considerably,Somewhat important,1,NA,NA,1,NA,1,Will decrease slightly,Will stay the same,Will increase slightly,Will decrease slightly,0,0,0,High Income
1,Poland,Poland,Poland,Male,Engineering,Poland,0,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,260,developed,100,NA,80,NA,0,NA,20,NA,No,NA,NA,NA,NA,NA,0,0,0,Strong partnership,0,No,NA,NA,NA,NA,NA,0,0,43809,0,0,0,43525,0,0,0,20,0,0,No need for applications for this research type,Can't comment,Can't comment,Quite important,Quite important,100,50,30,20,0,0,100,50,30,20,0,0,0,0,Decreased,Decreased,Decreased,Not very important,2,NA,1,1,NA,1,Will stay the same,Will stay the same,Will stay the same,Will stay the same,0,0,0,High Income
1,Israel,Israel,Israel,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,1988,Senior academic researcher with >10 years of experience applying for research grants,261,developed,100,100,50,20,50,80,0,0,Yes,1,NA,1,NA,NA,1,0,Slightly positive,Some partnership,0,No,NA,NA,NA,NA,NA,0,0,43620,43715,0,43525,13-15,0,20,0,40,20,0,10,Very important,Very important,Not at all important,Not at all important,100,41.66666667,50,8.333333333,0,0,100,0,90,10,0,0,0,0,Decreased,0,Decreased,Somewhat important,1,NA,NA,1,NA,1,Will stay the same,0,Will increase considerably,Will decrease slightly,0,0,0,High Income
1,Israel,Israel,Israel,Male,Social Science / Humanities,Israel,1973,Senior academic researcher with >10 years of experience applying for research grants,262,developed,100,100,30,0,70,90,0,10,Yes,NA,NA,1,NA,NA,1,0,Slightly positive,Some partnership,No partnership,Yes,NA,NA,NA,1,NA,0,Slightly positive,43525,43525,0,0,43525,43525,100,0,100,0,100,0,Mandatory,Somewhat important,Quite important,Can't comment,100,0,90,10,0,0,100,0,100,0,0,0,0,0,Increased,Can't comment,Can't comment,Not very important,1,NA,NA,1,NA,1,Can't comment,Can't comment,Can't comment,Will increase considerably,0,0,0,High Income
1,Switzerland,Poland,Switzerland,Female,Natural Science,Poland,2003,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,263,developed,110,100,NA,0,NA,100,NA,0,Yes,1,NA,NA,1,NA,1,0,Neutral,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43525,43525,0,43525,0,50,0,0,0,0,0,Somewhat important,Not at all important,Mandatory,Can't comment,100,0,100,0,0,0,0,NA,NA,NA,NA,NA,0,0,Increased,Can't comment,Can't comment,Very important,3,1,1,1,NA,1,Can't comment,Will increase considerably,Will increase considerably,Can't comment,0,"(from a young scientist perspective) careers in research and academic positions depend on Hirsh index not on a partnership with industry and Applied research. If you are a senior researcher your perspective changes,  however still your PhD students and postdocs need publications record",0,High Income
1,Serbia,Serbia,Serbia,Female,Natural Science,Serbia,1997,Senior academic researcher with >10 years of experience applying for research grants,264,developing,100,100,5.555555556,NA,50,NA,44.44444444,NA,Yes,1,1,1,NA,NA,1,0,Neutral,Some partnership,No partnership,Yes,1,1,1,1,NA,0,Slightly positive,0,43525,43525,43525,43525,0,50,No need for applications for this research type,No need for applications for this research type,100,No need for applications for this research type,No need for applications for this research type,Quite important,Quite important,Not at all important,Not at all important,100,7.692307692,76.92307692,0,15.38461538,0,100,0,100,0,0,0,0,0,Decreased considerably,Stayed the same,Increased,Very important,1,NA,NA,1,NA,1,Will decrease considerably,Will stay the same,Will stay the same,Will decrease considerably,0,0,0,Higher Middle Income
1,Israel,Israel,Israel,Male,"Physical Science (eg. math, physics, chemistry, computer science)",Israel,0,Senior academic researcher with >10 years of experience applying for research grants,265,developed,100,100,60,80,10,0,30,20,Yes,1,NA,1,NA,NA,1,0,Very positive,Strong partnership,No partnership,Yes,NA,NA,1,1,NA,0,Slightly positive,43715,43525,43715,43620,43620,43715,0,40,80,0,30,90,Very important,Quite important,Quite important,Somewhat important,100,16.66666667,75,8.333333333,0,0,100,70,20,10,0,0,0,0,Decreased,Stayed the same,Increased,Very important,1,NA,NA,1,NA,1,Will decrease slightly,Will increase slightly,Will increase considerably,Will decrease slightly,0,0,0,High Income
1,France,France,France,Male,Social Science / Humanities,France,2000,Senior academic researcher with >10 years of experience applying for research grants,266,developed,100,NA,0,NA,100,NA,0,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,0,0,0,43525,0,No need for applications for this research type,0,0,20,0,0,Can't comment,Mandatory,Can't comment,Mandatory,100,0,0,100,0,0,100,0,10,90,0,0,0,0,Decreased considerably,Stayed the same,Increased considerably,Somewhat important,1,NA,NA,1,NA,1,Will decrease slightly,Will decrease slightly,Will increase slightly,Will decrease slightly,0,0,0,High Income
