"Country","Country_work","gender","Location","what_participant_group","field_research","type","percent"
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","0"
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_use","0"
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","50"
"Pakistan","","","Pakistan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","0"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","50"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_use","50"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","10"
"USA","","","Alabama","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","0"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","20"
"Greece","","","Greece","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_use","10"
"Canada","","","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","0"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","0"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","20"
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","successful_grants_11_15_use","0"
"Europe","","","Europe","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_11_15_use","0"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","70"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","0"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","70"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","20"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_use","40"
"New Zealand","","","New Zealand","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_11_15_use","20"
"New Zealand","","","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","10"
"USA","","","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","0"
"USA","","","Utah","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","30"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","70"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","40"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","10"
"Malta","","","Malta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_use","0"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","10"
"Indonesia","","","Indonesia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","10"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","100"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","0"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","30"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","20"
"Uruguay","","","Uruguay","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","successful_grants_11_15_use","70"
"India","","","India","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_use","0"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","50"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","30"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","0"
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","30"
"Canada","Bosnia and Herzegovina","Female","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science","successful_grants_11_15_applied","90"
"Canada","Brazil","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","successful_grants_11_15_applied","30"
"Canada","Canada","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","successful_grants_11_15_applied","60"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","30"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","30"
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","80"
"Sweden","","","Sweden","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","successful_grants_11_15_applied","20"
"Switzerland","","","Switzerland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_applied","0"
"Netherlands","","","Netherlands","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_11_15_applied","50"
"Cyprus","","","Cyprus","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","10"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_applied","0"
"Germany","","","Germany","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","100"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","0"
"Romania","","","Romania","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_applied","50"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_applied","0"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","30"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","40"
"Poland","","","Poland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_applied","40"
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","successful_grants_11_15_applied","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","10"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","90"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","50"
"Chile","","","Chile","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","40"
"Poland","","","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","60"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","90"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","100"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","0"
"Brazil","","","Brazil","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","100"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","70"
"Canada","Canada","Male","New Brunswick","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","successful_grants_11_15_applied","80"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","20"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","100"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","100"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","20"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","80"
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_applied","10"
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","0"
"China","","","China","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","successful_grants_11_15_applied","0"
"Russian Federation","","","Russian Federation","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","100"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","0"
"France","","","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","60"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","50"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","60"
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","70"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","40"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","100"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","100"
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","successful_grants_11_15_applied","40"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","0"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","0"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","0"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","60"
"Canada","Canada","Male","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Engineering","successful_grants_11_15_applied","100"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","100"
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","50"
"Romania","","","Romania","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","100"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","80"
"Canada","","","Ontario","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_11_15_applied","0"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","100"
"Israel","","","Israel","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_11_15_applied","0"
"Israel","","","Israel","","","successful_grants_11_15_applied","0"
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_applied","0"
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","40"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","0"
"Canada","","","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","70"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","100"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","50"
"Israel","","Male","Israel","","Interdisciplinary Science","successful_grants_11_15_applied","100"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","30"
"Canada","","","Nova Scotia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","100"
"Canada","","","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","20"
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","20"
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","50"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","100"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","100"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","40"
"USA","","","Utah","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","90"
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","50"
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_applied","0"
"Pakistan","","","Pakistan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","0"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","30"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","40"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_applied","50"
"USA","","","Alabama","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","0"
"Greece","","","Greece","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_applied","90"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","20"
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","successful_grants_11_15_applied","30"
"Europe","","","Europe","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_11_15_applied","100"
"USA","","","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","10"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","10"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","100"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","30"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","0"
"","","","","","","successful_grants_11_15_applied","30"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","70"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","20"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_applied","50"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","40"
"New Zealand","","","New Zealand","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_11_15_applied","60"
"New Zealand","","","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","50"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","30"
"USA","","","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","30"
"USA","","","Utah","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","30"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_applied","50"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","80"
"India","","","India","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_applied","100"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","40"
"Brazil","","","Brazil","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","30"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","80"
"Malta","","","Malta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_applied","0"
"Indonesia","","","Indonesia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","100"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","100"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","0"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","50"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","80"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_applied","0"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","60"
"Uruguay","","","Uruguay","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","successful_grants_11_15_applied","70"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","80"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","100"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_applied","70"
"Canada","Bosnia and Herzegovina","Female","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science","successful_grants_6_10_fundamental","40"
"Canada","Brazil","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","successful_grants_6_10_fundamental","0"
"Canada","Canada","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","successful_grants_6_10_fundamental","0"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","10"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","80"
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","80"
"Sweden","","","Sweden","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","successful_grants_6_10_fundamental","10"
"Switzerland","","","Switzerland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_fundamental","0"
"Netherlands","","","Netherlands","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_6_10_fundamental","30"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","70"
"Cyprus","","","Cyprus","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","10"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_fundamental","0"
"Germany","","","Germany","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","10"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","0"
"Romania","","","Romania","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_fundamental","0"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_fundamental","80"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","90"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","20"
"Poland","","","Poland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_fundamental","90"
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","successful_grants_6_10_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","0"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","0"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","100"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","30"
"USA","","","New York","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","90"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","100"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","30"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","70"
"Chile","","","Chile","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","70"
"Serbia","","","Serbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","50"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","100"
"Poland","","","Poland","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","60"
"Poland","","","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","0"
"USA","","","Florida","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","70"
"Spain","","","Spain","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","0"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","80"
"Spain","","","Spain","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","0"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","0"
"Brazil","","","Brazil","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","80"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","100"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","50"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","90"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","100"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","80"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","30"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","50"
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","40"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","50"
"China","","","China","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","successful_grants_6_10_fundamental","90"
"Russian Federation","","","Russian Federation","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","50"
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_fundamental","80"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","100"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","90"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","50"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","0"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","50"
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","successful_grants_6_10_fundamental","100"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","50"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","60"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","30"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","50"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","90"
"Canada","","","New Brunswick","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_6_10_fundamental","100"
"United Kingdom","","","United Kingdom","","","successful_grants_6_10_fundamental","70"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","60"
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","100"
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_fundamental","0"
"Canada","","","Ontario","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_6_10_fundamental","30"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","50"
"Israel","","","Israel","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_6_10_fundamental","0"
"Israel","","","Israel","","","successful_grants_6_10_fundamental","100"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_6_10_fundamental","50"
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_6_10_fundamental","0"
