"Country","Country_work","gender","Location","what_participant_group","field_research","year","level"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Very important"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Quite important"
"USA","","","Utah","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Can't comment"
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Somewhat important"
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Not at all important"
"Pakistan","","","Pakistan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Somewhat important"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Very important"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Quite important"
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Can't comment"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Somewhat important"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Can't comment"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","practical_applications_important_6_10","Somewhat important"
"Europe","","","Europe","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","practical_applications_important_6_10","Can't comment"
"USA","","","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Very important"
"USA","","","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Quite important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Somewhat important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Can't comment"
"Japan","","","Japan","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Can't comment"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Quite important"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Very important"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Very important"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"New Zealand","","","New Zealand","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","practical_applications_important_6_10","Very important"
"New Zealand","","","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Somewhat important"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Very important"
"USA","","","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Very important"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Quite important"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Can't comment"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Somewhat important"
"India","","","India","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Can't comment"
"Argentina","","","Argentina","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Mandatory"
"Malta","","","Malta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Mandatory"
"Uruguay","","","Uruguay","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","practical_applications_important_6_10","Not at all important"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Can't comment"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Can't comment"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Somewhat important"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Mandatory"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Quite important"
"Uruguay","","","Uruguay","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","practical_applications_important_6_10","Very important"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Can't comment"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Very important"
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Not at all important"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Can't comment"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Not at all important"
