"Location","Country","Country_work","gender","what_participant_group","field_research","total_research","type","percent"
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",0
"Ontario","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",140,"percent_Use_inspired_Research_current",7.14285714285714
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",70
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",0
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",0
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",50
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",40
"Alberta","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_current",20
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",0
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",10
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",50
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",0
"Alberta","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_current",60
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",0
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",30
"China","China","","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"percent_Use_inspired_Research_current",70
"Russian Federation","Russian Federation","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"Florida","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_current",50
"France","France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",20
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",0
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",40
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",40
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"Chile","Chile","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"New Brunswick","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_current",0
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",40
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",100,"percent_Use_inspired_Research_current",70
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",50,"percent_Use_inspired_Research_current",30
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",0
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",110,"percent_Use_inspired_Research_current",18.1818181818182
"Nova Scotia","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Use_inspired_Research_current",30
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",80
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",10
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",40
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",60
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",50
"Quebec","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"percent_Use_inspired_Research_current",40
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",0
"Israel","Israel","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Use_inspired_Research_current",0
"Israel","Israel","","","","",100,"percent_Use_inspired_Research_current",0
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",30
"Nova Scotia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",0
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"Alberta","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",50
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",40
"Newfoundland and Labrador","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",20
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",60
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",0
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",40
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",50
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",60
"Germany","Germany","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",20
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",0
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",0
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",30
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",50
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",170,"percent_Use_inspired_Research_current",29.4117647058824
"Switzerland","Switzerland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",110,"percent_Use_inspired_Research_current",9.09090909090909
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",10
"New York","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"Massachusetts","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",30
"New York","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"California","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",50
"British Columbia","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",40
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",60
"Utah","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",50
"Delaware","Delaware","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_current",20
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",0
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",60
"India","India","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",190,"percent_Use_inspired_Research_current",26.3157894736842
"Newfoundland and Labrador","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",80
"British Columbia","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_current",0
"","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",100,"percent_Use_inspired_Research_current",0
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",90,"percent_Use_inspired_Research_current",50
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"Ontario","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Use_inspired_Research_current",60
"Pakistan","Pakistan","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",130,"percent_Use_inspired_Research_current",46.1538461538462
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",40
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_current",20
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",40
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_current",0
"Alabama","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",10
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_current",60
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",30
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",30
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",0
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",20
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"percent_Use_inspired_Research_current",40
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",30
"Belgium","Belgium","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",30
"India","India","","","Senior academic researcher with >10 years of experience applying for research grants","",130,"percent_Use_inspired_Research_current",38.4615384615385
"Europe","Europe","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Use_inspired_Research_current",10
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",70
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",30
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",50
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",60
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",40
"Australia","Australia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_current",90
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",60
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",30
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",40
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",10
"New Zealand","New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",0
"New Zealand","New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",60
"New Zealand","New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",60
"New Zealand","New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",30
"New Zealand","New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",10
"Georgia","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",20
"Minnesota","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",10
"Idaho","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",0
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",0
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",30
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",30
"Malta","Malta","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",20
"Uruguay","Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",180,"percent_Use_inspired_Research_current",44.4444444444444
"Uruguay","Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","",140,"percent_Use_inspired_Research_current",14.2857142857143
"Italy","Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",80,"percent_Use_inspired_Research_current",50
"Malta","Malta","","","Senior academic researcher with >10 years of experience applying for research grants","",110,"percent_Use_inspired_Research_current",54.5454545454545
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"Uruguay","Uruguay","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_current",10
"Indonesia","Indonesia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",20
"India","India","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"India","India","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",0
"Uruguay","Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",40
"Uruguay","Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",90,"percent_Use_inspired_Research_current",20
"Uruguay","Uruguay","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",140,"percent_Use_inspired_Research_current",50
"Uruguay","Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",0
"Uruguay","Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",0
"New Zealand","New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",0
"Malta","Malta","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",0
"Malta","Malta","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",80
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",20
"Malta","Malta","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",40
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",10
"India","India","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",40
"British Columbia","Canada","Bosnia and Herzegovina","Female","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science",180,"percent_Applied_Research_current",38.8888888888889
"British Columbia","Canada","Brazil","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",110,"percent_Applied_Research_current",63.6363636363636
"British Columbia","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",110,"percent_Applied_Research_current",9.09090909090909
"British Columbia","Canada","","","","",120,"percent_Applied_Research_current",8.33333333333333
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",40
"India","India","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",60
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",10
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",20
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",0
"Austria","Austria","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",120,"percent_Applied_Research_current",25
"Switzerland","Switzerland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Applied_Research_current",50
"Netherlands","Netherlands","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Applied_Research_current",80
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",10
"Italy","Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Applied_Research_current",20
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",0
"Cyprus","Cyprus","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",0
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",180,"percent_Applied_Research_current",27.7777777777778
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Applied_Research_current",0
"Italy","Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Applied_Research_current",0
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",40
"Germany","Germany","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",10
"Belgium","Belgium","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Applied_Research_current",0
"Romania","Romania","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Applied_Research_current",40
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Applied_Research_current",0
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",50,"percent_Applied_Research_current",40
"Poland","Poland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Applied_Research_current",20
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",30
"Massachusetts","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Applied_Research_current",20
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",20
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",10
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",0
"New York","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",10
"Nova Scotia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",20
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",20
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",0
"Poland","Poland","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",70
"Chile","Chile","","","Senior academic researcher with >10 years of experience applying for research grants","",160,"percent_Applied_Research_current",12.5
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",20
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",40
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",20
"Poland","Poland","","","Senior academic researcher with >10 years of experience applying for research grants","",200,"percent_Applied_Research_current",25
"Poland","Poland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",120,"percent_Applied_Research_current",16.6666666666667
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",40
"Spain","Spain","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",0
"Spain","Spain","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",0
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",10
"Brazil","Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",30
"Brazil","Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",0
"Brazil","Brazil","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",110,"percent_Applied_Research_current",9.09090909090909
"Brazil","Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Applied_Research_current",10
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",0
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",10
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",0
"Washington","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",40
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",50
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",30
"Ontario","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",140,"percent_Applied_Research_current",57.1428571428571
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",0
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",30
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",70
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",0
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",0
"Alberta","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Applied_Research_current",60
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",40
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",20
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",20
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",50
"Alberta","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Applied_Research_current",10
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",10
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",80
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",0
"China","China","","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"percent_Applied_Research_current",0
"Russian Federation","Russian Federation","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",70
"Florida","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Applied_Research_current",0
"France","France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",40
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",10
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",30
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",40
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",40
"Chile","Chile","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",0
"New Brunswick","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Applied_Research_current",0
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",30
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",100,"percent_Applied_Research_current",30
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",50,"percent_Applied_Research_current",30
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",80
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",110,"percent_Applied_Research_current",18.1818181818182
"Nova Scotia","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Applied_Research_current",20
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",0
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Applied_Research_current",10
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Applied_Research_current",30
