"Country","Country_work","gender","what_participant_group","field_research","Location","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other"
"Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Brazil",NA,NA,NA,NA,NA
"Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Brazil",NA,1,NA,1,NA
"Brazil","","","","","Brazil",NA,NA,NA,NA,NA
"Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","","Brazil",NA,NA,NA,NA,NA
"Brazil","","","","","Brazil",NA,NA,NA,NA,NA
"Brazil","","","","","Brazil",NA,NA,NA,NA,NA
"Montenegro","","","","","Montenegro",NA,NA,NA,NA,NA
"Serbia","","","","","Serbia",NA,NA,NA,NA,NA
"Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","","Uruguay",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Belgium","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Belgium",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"Canada","Canada","Male","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","New Brunswick",NA,NA,NA,NA,NA
"Canada","","","","","Alberta",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,1,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,1,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec",NA,NA,NA,NA,NA
"Canada","","","","","Quebec",NA,NA,NA,NA,NA
"","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,1,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Newfoundland and Labrador",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec",NA,NA,NA,NA,NA
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Washington",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"","","","","","",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,1,NA,1,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,1,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Newfoundland and Labrador",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Ontario",NA,NA,NA,1,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,1,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta",NA,NA,NA,1,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,1,NA
"Canada","","","","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",1,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Nova Scotia",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,1,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Alberta",NA,1,NA,1,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"","","","","","",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta",1,NA,NA,NA,NA
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,1,NA
"Canada","","","","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,1,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",1,NA,NA,1,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Alberta",NA,NA,NA,NA,NA
"Canada","","","","","Quebec",NA,NA,NA,NA,NA
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Michigan",NA,NA,NA,NA,NA
"","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Alberta",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,1,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta",NA,NA,NA,NA,NA
"Chile","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Chile",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,1,NA
"","","","","","",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia",NA,NA,NA,NA,NA
"","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,1,NA
"Canada","","","","","Manitoba",NA,NA,NA,NA,NA
"","","","","","",NA,NA,NA,NA,NA
"Missouri","","","Senior academic researcher with >10 years of experience applying for research grants","","Missouri",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","British Columbia",NA,NA,NA,NA,NA
"China","","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","China",NA,NA,1,1,NA
"","","","","","",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Canada","","","","","British Columbia",NA,NA,NA,NA,NA
"Russian Federation","","","Senior academic researcher with >10 years of experience applying for research grants","","Russian Federation",NA,NA,NA,1,NA
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Ontario",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Hawaii",NA,NA,NA,NA,NA
"USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Florida",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Alberta",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Lebanon","","","Senior academic researcher with >10 years of experience applying for research grants","","Lebanon",NA,NA,NA,NA,NA
"France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","France",NA,NA,NA,1,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"","","","","","",NA,NA,NA,NA,NA
"","","","","","",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,1,1,1,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta",NA,1,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","New Brunswick",NA,NA,NA,NA,NA
"Chile","","","Senior academic researcher with >10 years of experience applying for research grants","","Chile",NA,NA,NA,NA,NA
"Canada","","","","","New Brunswick",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",1,NA,NA,1,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Alberta",NA,NA,NA,NA,NA
"Canada","","","","","Alberta",NA,NA,NA,NA,NA
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","New Brunswick",1,NA,NA,NA,NA
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,1,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Ontario",1,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,1,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Prince Edward Island",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec",1,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,1,NA,NA,NA
"Canada","","","","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec",1,NA,NA,1,NA
"Canada","","","","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Nova Scotia",NA,NA,NA,NA,NA
"Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Italy",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","","","","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"Canada","","","","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec",NA,NA,NA,NA,NA
"Canada","","","","","New Brunswick",NA,NA,NA,NA,NA
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec",NA,NA,NA,NA,NA
"","","","Senior academic researcher with >10 years of experience applying for research grants","","",1,NA,1,1,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,1,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec",NA,NA,NA,1,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec",NA,NA,NA,1,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"Canada","","","","","Quebec",NA,NA,NA,NA,NA
"","","","","","",NA,NA,NA,NA,NA
"France","","","","","France",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","New Brunswick",NA,NA,NA,NA,NA
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Quebec",NA,NA,NA,1,NA
"Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Brazil",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,1,NA
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","New Brunswick",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia",NA,NA,NA,NA,NA
"Romania","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Romania",NA,NA,NA,NA,NA
"","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"United Kingdom","","","","","United Kingdom",NA,NA,NA,1,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,1,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","New Brunswick",NA,NA,NA,NA,NA
"","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Switzerland","","","","","Switzerland",NA,NA,NA,NA,NA
"Canada","","","","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Ontario",NA,NA,NA,NA,NA
"Brazil","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Brazil",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"Canada","","","","","Quebec",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","New Brunswick",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Israel","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Israel",NA,1,NA,1,NA
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Finland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Finland",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,1
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Nova Scotia",NA,NA,NA,1,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Alberta",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta",1,1,NA,1,NA
"","","","","","",NA,NA,NA,NA,NA
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Alberta",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Alberta",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Manitoba",NA,NA,NA,NA,NA
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Quebec",NA,NA,NA,NA,NA
"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","New Brunswick",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"Canada","","","","","Saskatchewan",NA,NA,NA,NA,NA
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","North Carolina",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Alberta",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Newfoundland and Labrador",NA,NA,1,1,NA
"Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Ontario",NA,NA,NA,NA,NA
"Canada","","","","","Alberta",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Manitoba",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Saskatchewan",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"South Africa","","","Senior academic researcher with >10 years of experience applying for research grants","","South Africa",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",1,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,1,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,1,1
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Saskatchewan",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"","","","","","",NA,NA,NA,NA,NA
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France",1,NA,NA,NA,NA
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Alberta",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Saskatchewan",NA,NA,NA,NA,NA
"Canada","","","","","Manitoba",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta",NA,NA,NA,NA,NA
"Israel","","Male","","Interdisciplinary Science","Israel",NA,1,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Nova Scotia",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Alberta",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","New Brunswick",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"","","","","","",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,1,NA
"Canada","","","","","Quebec",NA,NA,NA,NA,NA
