"Location","Country","Country_work","gender","what_participant_group","field_research","changed_10yrs","Main_reason_change_interest_related","Main_reason_change_Career_related","Main_reason_change_Funding_related","Main_reason_change_Socially_related","Main_reason_change_Other"
"Brazil","Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Brazil","Brazil","","","","","",NA,NA,NA,NA,NA
"Nova Scotia","Canada","","","","","",NA,NA,NA,NA,NA
"Brazil","Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Brazil","Brazil","","","","","",NA,NA,NA,NA,NA
"Brazil","Brazil","","","","","",NA,NA,NA,NA,NA
"Brazil","Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,1,NA
"Brazil","Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,NA,NA,NA
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"Mexico","Mexico","","","","","",NA,NA,NA,NA,NA
"Brazil","Brazil","","","","","",NA,NA,NA,NA,NA
"Brazil","Brazil","","","","","",NA,NA,NA,NA,NA
"Brazil","Brazil","","","","","",NA,NA,NA,NA,NA
"Brazil","Brazil","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,NA,1,1,NA
"Brazil","Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Brazil","Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Yes",1,1,1,NA,NA
"Brazil","Brazil","","","","","",NA,NA,NA,NA,NA
"Brazil","Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Brazil","Brazil","","","","","",NA,NA,NA,NA,NA
"Brazil","Brazil","","","","","",NA,NA,NA,NA,NA
"Montenegro","Montenegro","","","","","",NA,NA,NA,NA,NA
"Serbia","Serbia","","","","","",NA,NA,NA,NA,NA
"Uruguay","Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Belgium","Belgium","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,NA,1,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"New Brunswick","Canada","Canada","Male","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Alberta","Canada","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Quebec","Canada","","","","","",NA,NA,NA,NA,NA
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"Newfoundland and Labrador","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,NA,NA
"Washington","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"","","","","","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,1,1,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Newfoundland and Labrador","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Yes",NA,NA,1,NA,NA
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,NA,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,NA,1,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,NA,1,NA,NA
"Quebec","Canada","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,1,NA
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"Nova Scotia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Alberta","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Yes",1,1,1,NA,NA
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,1,NA,NA
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",1,1,1,NA,NA
"Quebec","Canada","","","","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,1,1,1,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,1,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Alberta","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Yes",1,NA,NA,NA,NA
"Quebec","Canada","","","","","",NA,NA,NA,NA,NA
"Michigan","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Alberta","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Chile","Chile","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,1,NA,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"Manitoba","Canada","","","","","",NA,NA,NA,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"Missouri","Missouri","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"China","China","","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Yes",1,NA,1,1,NA
"","","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","","","",NA,NA,NA,NA,NA
"Russian Federation","Russian Federation","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"British Columbia","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Hawaii","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Florida","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Yes",1,1,1,NA,NA
"Alberta","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Lebanon","Lebanon","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"France","France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,NA,1,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,1,1,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,1,NA,NA,NA
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,1,NA,NA,NA
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Chile","Chile","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,1,NA
"New Brunswick","Canada","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"Quebec","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Ontario","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Alberta","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Alberta","Canada","","","","","",NA,NA,NA,NA,NA
"New Brunswick","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Yes",1,NA,NA,NA,NA
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Ontario","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Yes",NA,NA,1,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Prince Edward Island","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",1,NA,NA,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Quebec","Canada","","","","","",NA,NA,NA,NA,NA
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,1,NA,NA
"British Columbia","Canada","","","","","",NA,NA,NA,NA,NA
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Nova Scotia","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Yes",1,NA,1,NA,NA
"Italy","Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,NA,NA
"Quebec","Canada","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,NA,1,NA,NA
"Quebec","Canada","","","","","",NA,NA,NA,NA,NA
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","Yes",NA,NA,NA,NA,NA
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"New Brunswick","Canada","","","","","",NA,NA,NA,NA,NA
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",1,NA,1,NA,NA
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,NA,1
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,1,NA
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,1,1,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Quebec","Canada","","","","","",NA,NA,NA,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"France","France","","","","","",NA,NA,NA,NA,NA
"New Brunswick","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Quebec","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Yes",1,NA,NA,NA,NA
"Brazil","Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Romania","Romania","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,1,NA
"United Kingdom","United Kingdom","","","","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Switzerland","Switzerland","","","","","",NA,NA,NA,NA,NA
"Quebec","Canada","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","No",NA,NA,NA,NA,NA
"Brazil","Brazil","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Quebec","Canada","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"New Brunswick","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Yes",1,1,NA,NA,NA
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Finland","Finland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","","","Yes",NA,NA,NA,NA,1
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,1,1,1,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"Nova Scotia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Alberta","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,1,1,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"Alberta","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Alberta","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,1,NA,NA,NA
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Manitoba","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Quebec","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"New Brunswick","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","No",NA,NA,NA,NA,NA
"British Columbia","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,1,NA,NA
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"Saskatchewan","Canada","","","","","Yes",NA,NA,NA,NA,NA
"North Carolina","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Alberta","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"Newfoundland and Labrador","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,1,1,NA,NA
"Ontario","Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Alberta","Canada","","","","","",NA,NA,NA,NA,NA
"Manitoba","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
