"Country","Country_work","gender","Location","what_participant_group","field_research","practical_applications_important_11_15","practical_applications_important_6_10"
"Russian Federation","","","Russian Federation","Senior academic researcher with >10 years of experience applying for research grants","","Mandatory","Very important"
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Somewhat important","Not at all important"
"Canada","","","Ontario","","","",""
"Canada","","","Ontario","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Canada","","","Ontario","","","",""
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Hawaii","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"USA","","","Florida","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Somewhat important","Not at all important"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quite important",""
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Lebanon","","","Lebanon","Senior academic researcher with >10 years of experience applying for research grants","","",""
"France","","","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","Somewhat important","Not at all important"
"Canada","","","Ontario","","","",""
"","","","","","","",""
"","","","","","","",""
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very important","Very important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","Mandatory","Mandatory"
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Chile","","","Chile","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","New Brunswick","","","",""
"Canada","","","Ontario","","","",""
"Canada","","","Quebec","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Canada","","","Ontario","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"Canada","","","Ontario","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Somewhat important","Can't comment"
"Canada","","","Alberta","","","",""
"Canada","","","New Brunswick","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Somewhat important","Quite important"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","Mandatory","Quite important"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Mandatory","Very important"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Prince Edward Island","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very important","Very important"
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","Mandatory","Mandatory"
"Canada","","","Quebec","","","",""
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","British Columbia","","","",""
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Nova Scotia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quite important","Somewhat important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Quebec","","","",""
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Quebec","","","",""
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","","","",""
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","New Brunswick","","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","Very important",""
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","Mandatory","Very important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Somewhat important","Somewhat important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","Somewhat important","Somewhat important"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Quebec","","","",""
"","","","","","","",""
"France","","","France","","","",""
"Canada","","","New Brunswick","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment","Not at all important"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","Canada","Male","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Mandatory","Quite important"
"Brazil","","","Brazil","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Somewhat important"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Romania","","","Romania","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quite important","Quite important"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",""
"United Kingdom","","","United Kingdom","","","Mandatory","Mandatory"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","",""
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Switzerland","","","Switzerland","","","",""
"Canada","","","Quebec","","","",""
"Canada","","","Ontario","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"Brazil","","","Brazil","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Quebec","","","",""
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","New Brunswick","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quite important",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","Somewhat important","Somewhat important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Israel","","","Israel","","","",""
"Israel","","","Israel","","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Israel","","","Israel","","","",""
"Israel","","","Israel","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Finland","","","Finland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Israel","","","Israel","","","",""
"Israel","","","Israel","","","Not at all important","Quite important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","Quite important","Not at all important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","","","",""
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Canada","","","Ontario","","","",""
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Somewhat important"
"","","","","","","",""
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Very important",""
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment","Can't comment"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Manitoba","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Quebec","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Canada","Canada","Male","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Can't comment","Not at all important"
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","","","",""
"Canada","","","Saskatchewan","","","",""
"USA","","","North Carolina","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment","Can't comment"
"Canada","","","Ontario","","","",""
"Canada","","","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very important","Somewhat important"
"Canada","","","Ontario","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"Canada","","","Alberta","","","",""
"Canada","","","Manitoba","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","","","",""
"Canada","","","Ontario","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Saskatchewan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","","","",""
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"South Africa","","","South Africa","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Mandatory","Can't comment"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","Mandatory","Mandatory"
"Canada","","","Ontario","","","",""
"Canada","","","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","","","",""
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","","","",""
"","","","","","","",""
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Very important","Somewhat important"
"Canada","","","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Manitoba","","","",""
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","Male","Israel","","Interdisciplinary Science","Quite important","Mandatory"
"Canada","","","Ontario","","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Nova Scotia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","","","",""
"","","","","","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","Quite important","Quite important"
"Canada","","","Quebec","","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","","Mandatory","Mandatory"
"Israel","","","Israel","","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Germany","","","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very important","Mandatory"
"Israel","","","Israel","","","",""
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Very important"
"Israel","","","Israel","","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Not at all important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Ireland","","","Ireland","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","Quite important","Quite important"
"Canada","","","Ontario","","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"France","","","France","","","",""
"Switzerland","","","Switzerland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Somewhat important","Not at all important"
"France","","","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Pennsylvania","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"USA","","","Indiana","","","",""
"France","","","France","","","",""
"USA","","","Louisiana","","","",""
"USA","","","Iowa","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Pennsylvania","","","",""
"","","","","","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","New York","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Czech Republic","","","Czech Republic","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Minnesota","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Somewhat important","Somewhat important"
"Canada","","","Manitoba","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Arizona","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","British Columbia","","","",""
"USA","","","Massachusetts","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Singapore","","","Singapore","","","",""
"USA","","","California","","","",""
"USA","","","New York","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","","","",""
"USA","","","Colorado","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","California","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"USA","","","Oregon","","","",""
"Canada","","","British Columbia","","","",""
"USA","","","Virginia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"USA","","","California","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","British Columbia","","","",""
"Canada","","","Newfoundland and Labrador","Senior academic researcher with >10 years of experience applying for research grants","","",""
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Japan","","","Japan","Senior academic researcher with >10 years of experience applying for research grants","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Illinois","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Uruguay","","","Uruguay","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment","Can't comment"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Ireland","","","Ireland","Senior academic researcher with >10 years of experience applying for research grants","","",""
"China","","","China","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Alabama","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Very important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Very important"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","",""
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","Somewhat important","Quite important"
"USA","","","Utah","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Somewhat important"
"Canada","","","Newfoundland and Labrador","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Delaware","","","Delaware","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Canada","","","Ontario","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Mandatory","Can't comment"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","","","",""
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Malaysia","","","Malaysia","","","",""
"Australia","","","Australia","","","",""
"Canada","","","British Columbia","","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Nova Scotia","","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Israel","","","Israel","","","",""
"Canada","","","Newfoundland and Labrador","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","California","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Canada","","","Quebec","","","",""
"USA","","","Michigan","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Benin","","","Benin","","","",""
"","","","","","","",""
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Very important","Somewhat important"
"","","","","","","",""
"","","","","","","",""
"","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"","","","","","","",""
"USA","","","Arizona","","","",""
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","Not at all important","Not at all important"
"Israel","","","Israel","","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"USA","","","Florida","","","",""
"Canada","","","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Malaysia","","","Malaysia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Saskatchewan","","","",""
"Brazil","","","Brazil","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"","","","","","","",""
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","District of Columbia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"Canada","","","Ontario","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"Delaware","","","Delaware","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"USA","","","Hawaii","","","",""
"Canada","","","Quebec","","","",""
"Canada","","","Quebec","","","",""
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Pakistan","","","Pakistan","","","",""
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Pakistan","","","Pakistan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Somewhat important","Somewhat important"
"Israel","","","Israel","","","",""
"Canada","","","British Columbia","","","",""
"USA","","","Colorado","","","",""
"USA","","","Hawaii","","","",""
"Canada","","","Quebec","","","",""
"Bangladesh","","","Bangladesh","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"Egypt","","","Egypt","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Netherlands","","","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","","","",""
"USA","","","Utah","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Very important"
"USA","","","Florida","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"USA","","","California","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","",""
"United Kingdom","","","United Kingdom","","","",""
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Denmark","","","Denmark","","","",""
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","","Quite important"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","Somewhat important",""
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very important","Can't comment"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","",""
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"United Kingdom","","","United Kingdom","","","",""
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Somewhat important","Somewhat important"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",""
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Singapore","","","Singapore","","","",""
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","",""
"United Kingdom","","","United Kingdom","","","",""
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"United Kingdom","","","United Kingdom","","","",""
"Italy","","","Italy","","","",""
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"France","","","France","","","",""
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"USA","","","Alabama","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Greece","","","Greece","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","California","Senior academic researcher with >10 years of experience applying for research grants","","",""
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","",""
