"Location","Country","Country_work","gender","what_participant_group","field_research","view_change_of_type"
"Hawaii","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Florida","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Slightly positive"
"Alberta","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Lebanon","Lebanon","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"France","France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very negative"
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"Ontario","Canada","","","","",""
"","","","","","",""
"","","","","","",""
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly negative"
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Chile","Chile","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"New Brunswick","Canada","","","","",""
"Ontario","Canada","","","","",""
"Quebec","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Ontario","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",""
"Ontario","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Alberta","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Alberta","Canada","","","","",""
"New Brunswick","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Neutral"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Very negative"
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Very positive"
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Prince Edward Island","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Neutral"
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Quebec","Canada","","","","",""
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Very negative"
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly negative"
"British Columbia","Canada","","","","",""
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Nova Scotia","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Neutral"
"Italy","Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Quebec","Canada","","","","",""
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Slightly negative"
"Quebec","Canada","","","","",""
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","","",""
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"New Brunswick","Canada","","","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Slightly negative"
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Neutral"
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly negative"
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly negative"
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Quebec","Canada","","","","",""
"","","","","","",""
"France","France","","","","",""
"New Brunswick","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Quebec","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Very positive"
"Brazil","Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Romania","Romania","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","Neutral"
"United Kingdom","United Kingdom","","","","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Switzerland","Switzerland","","","","",""
"Quebec","Canada","","","","",""
"Ontario","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",""
"Brazil","Brazil","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Quebec","Canada","","","","",""
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"New Brunswick","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Slightly negative"
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Finland","Finland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","","","Very positive"
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"Nova Scotia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"Israel","Israel","","","","",""
"Alberta","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Ontario","Canada","","","","",""
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Neutral"
"","","","","","",""
"Alberta","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Alberta","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Slightly positive"
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Manitoba","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Quebec","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"New Brunswick","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",""
"British Columbia","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","","",""
"Saskatchewan","Canada","","","","",""
"North Carolina","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Alberta","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","","",""
"Newfoundland and Labrador","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Slightly negative"
"Ontario","Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",""
"Alberta","Canada","","","","",""
"Manitoba","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","","",""
"Ontario","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Saskatchewan","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","","",""
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"South Africa","South Africa","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","","",""
"Saskatchewan","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","","",""
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","","",""
"","","","","","",""
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Alberta","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Saskatchewan","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Manitoba","Canada","","","","",""
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","Male","","Interdisciplinary Science",""
"Ontario","Canada","","","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly negative"
"Nova Scotia","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Alberta","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","","",""
"","","","","","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Neutral"
"Quebec","Canada","","","","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"Saskatchewan","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Neutral"
"Germany","Germany","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very positive"
"Israel","Israel","","","","",""
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"Israel","Israel","","","","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"Ireland","Ireland","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Nova Scotia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"Ontario","Canada","","","","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"France","France","","","","",""
"Switzerland","Switzerland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very positive"
"France","France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Pennsylvania","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Indiana","USA","","","","",""
"France","France","","","","",""
"Louisiana","USA","","","","",""
"Iowa","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Pennsylvania","USA","","","","",""
"","","","","","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly negative"
"New York","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"Czech Republic","Czech Republic","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Minnesota","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Manitoba","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Arizona","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"British Columbia","Canada","","","","",""
"Massachusetts","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Neutral"
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Singapore","Singapore","","","","",""
"California","USA","","","","",""
"New York","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"Ontario","Canada","","","","",""
"Colorado","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"California","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Oregon","USA","","","","",""
"British Columbia","Canada","","","","",""
"Virginia","USA","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",""
"California","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"British Columbia","Canada","","","","",""
"Newfoundland and Labrador","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Japan","Japan","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"California","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Illinois","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Uruguay","Uruguay","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"British Columbia","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very positive"
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Ireland","Ireland","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"China","China","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Alabama","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Neutral"
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Utah","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"Newfoundland and Labrador","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Alberta","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Delaware","Delaware","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Slightly negative"
"Ontario","Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",""
"British Columbia","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very positive"
"Ontario","Canada","","","","",""
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Malaysia","Malaysia","","","","",""
"Australia","Australia","","","","",""
"British Columbia","Canada","","","","",""
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Neutral"
"Nova Scotia","Canada","","","","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"India","India","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Slightly positive"
"Israel","Israel","","","","",""
"Newfoundland and Labrador","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"California","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Quebec","Canada","","","","",""
"Michigan","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Benin","Benin","","","","",""
"","","","","","",""
"British Columbia","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Slightly positive"
"","","","","","",""
"","","","","","",""
"","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Very positive"
"","","","","","",""
"Arizona","USA","","","","",""
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Very negative"
"Israel","Israel","","","","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Neutral"
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Florida","USA","","","","",""
"Newfoundland and Labrador","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Malaysia","Malaysia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Saskatchewan","Canada","","","","",""
"Brazil","Brazil","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"","","","","","",""
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"District of Columbia","USA","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",""
"Ontario","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Slightly negative"
"Delaware","Delaware","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Hawaii","USA","","","","",""
"Quebec","Canada","","","","",""
"Quebec","Canada","","","","",""
"British Columbia","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Pakistan","Pakistan","","","","",""
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Pakistan","Pakistan","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very positive"
"Israel","Israel","","","","",""
"British Columbia","Canada","","","","",""
"Colorado","USA","","","","",""
"Hawaii","USA","","","","",""
"Quebec","Canada","","","","",""
"Bangladesh","Bangladesh","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",""
"Egypt","Egypt","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Netherlands","Netherlands","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","","",""
"Utah","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Florida","USA","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",""
"California","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"United Kingdom","United Kingdom","","","","",""
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Denmark","Denmark","","","","",""
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very positive"
"United Kingdom","United Kingdom","","","","",""
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Slightly positive"
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Slightly positive"
"Singapore","Singapore","","","","",""
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"United Kingdom","United Kingdom","","","","",""
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"United Kingdom","United Kingdom","","","","",""
"Italy","Italy","","","","",""
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Slightly positive"
"France","France","","","","",""
"California","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Alabama","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very negative"
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Greece","Greece","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"California","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"United Kingdom","United Kingdom","","","","",""
"Australia","Australia","","","","",""
"Massachusetts","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Slightly positive"
"United Kingdom","United Kingdom","","","","",""
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Neutral"
"France","France","","","","",""
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"United Kingdom","United Kingdom","","","","",""
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Greece","Greece","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","",""
