"Location","Country","gender","field_research","Country_work","PhD_Year","what_participant_group"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Quebec","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","",""
"","","","","","",""
"","","","","","",""
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Quebec","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Alberta","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"New Brunswick","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Chile","Chile","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"New Brunswick","Canada","","","","",""
"Ontario","Canada","","","","",""
"Quebec","Canada","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Ontario","Canada","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Ontario","Canada","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Alberta","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Alberta","Canada","","","","",""
"New Brunswick","Canada","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","Male","Social Science / Humanities","Canada","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Prince Edward Island","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Quebec","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Quebec","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","",""
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Quebec","Canada","","","","",""
"Quebec","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Quebec","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"British Columbia","Canada","","","","",""
"Quebec","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Nova Scotia","Canada","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Italy","Italy","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Quebec","Canada","","","","",""
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Quebec","Canada","","","","",""
"Quebec","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Quebec","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Quebec","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","",""
"Quebec","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"New Brunswick","Canada","","","","",""
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Quebec","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Quebec","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Quebec","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Quebec","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Quebec","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Quebec","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Quebec","Canada","","","","",""
"","","","","","",""
"France","France","","","","",""
"New Brunswick","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Quebec","Canada","Male","Engineering","Canada","1992","Senior academic researcher with >10 years of experience applying for research grants"
"Brazil","Brazil","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Quebec","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Quebec","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Quebec","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"France","France","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"New Brunswick","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"British Columbia","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Romania","Romania","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","",""
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"New Brunswick","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Switzerland","Switzerland","","","","",""
"Quebec","Canada","","","","",""
"Ontario","Canada","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Brazil","Brazil","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Quebec","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Quebec","Canada","","","","",""
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"New Brunswick","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","",""
"Israel","Israel","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Israel","Israel","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Finland","Finland","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Nova Scotia","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","",""
"Alberta","Canada","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Ontario","Canada","","","","",""
"Alberta","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","",""
"Alberta","Canada","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Alberta","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Manitoba","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Quebec","Canada","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"New Brunswick","Canada","Male","Natural Science","Canada","1996","Senior academic researcher with >10 years of experience applying for research grants"
"British Columbia","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","",""
"Saskatchewan","Canada","","","","",""
"North Carolina","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Alberta","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","",""
"Newfoundland and Labrador","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"Alberta","Canada","","","","",""
"Manitoba","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Alberta","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Quebec","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","",""
"Ontario","Canada","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Saskatchewan","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Quebec","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","",""
"British Columbia","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"South Africa","South Africa","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","",""
"Saskatchewan","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","",""
"United Kingdom","United Kingdom","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","",""
"","","","","","",""
"France","France","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Alberta","Canada","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Saskatchewan","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Manitoba","Canada","","","","",""
"Alberta","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","Male","Interdisciplinary Science","","",""
"Ontario","Canada","","","","",""
"","","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Nova Scotia","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Alberta","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"New Brunswick","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","",""
"","","","","","",""
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Quebec","Canada","","","","",""
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Saskatchewan","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","",""
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Germany","Germany","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","",""
"Israel","Israel","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","",""
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"British Columbia","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"British Columbia","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ireland","Ireland","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Nova Scotia","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","",""
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"France","France","","","","",""
"Switzerland","Switzerland","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"France","France","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"United Kingdom","United Kingdom","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Pennsylvania","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Indiana","USA","","","","",""
"France","France","","","","",""
"Louisiana","USA","","","","",""
"Iowa","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Pennsylvania","USA","","","","",""
"","","","","","",""
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"New York","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Czech Republic","Czech Republic","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Minnesota","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Manitoba","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Arizona","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"British Columbia","Canada","","","","",""
"Massachusetts","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Alberta","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Singapore","Singapore","","","","",""
"California","USA","","","","",""
"New York","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","",""
"Colorado","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"California","USA","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Oregon","USA","","","","",""
"British Columbia","Canada","","","","",""
"Virginia","USA","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"California","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"British Columbia","Canada","","","","",""
"Newfoundland and Labrador","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Japan","Japan","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"California","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Illinois","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Uruguay","Uruguay","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"British Columbia","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Italy","Italy","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Ireland","Ireland","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"China","China","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Alabama","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Quebec","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"France","France","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Utah","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Newfoundland and Labrador","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Alberta","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Delaware","Delaware","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Ontario","Canada","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"British Columbia","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","",""
"","","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Malaysia","Malaysia","","","","",""
"Australia","Australia","","","","",""
"British Columbia","Canada","","","","",""
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Nova Scotia","Canada","","","","",""
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"British Columbia","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"India","India","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","",""
"Newfoundland and Labrador","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"California","USA","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Quebec","Canada","","","","",""
"Michigan","USA","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Benin","Benin","","","","",""
"","","","","","",""
"British Columbia","Canada","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"","","","","","",""
"","","","","","",""
"","","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"","","","","","",""
"Arizona","USA","","","","",""
"New Brunswick","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","",""
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Florida","USA","","","","",""
"Newfoundland and Labrador","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Malaysia","Malaysia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Saskatchewan","Canada","","","","",""
"Brazil","Brazil","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","","","","","",""
"New Brunswick","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"District of Columbia","USA","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"Ontario","Canada","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Delaware","Delaware","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Hawaii","USA","","","","",""
"Quebec","Canada","","","","",""
"Quebec","Canada","","","","",""
"British Columbia","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Pakistan","Pakistan","","","","",""
"","","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Pakistan","Pakistan","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","",""
"British Columbia","Canada","","","","",""
"Colorado","USA","","","","",""
"Hawaii","USA","","","","",""
"Quebec","Canada","","","","",""
"Bangladesh","Bangladesh","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"Egypt","Egypt","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Netherlands","Netherlands","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","",""
"Utah","USA","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"","","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Florida","USA","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"California","USA","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"United Kingdom","United Kingdom","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","",""
"United Kingdom","United Kingdom","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"United Kingdom","United Kingdom","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"United Kingdom","United Kingdom","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Denmark","Denmark","","","","",""
"United Kingdom","United Kingdom","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"United Kingdom","United Kingdom","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"United Kingdom","United Kingdom","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"United Kingdom","United Kingdom","","","","",""
"United Kingdom","United Kingdom","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"United Kingdom","United Kingdom","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Singapore","Singapore","","","","",""
"United Kingdom","United Kingdom","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","",""
"United Kingdom","United Kingdom","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"United Kingdom","United Kingdom","","","","",""
"Italy","Italy","","","","",""
"United Kingdom","United Kingdom","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"France","France","","","","",""
"California","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Alabama","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"United Kingdom","United Kingdom","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"United Kingdom","United Kingdom","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Greece","Greece","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"California","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"United Kingdom","United Kingdom","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"United Kingdom","United Kingdom","","","","",""
"Australia","Australia","","","","",""
"Massachusetts","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"United Kingdom","United Kingdom","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"United Kingdom","United Kingdom","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"United Kingdom","United Kingdom","","","","",""
"United Kingdom","United Kingdom","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"France","France","","","","",""
"United Kingdom","United Kingdom","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"United Kingdom","United Kingdom","","","","",""
"United Kingdom","United Kingdom","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"United Kingdom","United Kingdom","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Greece","Greece","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"United Kingdom","United Kingdom","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"United Kingdom","United Kingdom","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","",""
"United Kingdom","United Kingdom","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Belgium","Belgium","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Belgium","Belgium","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"Germany","Germany","","","","",""
"Netherlands","Netherlands","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"United Kingdom","United Kingdom","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","",""
"Australia","Australia","","","","",""
"United Kingdom","United Kingdom","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Netherlands","Netherlands","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"Netherlands","Netherlands","","","","",""
"Netherlands","Netherlands","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Quebec","Canada","","","","",""
"United Kingdom","United Kingdom","","","","",""
