"Country","Country_work","gender","Location","what_participant_group","field_research","year","level"
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Somewhat important"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Can't comment"
"Canada","Canada","Male","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","include_nonacademia_partners_success_6_10","Can't comment"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Can't comment"
"Canada","","","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Somewhat important"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Can't comment"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not very important"
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_6_10","Can't comment"
"Israel","","Male","Israel","","Interdisciplinary Science","include_nonacademia_partners_success_6_10","Can't comment"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Mandatory"
"Canada","","","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Mandatory"
"Germany","","","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Mandatory"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Somewhat important"
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not at all important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not at all important"
"Switzerland","","","Switzerland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Not at all important"
"USA","","","Minnesota","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Not at all important"
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Can't comment"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not very important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Quite important"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not at all important"
"USA","","","Utah","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not at all important"
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Can't comment"
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_6_10","Not very important"
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not very important"
"Pakistan","","","Pakistan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Somewhat important"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Somewhat important"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Somewhat important"
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Can't comment"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_6_10","Somewhat important"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Somewhat important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Not very important"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_6_10","Can't comment"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not at all important"
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","include_nonacademia_partners_success_6_10","Somewhat important"
"USA","","","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Somewhat important"
"USA","","","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not very important"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Somewhat important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Not very important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Can't comment"
"Japan","","","Japan","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Can't comment"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not very important"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_6_10","Can't comment"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_6_10","Quite important"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Quite important"
"New Zealand","","","New Zealand","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","include_nonacademia_partners_success_6_10","Somewhat important"
"New Zealand","","","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Not very important"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Can't comment"
"USA","","","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Can't comment"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Somewhat important"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not at all important"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_6_10","Can't comment"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Not at all important"
"India","","","India","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_6_10","Can't comment"
"Argentina","","","Argentina","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Somewhat important"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Quite important"
"Malta","","","Malta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_6_10","Mandatory"
"Uruguay","","","Uruguay","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","include_nonacademia_partners_success_6_10","Somewhat important"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Somewhat important"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Can't comment"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Can't comment"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Not at all important"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not very important"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Somewhat important"
"Uruguay","","","Uruguay","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","include_nonacademia_partners_success_6_10","Not very important"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Can't comment"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Not very important"
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not at all important"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Can't comment"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Not at all important"
