"Country","Country_work","gender","what_participant_group","field_research","Location","partnership_change_10yrs"
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Massachusetts","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta","No"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","New York","Yes"
"USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","California","Yes"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","California","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Newfoundland and Labrador","No"
"","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","","Can't comment (new researcher)"
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","Can't comment (new researcher)"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","British Columbia","No"
"Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Italy","Can't comment (new researcher)"
"Ireland","","","Senior academic researcher with >10 years of experience applying for research grants","","Ireland","No"
"China","","","Senior academic researcher with >10 years of experience applying for research grants","","China","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec","No"
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France","Yes"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Utah","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Newfoundland and Labrador","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Alberta","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"Delaware","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Delaware","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","British Columbia","Can't comment (new researcher)"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia","Yes"
"India","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","India","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Newfoundland and Labrador","Yes"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","British Columbia","Yes"
"","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","New Brunswick","Yes"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Newfoundland and Labrador","No"
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","New Brunswick","Yes"
"Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Ontario","Yes"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","Yes"
"Pakistan","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Pakistan","No"
"Bangladesh","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Bangladesh","Can't comment (new researcher)"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","No"
"USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Utah","Can't comment (new researcher)"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","No"
"USA","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Florida","Can't comment (new researcher)"
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom","No"
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom","Can't comment (new researcher)"
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom","Can't comment (new researcher)"
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom","No"
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom","Can't comment (new researcher)"
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom","No"
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom","Can't comment (new researcher)"
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom","No"
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom","No"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","Yes"
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom","No"
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom","Yes"
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom","Can't comment (new researcher)"
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","California","No"
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Alabama","Yes"
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom","No"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","California","No"
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom","Can't comment (new researcher)"
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom","Yes"
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom","No"
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom","Yes"
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom","No"
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom","No"
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom","Can't comment (new researcher)"
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom","Can't comment (new researcher)"
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom","No"
"Greece","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Greece","Can't comment (new researcher)"
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom","No"
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom","No"
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom","Yes"
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom","Yes"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","Can't comment (new researcher)"
"Belgium","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Belgium","Can't comment (new researcher)"
"Belgium","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Belgium","Can't comment (new researcher)"
"Netherlands","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Netherlands","Can't comment (new researcher)"
"Netherlands","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Netherlands","Can't comment (new researcher)"
"Brazil","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Brazil","Can't comment (new researcher)"
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom","No"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Nova Scotia","Yes"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","Yes"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","No"
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec","No"
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia","Can't comment (new researcher)"
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom","No"
"","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","","No"
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","California","Can't comment (new researcher)"
"New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","New Zealand","Can't comment (new researcher)"
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom","Yes"
"New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","","New Zealand","No"
"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia","No"
"Ireland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Ireland","No"
"USA","","","","","Massachusetts","No"
"USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Florida","Can't comment (new researcher)"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","No"
"USA","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","District of Columbia","No"
"Belgium","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Belgium","No"
"India","","","Senior academic researcher with >10 years of experience applying for research grants","","India","Yes"
"Europe","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Europe","Yes"
"Kentucky","","","Senior academic researcher with >10 years of experience applying for research grants","","Kentucky","No"
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Massachusetts","Can't comment (new researcher)"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Massachusetts","No"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Massachusetts","Yes"
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom","Yes"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Yes"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","No"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","No"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","No"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","No"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","No"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","No"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","No"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","No"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Yes"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Yes"
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia","No"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Yes"
"","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","","No"
"Australia","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Australia","Yes"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Yes"
"Australia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Australia","No"
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia","Can't comment (new researcher)"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Yes"
"","","","","","","No"
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia","Can't comment (new researcher)"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Yes"
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia","Yes"
"Japan","","","Senior academic researcher with >10 years of experience applying for research grants","","Japan","No"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Yes"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Yes"
"Australia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Australia","Can't comment (new researcher)"
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia","No"
"Australia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Australia","No"
"South Africa","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","South Africa","Can't comment (new researcher)"
"New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","","New Zealand","Yes"
"New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","","New Zealand","Yes"
"New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","New Zealand","Can't comment (new researcher)"
"New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","","New Zealand","No"
"New Zealand","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","New Zealand","Yes"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","No"
"China","","","Senior academic researcher with >10 years of experience applying for research grants","","China","No"
"New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","","New Zealand","No"
"New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","","New Zealand","No"
"New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","New Zealand","Can't comment (new researcher)"
"New Zealand","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","New Zealand","Yes"
"New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","","New Zealand","No"
"New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","","New Zealand","No"
"New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","","New Zealand","No"
"New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","New Zealand","Yes"
"New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","","New Zealand","No"
"Israel","Israel","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Other","Israel","No"
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Utah","Yes"
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Georgia","Can't comment (new researcher)"
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Idaho","Can't comment (new researcher)"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","California","No"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Idaho","No"
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Utah","Can't comment (new researcher)"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Minnesota","No"
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Utah","No"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Idaho","No"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Idaho","No"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Utah","No"
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Utah","Can't comment (new researcher)"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Yes"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","No"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Yes"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","No"
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom","No"
"Australia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Australia","Can't comment (new researcher)"
"Australia","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Australia","No"
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia","No"
"","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","","Yes"
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia","No"
"Australia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Australia","Can't comment (new researcher)"
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","Can't comment (new researcher)"
"","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","","Can't comment (new researcher)"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Ontario","Can't comment (new researcher)"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia","Yes"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","British Columbia","No"
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"India","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","India","Can't comment (new researcher)"
"Malta","","","Senior academic researcher with >10 years of experience applying for research grants","","Malta","No"
"Malta","","","Senior academic researcher with >10 years of experience applying for research grants","","Malta","No"
"Malta","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Malta","No"
"Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Uruguay","Yes"
"Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","","Brazil","No"
"Argentina","","","Senior academic researcher with >10 years of experience applying for research grants","","Argentina","No"
"Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","","Uruguay","No"
"Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","","Uruguay","No"
"Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Uruguay","Can't comment (new researcher)"
"Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Italy","Yes"
"Malta","","","Senior academic researcher with >10 years of experience applying for research grants","","Malta","Yes"
"Malta","","","Senior academic researcher with >10 years of experience applying for research grants","","Malta","No"
"Malta","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Malta","No"
"Malta","","","Senior academic researcher with >10 years of experience applying for research grants","","Malta","No"
"Uruguay","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Uruguay","No"
"Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","","Uruguay","Yes"
"Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","","Uruguay","No"
"Chile","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Chile","No"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","No"
"Uruguay","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Uruguay","No"
"Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Uruguay","Yes"
"India","","","Senior academic researcher with >10 years of experience applying for research grants","","India","Yes"
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","No"
"Indonesia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Indonesia","Yes"
"India","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","India","Can't comment (new researcher)"
"Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Uruguay","Can't comment (new researcher)"
"Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Uruguay","No"
"India","","","Senior academic researcher with >10 years of experience applying for research grants","","India","No"
"Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Uruguay","No"
"India","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","India","Can't comment (new researcher)"
"India","","","Senior academic researcher with >10 years of experience applying for research grants","","India","No"
"India","","","Senior academic researcher with >10 years of experience applying for research grants","","India","Yes"
"Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","","Uruguay","No"
"Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Uruguay","Yes"
"Uruguay","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Uruguay","Yes"
"","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","","Yes"
"Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","","Uruguay","No"
"USA","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","New York","No"
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","No"
"India","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","India","No"
"India","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","India","No"
"Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Uruguay","No"
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","California","No"
"Iceland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Iceland","Can't comment (new researcher)"
"New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","New Zealand","Yes"
"Malta","","","Senior academic researcher with >10 years of experience applying for research grants","","Malta","Yes"
"Malta","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Malta","Yes"
"Malta","","","Senior academic researcher with >10 years of experience applying for research grants","","Malta","Yes"
"Malta","","","Senior academic researcher with >10 years of experience applying for research grants","","Malta","No"
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","No"
"India","","","Senior academic researcher with >10 years of experience applying for research grants","","India","Yes"
"France","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","France","Can't comment (new researcher)"
"Malta","","","Senior academic researcher with >10 years of experience applying for research grants","","Malta","No"
"Romania","","","","","Romania","No"
"New Zealand","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","New Zealand","Can't comment (new researcher)"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","No"
"India","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","India","Yes"
"India","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","India","Can't comment (new researcher)"
